T1	VARIABLE 8 19	symbol sets
T77	CAUSE_EFFECT_RELATION 525 738	Because languages differ in their structural rules for character handling, assumptions made when processing a US character set may be inappropriate or inaccurate when applied to a language with extended characters
T78	ROOT_SENTENCE 525 739	Because languages differ in their structural rules for character handling, assumptions made when processing a US character set may be inappropriate or inaccurate when applied to a language with extended characters.
T79	VARIABLE 1023 1058	the order of items in a sorted list
T80	CONDITION 1059 1096	usually changes following translation
T81	KEY_C 1015 1022	Because
T82	STATEMENT 1023 1096	the order of items in a sorted list usually changes following translation
T83	CAUSE 1015 1096	Because the order of items in a sorted list usually changes following translation
T84	VARIABLE 1098 1145	references to the position of items in the list
T85	CONDITION 1146 1176	are removed from documentation
T86	STATEMENT 1098 1176	references to the position of items in the list are removed from documentation
T87	CAUSE_EFFECT_RELATION 1015 1176	Because the order of items in a sorted list usually changes following translation, references to the position of items in the list are removed from documentation
T88	ROOT_SENTENCE 1015 1177	Because the order of items in a sorted list usually changes following translation, references to the position of items in the list are removed from documentation.
T89	VARIABLE 2016 2053	the intent is to identify conventions
T90	CONDITION 2054 2084	that are common among programs
T91	CONDITION 2089 2118	can be applied to all equally
T92	STATEMENT 2016 2118	the intent is to identify conventions that are common among programs and can be applied to all equally
T93	AND 2054 2118	that are common among programs and can be applied to all equally
T94	CAUSE_EFFECT_RELATION 1961 2118	Because both of these areas are highly mission unique, the intent is to identify conventions that are common among programs and can be applied to all equally
T95	ROOT_SENTENCE 1961 2119	Because both of these areas are highly mission unique, the intent is to identify conventions that are common among programs and can be applied to all equally.
T96	VARIABLE 1391 1415	bi-directional languages
T97	CONDITION 1416 1448	write text in both right-to-left
T98	CONDITION 1453 1477	left-to-right directions
T99	STATEMENT 1391 1477	bi-directional languages write text in both right-to-left and left-to-right directions
T100	AND 1416 1477	write text in both right-to-left and left-to-right directions
T101	KEY_C 1383 1390	Because
T102	CAUSE 1383 1477	Because bi-directional languages write text in both right-to-left and left-to-right directions
T103	VARIABLE 1479 1489	text entry
T104	CONDITION 1490 1526	may be performed in either direction
T105	KEY_C 1528 1540	depending on
T106	VARIABLE 1541 1567	the contents of a text box
T107	CAUSE 1528 1567	depending on the contents of a text box
T108	CAUSE_EFFECT_RELATION 1573 1629	may require input in both directions within a single box
T109	STATEMENT 1479 1526	text entry may be performed in either direction
T110	CAUSE_EFFECT_RELATION 1479 1567	text entry may be performed in either direction, depending on the contents of a text box
T111	AND 1479 1629	text entry may be performed in either direction, depending on the contents of a text box, and may require input in both directions within a single box
T112	CAUSE_EFFECT_RELATION 1383 1629	Because bi-directional languages write text in both right-to-left and left-to-right directions, text entry may be performed in either direction, depending on the contents of a text box, and may require input in both directions within a single box
T113	ROOT_SENTENCE 1383 1630	Because bi-directional languages write text in both right-to-left and left-to-right directions, text entry may be performed in either direction, depending on the contents of a text box, and may require input in both directions within a single box.
T114	VARIABLE 749 758	languages
T115	CONDITION 759 811	differ in the meaning assigned to special characters
T116	STATEMENT 749 811	languages differ in the meaning assigned to special characters
T117	KEY_C 741 748	Because
T118	CAUSE 741 811	Because languages differ in the meaning assigned to special characters
T119	VARIABLE 813 829	a US application
T120	CONDITION 943 967	may require modification
T121	CONDITION 835 901	uses characters such as apostrophes as delimiters in a text string
T122	CONDITION 906 942	restricts their use to this function
T123	CONDITION 973 1012	converted to certain European languages
T124	KEY_C 968 972	when
T125	CAUSE 968 1012	when converted to certain European languages
T126	KEY_C 830 834	that
T127	CAUSE 830 942	that uses characters such as apostrophes as delimiters in a text string and restricts their use to this function
T128	AND 835 942	uses characters such as apostrophes as delimiters in a text string and restricts their use to this function
T129	CAUSE_EFFECT_RELATION 813 967	a US application that uses characters such as apostrophes as delimiters in a text string and restricts their use to this function may require modification
T130	VARIABLE 1187 1196	computers
T131	CONDITION 1197 1236	respond to specific physical keypresses
T132	STATEMENT 1256 1283	markings appear on the keys
T133	KEY_NC 1237 1255	regardless of what
T134	NONE_CAUSAL 1237 1283	regardless of what markings appear on the keys
T135	KEY_C 1179 1186	Because
T136	CAUSE 1179 1236	Because computers respond to specific physical keypresses
T137	VARIABLE 1285 1305	a different keyboard
T138	CONDITION 1314 1325	be required
T139	KEY_C 1326 1330	when
T140	VARIABLE 1331 1380	converting a US application into another language
T141	CAUSE 1326 1380	when converting a US application into another language
T142	STATEMENT 1285 1325	a different keyboard may not be required
T143	CAUSE_EFFECT_RELATION 1285 1380	a different keyboard may not be required when converting a US application into another language
T144	CAUSE_EFFECT_RELATION 1179 1380	Because computers respond to specific physical keypresses regardless of what markings appear on the keys, a different keyboard may not be required when converting a US application into another language
T145	ROOT_SENTENCE 1179 1381	Because computers respond to specific physical keypresses regardless of what markings appear on the keys, a different keyboard may not be required when converting a US application into another language.
T12	CONDITION 155 287	contain fewer than 200 basic characters (i.e., the 26 letters in the alphabet, with upper case, lower case, and accented variations)
T13	STATEMENT 139 287	these languages contain fewer than 200 basic characters (i.e., the 26 letters in the alphabet, with upper case, lower case, and accented variations)
T14	CAUSE 131 287	Because these languages contain fewer than 200 basic characters (i.e., the 26 letters in the alphabet, with upper case, lower case, and accented variations)
T15	CAUSE_EFFECT_RELATION 813 1012	a US application that uses characters such as apostrophes as delimiters in a text string and restricts their use to this function may require modification when converted to certain European languages
T19	CAUSE_EFFECT_RELATION 741 1012	Because languages differ in the meaning assigned to special characters, a US application that uses characters such as apostrophes as delimiters in a text string and restricts their use to this function may require modification when converted to certain European languages
T21	ROOT_SENTENCE 741 1013	Because languages differ in the meaning assigned to special characters, a US application that uses characters such as apostrophes as delimiters in a text string and restricts their use to this function may require modification when converted to certain European languages.
T146	CONDITION 1573 1609	may require input in both directions
T147	VARIABLE 1617 1629	a single box
T148	KEY_C 1610 1616	within
T149	CAUSE 1610 1629	within a single box
T150	VARIABLE 1256 1264	markings
T151	CONDITION 1265 1283	appear on the keys
T152	NEGATION 1306 1325	may not be required
