T1	VARIABLE 42 54	this process
T243	VARIABLE 12876 12894	the collocated LBR
T244	CONDITION 12909 12951	to receive transmissions from its peer LBR
T245	NEGATION 12895 12951	may be unable to receive transmissions from its peer LBR
T246	STATEMENT 12876 12951	the collocated LBR may be unable to receive transmissions from its peer LBR
T247	CAUSE 12843 12874	Due to 802.11 AMP transmissions
T248	CAUSE_EFFECT_RELATION 12843 12951	Due to 802.11 AMP transmissions, the collocated LBR may be unable to receive transmissions from its peer LBR
T249	ROOT_SENTENCE 12843 12952	Due to 802.11 AMP transmissions, the collocated LBR may be unable to receive transmissions from its peer LBR.
T250	KEY_C 16349 16355	Due to
T251	VARIABLE 16356 16371	new assessments
T252	VARIABLE 16376 16396	designation criteria
T253	CONDITION 16397 16407	under ESSA
T254	VARIABLE 16409 16425	Targeted schools
T255	NEGATION 16426 16461	will not be identified until SY2020
T256	CONDITION 16438 16461	identified until SY2020
T257	STATEMENT 16409 16461	Targeted schools will not be identified until SY2020
T258	AND 16356 16396	new assessments and designation criteria
T259	STATEMENT 16356 16407	new assessments and designation criteria under ESSA
T260	CAUSE 16349 16407	Due to new assessments and designation criteria under ESSA
T261	CAUSE_EFFECT_RELATION 16349 16461	Due to new assessments and designation criteria under ESSA, Targeted schools will not be identified until SY2020
T262	ROOT_SENTENCE 16349 16462	Due to new assessments and designation criteria under ESSA, Targeted schools will not be identified until SY2020.
T263	KEY_C 16823 16829	Due to
T264	VARIABLE 16848 16867	the SNR versus mass
T265	CONDITION 16830 16847	the complexity of
T266	VARIABLE 16872 16896	redshift parameter space
T267	VARIABLE 16898 16900	we
T268	CONDITION 16901 16963	need to place a constraint using a system at the high mass end
T269	STATEMENT 16898 16963	we need to place a constraint using a system at the high mass end
T270	AND 16848 16896	the SNR versus mass and redshift parameter space
T271	STATEMENT 16830 16896	the complexity of the SNR versus mass and redshift parameter space
T272	CAUSE 16823 16896	Due to the complexity of the SNR versus mass and redshift parameter space
T273	CAUSE_EFFECT_RELATION 16823 16963	Due to the complexity of the SNR versus mass and redshift parameter space, we need to place a constraint using a system at the high mass end
T274	ROOT_SENTENCE 16823 16964	Due to the complexity of the SNR versus mass and redshift parameter space, we need to place a constraint using a system at the high mass end.
