T1	VARIABLE 3 24	development test data
T177	ROOT_SENTENCE 13403 13504	If the decoder?s correction capability is exceeded, undetected burst errors can appear in the output.
T178	VARIABLE 13319 13338	certain information
T179	CONDITION 13339 13370	is available from other sources
T180	KEY_C 13316 13318	If
T181	STATEMENT 13319 13370	certain information is available from other sources
T182	CAUSE 13316 13370	If certain information is available from other sources
T183	VARIABLE 13372 13385	certain tests
T184	CONDITION 13386 13400	can be deleted
T185	STATEMENT 13372 13400	certain tests can be deleted
T186	CAUSE_EFFECT_RELATION 13316 13400	If certain information is available from other sources, certain tests can be deleted
T187	ROOT_SENTENCE 13316 13401	If certain information is available from other sources, certain tests can be deleted.
T188	VARIABLE 13141 13164	the characteristic time
T189	CONDITION 13172 13177	known
T190	NEGATION 13165 13177	is not known
T191	STATEMENT 13141 13177	the characteristic time is not known
T192	KEY_C 13138 13140	If
T193	CAUSE 13138 13177	If the characteristic time is not known
T194	CONDITION 13255 13313	shall be performed in order to establish the test duration
T195	VARIABLE 13179 13254	an analysis of the susceptibility of the material to hydrogen embrittlement
T196	STATEMENT 13179 13313	an analysis of the susceptibility of the material to hydrogen embrittlement shall be performed in order to establish the test duration
T197	CAUSE_EFFECT_RELATION 13138 13313	If the characteristic time is not known, an analysis of the susceptibility of the material to hydrogen embrittlement shall be performed in order to establish the test duration
T199	KEY_C 13039 13041	If
T200	VARIABLE 13042 13084	the transition temperatures of the polymer
T201	CONDITION 13093 13098	known
T202	NEGATION 13085 13098	are not known
T203	STATEMENT 13042 13098	the transition temperatures of the polymer are not known
T204	CAUSE 13039 13098	If the transition temperatures of the polymer are not known
T205	VARIABLE 13100 13103	TGA
T206	VARIABLE 13107 13116	DSC tests
T207	CONDITION 13117 13135	shall be performed
T208	STATEMENT 13107 13135	DSC tests shall be performed
T209	OR 13100 13135	TGA or DSC tests shall be performed
T210	CAUSE_EFFECT_RELATION 13039 13135	If the transition temperatures of the polymer are not known, TGA or DSC tests shall be performed
T211	ROOT_SENTENCE 13039 13136	If the transition temperatures of the polymer are not known, TGA or DSC tests shall be performed.
T212	VARIABLE 12924 12936	Requirements
T213	CONDITION 12937 12973	shall be defined for the test set?up
T214	STATEMENT 12924 12973	Requirements shall be defined for the test set?up
T215	KEY_C 12974 12976	if
T216	VARIABLE 12977 13006	gas dissolution in the liquid
T217	CONDITION 13007 13036	is a parameter to be measured
T218	STATEMENT 12977 13036	gas dissolution in the liquid is a parameter to be measured
T219	CAUSE 12974 13036	if gas dissolution in the liquid is a parameter to be measured
T220	CAUSE_EFFECT_RELATION 12924 13036	Requirements shall be defined for the test set?up if gas dissolution in the liquid is a parameter to be measured
T221	ROOT_SENTENCE 12924 13037	Requirements shall be defined for the test set?up if gas dissolution in the liquid is a parameter to be measured.
T222	KEY_C 12802 12804	If
T223	VARIABLE 12805 12821	the requirements
T224	CONDITION 12822 12861	specified in clause 4.1.2 cannot be met
T225	VARIABLE 12863 12874	the samples
T226	CONDITION 12875 12921	to be tested shall be approved by the customer
T227	STATEMENT 12863 12921	the samples to be tested shall be approved by the customer
T228	CAUSE 12802 12861	If the requirements specified in clause 4.1.2 cannot be met
T229	CAUSE_EFFECT_RELATION 12802 12921	If the requirements specified in clause 4.1.2 cannot be met, the samples to be tested shall be approved by the customer
T230	ROOT_SENTENCE 12802 12922	If the requirements specified in clause 4.1.2 cannot be met, the samples to be tested shall be approved by the customer.
T248	KEY_C 2951 2953	if
T249	VARIABLE 2954 2957	SHF
T251	CONDITION 2974 2985	are present
T252	STATEMENT 2961 2985	EHF payloads are present
T253	OR 2954 2985	SHF or EHF payloads are present
T254	CAUSE 2951 2985	if SHF or EHF payloads are present
T255	VARIABLE 2903 2926	Additional requirements
T256	CONDITION 2927 2950	can apply beyond 18 GHz
T257	STATEMENT 2903 2950	Additional requirements can apply beyond 18 GHz
T258	CAUSE_EFFECT_RELATION 2903 2985	Additional requirements can apply beyond 18 GHz if SHF or EHF payloads are present
T259	ROOT_SENTENCE 2903 2986	Additional requirements can apply beyond 18 GHz if SHF or EHF payloads are present.
T260	KEY_C 2988 2990	If
T261	VARIABLE 2991 3004	suitable data
T262	CONDITION 3013 3022	available
T263	NEGATION 3005 3022	are not available
T264	STATEMENT 2991 3022	suitable data are not available
T265	CAUSE 2988 3022	If suitable data are not available
T266	KEY_C 3024 3028	then
T268	CONDITION 3055 3075	shall be implemented
T269	STATEMENT 3029 3075	a material test programme shall be implemented
T270	EFFECT 3024 3075	then a material test programme shall be implemented
T271	CAUSE_EFFECT_RELATION 2988 3075	If suitable data are not available, then a material test programme shall be implemented
T272	ROOT_SENTENCE 2988 3076	If suitable data are not available, then a material test programme shall be implemented.
T273	KEY_C 3078 3080	If
T274	VARIABLE 3081 3101	burst pressure tests
T275	CONDITION 3102 3133	are performed at sub-unit level
T276	STATEMENT 3081 3133	burst pressure tests are performed at sub-unit level
T277	CAUSE 3078 3133	If burst pressure tests are performed at sub-unit level
T278	VARIABLE 3135 3168	the burst pressure test processes
T280	STATEMENT 3135 3249	the burst pressure test processes shall include all parts of the product including all joints, welds, end fittings
T281	CAUSE_EFFECT_RELATION 3078 3249	If burst pressure tests are performed at sub-unit level, the burst pressure test processes shall include all parts of the product including all joints, welds, end fittings
T282	ROOT_SENTENCE 3078 3250	If burst pressure tests are performed at sub-unit level, the burst pressure test processes shall include all parts of the product including all joints, welds, end fittings.
T283	VARIABLE 3296 3317	constant acceleration
T284	VARIABLE 3322 3336	acoustic tests
T285	CONDITION 3337 3355	shall be performed
T286	STATEMENT 3322 3355	acoustic tests shall be performed
T287	AND 3296 3355	constant acceleration and acoustic tests shall be performed
T288	KEY_C 12456 12458	If
T289	VARIABLE 12459 12470	a component
T290	CONDITION 12471 12543	has undergone a surface treatment to meet the compatibility requirements
T291	STATEMENT 12459 12543	a component has undergone a surface treatment to meet the compatibility requirements
T292	CAUSE 12456 12542	If a component has undergone a surface treatment to meet the compatibility requirement
T293	VARIABLE 12545 12559	this component
T294	CONDITION 12560 12639	shall undergo compatibility testing in conformance with clauses 4.1.2 and 4.1.3
T295	STATEMENT 12545 12639	this component shall undergo compatibility testing in conformance with clauses 4.1.2 and 4.1.3
T296	CAUSE_EFFECT_RELATION 12456 12639	If a component has undergone a surface treatment to meet the compatibility requirements, this component shall undergo compatibility testing in conformance with clauses 4.1.2 and 4.1.3
T297	KEY_C 3252 3254	If
T298	KEY_C 3358 3360	If
T299	VARIABLE 3361 3372	the product
T300	CONDITION 3373 3414	is independent and totally self-contained
T301	KEY_NC 3416 3420	i.e.
T302	CONDITION 3421 3456	able to match the final user’s need
T303	NONE_CAUSAL 3416 3456	i.e. able to match the final user’s need
T304	STATEMENT 3361 3414	the product is independent and totally self-contained
T305	CAUSE 3358 3414	If the product is independent and totally self-contained
T306	VARIABLE 3458 3460	it
T307	CONDITION 3461 3485	should be so stated here
T308	STATEMENT 3458 3485	it should be so stated here
T309	CAUSE_EFFECT_RELATION 3358 3485	If the product is independent and totally self-contained, i.e. able to match the final user’s need, it should be so stated here
T310	ROOT_SENTENCE 3358 3486	If the product is independent and totally self-contained, i.e. able to match the final user’s need, it should be so stated here.
T311	KEY_C 3488 3490	If
T312	VARIABLE 3491 3497	the TS
T313	CONDITION 3498 3559	defines a product that is a component of a higher tier system
T314	STATEMENT 3491 3559	the TS defines a product that is a component of a higher tier system
T315	CAUSE 3488 3559	If the TS defines a product that is a component of a higher tier system
T316	VARIABLE 3561 3567	the TS
T317	CONDITION 3568 3620	shall recall the related needs of that larger system
T318	CONDITION 3625 3701	shall describe the identified interfaces between that system and the product
T319	STATEMENT 3561 3620	the TS shall recall the related needs of that larger system
T320	AND 3561 3701	the TS shall recall the related needs of that larger system and shall describe the identified interfaces between that system and the product
T321	CAUSE_EFFECT_RELATION 3488 3701	If the TS defines a product that is a component of a higher tier system, the TS shall recall the related needs of that larger system and shall describe the identified interfaces between that system and the product
T322	VARIABLE 3704 3725	The inspection report
T323	CONDITION 3726 3760	may be embedded in the Test Report
T324	KEY_C 3761 3763	if
T325	VARIABLE 3764 3794	the verification by Inspection
T326	CONDITION 3795 3837	is carried-out in combination with Testing
T327	STATEMENT 3764 3837	the verification by Inspection is carried-out in combination with Testing
T328	CAUSE 3761 3837	if the verification by Inspection is carried-out in combination with Testing
T329	STATEMENT 3704 3760	The inspection report may be embedded in the Test Report
T330	CAUSE_EFFECT_RELATION 3704 3837	The inspection report may be embedded in the Test Report if the verification by Inspection is carried-out in combination with Testing
T331	ROOT_SENTENCE 3704 3838	The inspection report may be embedded in the Test Report if the verification by Inspection is carried-out in combination with Testing.
T332	KEY_C 4057 4059	If
T333	VARIABLE 4060 4065	tests
T334	CONDITION 4066 4097	are performed at assembly level
T335	STATEMENT 4060 4097	tests are performed at assembly level
T336	CAUSE 4057 4097	If tests are performed at assembly level
T337	VARIABLE 4099 4111	measurements
T339	STATEMENT 4099 4189	measurements shall be performed to verify the load paths in the tested composite component
T340	CAUSE_EFFECT_RELATION 4057 4189	If tests are performed at assembly level, measurements shall be performed to verify the load paths in the tested composite component
T341	ROOT_SENTENCE 4057 4190	If tests are performed at assembly level, measurements shall be performed to verify the load paths in the tested composite component.
T342	KEY_C 4252 4254	if
T343	CONDITION 4255 4279	agreed with the customer
T344	CAUSE 4252 4279	if agreed with the customer
T345	VARIABLE 4192 4211	Composite structure
T346	CONDITION 4212 4251	may be exempted from acceptance testing
T347	STATEMENT 4192 4251	Composite structure may be exempted from acceptance testing
T348	CAUSE_EFFECT_RELATION 4192 4279	Composite structure may be exempted from acceptance testing if agreed with the customer
T349	ROOT_SENTENCE 4192 4280	Composite structure may be exempted from acceptance testing if agreed with the customer.
T350	KEY_C 4282 4284	If
T351	VARIABLE 4285 4308	the delivered CAD model
T352	CONDITION 4309 4351	includes the 2D drawings for manufacturing
T353	CONDITION 4355 4363	assembly
T354	STATEMENT 4285 4351	the delivered CAD model includes the 2D drawings for manufacturing
T355	OR 4285 4363	the delivered CAD model includes the 2D drawings for manufacturing or assembly
T356	CAUSE 4282 4363	If the delivered CAD model includes the 2D drawings for manufacturing or assembly
T357	VARIABLE 4365 4385	their identification
T358	CONDITION 4386 4401	shall be listed
T359	CONDITION 4406 4431	present the latest issues
T360	STATEMENT 4365 4401	their identification shall be listed
T361	AND 4365 4431	their identification shall be listed and present the latest issues
T362	CAUSE_EFFECT_RELATION 4282 4431	If the delivered CAD model includes the 2D drawings for manufacturing or assembly, their identification shall be listed and present the latest issues
T363	ROOT_SENTENCE 4282 4432	If the delivered CAD model includes the 2D drawings for manufacturing or assembly, their identification shall be listed and present the latest issues.
T364	VARIABLE 4514 4518	this
T365	CONDITION 4519 4537	shall be indicated
T366	STATEMENT 4514 4537	this shall be indicated
T367	KEY_C 4434 4436	If
T368	VARIABLE 4437 4446	the model
T369	CONDITION 4447 4512	can be used with more than a specific code and or version thereof
T370	STATEMENT 4437 4512	the model can be used with more than a specific code and or version thereof
T371	CAUSE 4434 4512	If the model can be used with more than a specific code and or version thereof
T372	CAUSE_EFFECT_RELATION 4434 4537	If the model can be used with more than a specific code and or version thereof, this shall be indicated
T373	ROOT_SENTENCE 4434 4538	If the model can be used with more than a specific code and or version thereof, this shall be indicated.
T374	VARIABLE 4609 4613	this
T375	CONDITION 4614 4640	shall be explicitly stated
T376	STATEMENT 4609 4640	this shall be explicitly stated
T377	KEY_C 4540 4542	If
T378	VARIABLE 4546 4569	significant assumptions
T379	CONDITION 4570 4607	are used in the modelling of the item
T380	STATEMENT 4546 4607	significant assumptions are used in the modelling of the item
T381	NEGATION 4543 4607	no significant assumptions are used in the modelling of the item
T382	CAUSE 4540 4607	If no significant assumptions are used in the modelling of the item
T383	CAUSE_EFFECT_RELATION 4540 4640	If no significant assumptions are used in the modelling of the item, this shall be explicitly stated
T384	ROOT_SENTENCE 4540 4641	If no significant assumptions are used in the modelling of the item, this shall be explicitly stated.
T385	VARIABLE 4646 4660	balance masses
T386	CONDITION 4661 4685	are present in the model
T387	VARIABLE 4687 4700	a description
T388	CONDITION 4701 4732	shall be provided in the CADMDD
T389	STATEMENT 4687 4732	a description shall be provided in the CADMDD
T390	STATEMENT 4646 4685	balance masses are present in the model
T391	KEY_C 4643 4645	If
T392	CAUSE 4643 4685	If balance masses are present in the model
T393	CAUSE_EFFECT_RELATION 4643 4732	If balance masses are present in the model, a description shall be provided in the CADMDD
T394	ROOT_SENTENCE 4643 4733	If balance masses are present in the model, a description shall be provided in the CADMDD.
T395	VARIABLE 4738 4762	the structure properties
T396	VARIABLE 4766 4794	the environmental conditions
T397	CONDITION 4795 4807	have changed
T398	STATEMENT 4766 4807	the environmental conditions have changed
T399	OR 4738 4807	the structure properties or the environmental conditions have changed
T400	CAUSE 4735 4807	If the structure properties or the environmental conditions have changed
T401	VARIABLE 4809 4847	the subclauses affected by the changes
T402	CONDITION 4848 4866	shall be indicated
T403	CONDITION 4871 4901	the changes shall be described
T404	STATEMENT 4809 4866	the subclauses affected by the changes shall be indicated
T405	AND 4809 4901	the subclauses affected by the changes shall be indicated and the changes shall be described
T406	CAUSE_EFFECT_RELATION 4735 4901	If the structure properties or the environmental conditions have changed, the subclauses affected by the changes shall be indicated and the changes shall be described
T407	ROOT_SENTENCE 4735 4902	If the structure properties or the environmental conditions have changed, the subclauses affected by the changes shall be indicated and the changes shall be described.
T408	VARIABLE 4907 4916	the model
T409	CONDITION 4917 4959	can be used with more than a specific code
T410	CONDITION 4967 4985	shall be indicated
T411	VARIABLE 4961 4966	these
T412	STATEMENT 4961 4985	these shall be indicated
T413	STATEMENT 4907 4959	the model can be used with more than a specific code
T414	KEY_C 4904 4906	If
T415	CAUSE 4904 4959	If the model can be used with more than a specific code
T416	CAUSE_EFFECT_RELATION 4904 4985	If the model can be used with more than a specific code, these shall be indicated
T417	ROOT_SENTENCE 4904 4986	If the model can be used with more than a specific code, these shall be indicated.
T418	VARIABLE 4991 5009	special parameters
T419	CONDITION 5010 5070	are required to correctly use the model with a specific code
T420	STATEMENT 4991 5070	special parameters are required to correctly use the model with a specific code
T421	KEY_C 4988 4990	If
T422	CAUSE 4988 5070	If special parameters are required to correctly use the model with a specific code
T423	VARIABLE 5077 5093	these parameters
T424	CONDITION 5094 5112	shall be specified
T425	STATEMENT 5077 5112	these parameters shall be specified
T426	KEY_C 5072 5076	then
T427	EFFECT 5072 5112	then these parameters shall be specified
T428	CAUSE_EFFECT_RELATION 4988 5112	If special parameters are required to correctly use the model with a specific code, then these parameters shall be specified
T430	KEY_C 5115 5117	If
T431	VARIABLE 5121 5144	significant assumptions
T432	CONDITION 5145 5188	have been used in the modelling of the item
T433	STATEMENT 5121 5188	significant assumptions have been used in the modelling of the item
T434	NEGATION 5118 5188	no significant assumptions have been used in the modelling of the item
T435	CAUSE 5115 5188	If no significant assumptions have been used in the modelling of the item
T440	VARIABLE 5317 5332	structural mass
T441	CONDITION 5333 5357	is included in the model
T442	STATEMENT 5317 5357	structural mass is included in the model
T443	NEGATION 5314 5357	no structural mass is included in the model
T444	CAUSE 5311 5357	If no structural mass is included in the model
T445	KEY_C 5311 5313	If
T446	VARIABLE 5359 5363	this
T447	CONDITION 5364 5392	shall be explicitly declared
T448	STATEMENT 5359 5392	this shall be explicitly declared
T449	CAUSE_EFFECT_RELATION 5311 5392	If no structural mass is included in the model, this shall be explicitly declared
T450	ROOT_SENTENCE 5311 5393	If no structural mass is included in the model, this shall be explicitly declared.
T451	VARIABLE 5458 5471	a description
T452	CONDITION 5472 5489	shall be provided
T453	STATEMENT 5458 5489	a description shall be provided
T454	VARIABLE 5398 5431	distributed non?structural masses
T455	CONDITION 5432 5456	are present in the model
T456	STATEMENT 5398 5456	distributed non?structural masses are present in the model
T457	CAUSE 5395 5456	If distributed non?structural masses are present in the model
T458	CAUSE_EFFECT_RELATION 5395 5489	If distributed non?structural masses are present in the model, a description shall be provided
T459	ROOT_SENTENCE 5395 5490	If distributed non?structural masses are present in the model, a description shall be provided.
T460	KEY_C 5395 5397	If
T461	VARIABLE 5495 5502	a model
T462	CONDITION 5503 5510	changes
T463	VARIABLE 5512 5523	the changes
T464	CONDITION 5524 5542	shall be described
T465	STATEMENT 5512 5542	the changes shall be described
T466	STATEMENT 5495 5510	a model changes
T468	CAUSE 5492 5510	If a model changes
T467	KEY_C 5492 5494	If
T469	CAUSE_EFFECT_RELATION 5492 5542	If a model changes, the changes shall be described
T470	ROOT_SENTENCE 5492 5543	If a model changes, the changes shall be described.
T471	VARIABLE 5548 5571	additional model checks
T472	CONDITION 5572 5614	have been performed on the delivered model
T473	STATEMENT 5548 5614	additional model checks have been performed on the delivered model
T474	KEY_C 5545 5547	If
T475	CAUSE 5545 5614	If additional model checks have been performed on the delivered model
T476	VARIABLE 5621 5638	the check results
T477	CONDITION 5639 5658	shall be documented
T478	CONDITION 5660 5668	numbered
T479	CONDITION 5673 5682	addressed
T480	KEY_C 5616 5620	then
T481	STATEMENT 5621 5658	the check results shall be documented
T482	AND 5621 5668	the check results shall be documented, numbered
T483	AND 5621 5682	the check results shall be documented, numbered and addressed
T484	EFFECT 5616 5682	then the check results shall be documented, numbered and addressed
T485	CAUSE_EFFECT_RELATION 5545 5682	If additional model checks have been performed on the delivered model, then the check results shall be documented, numbered and addressed
