T1	VARIABLE 0 22	Some open site testing
T113	VARIABLE 2057 2074	all packets types
T114	CONDITION 2075 2091	shall be allowed
T115	STATEMENT 2057 2091	all packets types shall be allowed
T116	EFFECT 2052 2091	then all packets types shall be allowed
T117	STATEMENT 2009 2050	all bits are set in the packet type field
T118	CAUSE 2006 2050	If all bits are set in the packet type field
T119	CAUSE_EFFECT_RELATION 2006 2091	If all bits are set in the packet type field, then all packets types shall be allowed
T120	ROOT_SENTENCE 2006 2092	If all bits are set in the packet type field, then all packets types shall be allowed.
T121	KEY_C 2094 2096	If
T122	VARIABLE 2097 2134	the Link Type of the incoming request
T123	CONDITION 2135 2141	is SCO
T124	KEY_C 2143 2147	then
T125	VARIABLE 2177 2188	Max_Latency
T126	VARIABLE 2190 2204	Voice_Settings
T127	VARIABLE 2210 2228	Packet_Type fields
T128	AND 2190 2228	Voice_Settings, and Packet_Type fields
T129	AND 2177 2228	Max_Latency, Voice_Settings, and Packet_Type fields
T130	VARIABLE 2148 2175	only the Transmit_Bandwidth
T131	AND 2148 2228	only the Transmit_Bandwidth, Max_Latency, Voice_Settings, and Packet_Type fields
T132	CONDITION 2229 2238	are valid
T133	EFFECT 2143 2238	then only the Transmit_Bandwidth, Max_Latency, Voice_Settings, and Packet_Type fields are valid
T134	STATEMENT 2097 2141	the Link Type of the incoming request is SCO
T135	CAUSE 2094 2141	If the Link Type of the incoming request is SCO
T136	CAUSE_EFFECT_RELATION 2094 2238	If the Link Type of the incoming request is SCO, then only the Transmit_Bandwidth, Max_Latency, Voice_Settings, and Packet_Type fields are valid
T137	ROOT_SENTENCE 2094 2239	If the Link Type of the incoming request is SCO, then only the Transmit_Bandwidth, Max_Latency, Voice_Settings, and Packet_Type fields are valid.
T138	KEY_C 2241 2243	If
T139	VARIABLE 2244 2255	the R value
T140	CONDITION 2263 2318	present in the received OOB data from the remote device
T141	NEGATION 2256 2318	is not present in the received OOB data from the remote device
T142	STATEMENT 2244 2318	the R value is not present in the received OOB data from the remote device
T143	CAUSE 2241 2318	If the R value is not present in the received OOB data from the remote device
T144	VARIABLE 2320 2328	the Host
T145	CONDITION 2329 2349	shall set R to zeros
T146	STATEMENT 2320 2349	the Host shall set R to zeros
T147	CAUSE_EFFECT_RELATION 2241 2349	If the R value is not present in the received OOB data from the remote device, the Host shall set R to zeros
T148	ROOT_SENTENCE 2241 2350	If the R value is not present in the received OOB data from the remote device, the Host shall set R to zeros.
T149	KEY_C 2352 2354	If
T150	VARIABLE 2355 2369	the Controller
T151	CONDITION 2370 2423	is set to automatically accept the connection attempt
T152	VARIABLE 2425 2431	the LM
T153	CONDITION 2432 2464	should assume default parameters
T154	STATEMENT 2425 2464	the LM should assume default parameters
T155	STATEMENT 2355 2423	the Controller is set to automatically accept the connection attempt
T156	CAUSE 2352 2423	If the Controller is set to automatically accept the connection attempt
T157	CAUSE_EFFECT_RELATION 2352 2464	If the Controller is set to automatically accept the connection attempt, the LM should assume default parameters
T158	ROOT_SENTENCE 2352 2465	If the Controller is set to automatically accept the connection attempt, the LM should assume default parameters.
T159	VARIABLE 2467 2485	The AMP Controller
T160	CONDITION 2486 2523	may refuse to create the logical link
T161	KEY_C 2524 2526	if
T162	VARIABLE 2527 2529	it
T163	CONDITION 2530 2556	has insufficient resources
T164	STATEMENT 2527 2556	it has insufficient resources
T165	CAUSE 2524 2556	if it has insufficient resources
T166	STATEMENT 2467 2523	The AMP Controller may refuse to create the logical link
T167	CAUSE_EFFECT_RELATION 2467 2556	The AMP Controller may refuse to create the logical link if it has insufficient resources
T168	ROOT_SENTENCE 2467 2557	The AMP Controller may refuse to create the logical link if it has insufficient resources.
T169	KEY_C 2559 2561	If
T170	VARIABLE 2562 2578	the cancellation
T171	CONDITION 2579 2593	was successful
T172	VARIABLE 2595 2627	the Physical Link Complete event
T173	CONDITION 2628 2703	shall be generated with the error code Unknown Connection Identifier (0x02)
T174	STATEMENT 2595 2703	the Physical Link Complete event shall be generated with the error code Unknown Connection Identifier (0x02)
T175	STATEMENT 2562 2593	the cancellation was successful
T176	CAUSE 2559 2593	If the cancellation was successful
T177	CAUSE_EFFECT_RELATION 2559 2703	If the cancellation was successful, the Physical Link Complete event shall be generated with the error code Unknown Connection Identifier (0x02)
T178	ROOT_SENTENCE 2559 2704	If the cancellation was successful, the Physical Link Complete event shall be generated with the error code Unknown Connection Identifier (0x02).
T179	VARIABLE 2706 2737	The Logical Link Complete event
T180	CONDITION 2738 2770	contains the Logical Link Handle
T181	CONDITION 2772 2792	Physical Link Handle
T182	CONDITION 2798 2828	the corresponding flow spec ID
T183	AND 2772 2828	Physical Link Handle, and the corresponding flow spec ID
T184	AND 2738 2828	contains the Logical Link Handle, Physical Link Handle, and the corresponding flow spec ID
T185	STATEMENT 2706 2828	The Logical Link Complete event contains the Logical Link Handle, Physical Link Handle, and the corresponding flow spec ID
T186	KEY_C 2829 2831	if
T187	VARIABLE 2832 2844	this command
T188	CONDITION 2845 2858	is successful
T189	STATEMENT 2832 2858	this command is successful
T190	CAUSE 2829 2858	if this command is successful
T191	CAUSE_EFFECT_RELATION 2706 2858	The Logical Link Complete event contains the Logical Link Handle, Physical Link Handle, and the corresponding flow spec ID if this command is successful
T192	ROOT_SENTENCE 2706 2859	The Logical Link Complete event contains the Logical Link Handle, Physical Link Handle, and the corresponding flow spec ID if this command is successful.
T193	VARIABLE 2861 2879	The AMP Controller
T194	CONDITION 2880 2917	may refuse to create the logical link
T195	KEY_C 2918 2920	if
T196	VARIABLE 2921 2923	it
T197	CONDITION 2924 2950	has insufficient resources
T198	STATEMENT 2921 2950	it has insufficient resources
T199	CAUSE 2918 2950	if it has insufficient resources
T200	STATEMENT 2861 2917	The AMP Controller may refuse to create the logical link
T201	CAUSE_EFFECT_RELATION 2861 2950	The AMP Controller may refuse to create the logical link if it has insufficient resources
T202	ROOT_SENTENCE 2861 2951	The AMP Controller may refuse to create the logical link if it has insufficient resources.
T203	KEY_C 3164 3166	If
T204	VARIABLE 3167 3177	the modify
T205	CONDITION 3178 3183	fails
T206	STATEMENT 3167 3183	the modify fails
T207	CAUSE 3164 3183	If the modify fails
T208	VARIABLE 3185 3200	the Controllers
T209	CONDITION 3201 3244	shall revert to previously specified values
T210	STATEMENT 3185 3244	the Controllers shall revert to previously specified values
T211	CAUSE_EFFECT_RELATION 3164 3244	If the modify fails, the Controllers shall revert to previously specified values
T212	ROOT_SENTENCE 3164 3245	If the modify fails, the Controllers shall revert to previously specified values.
T213	KEY_C 3247 3249	If
T214	VARIABLE 3250 3271	the Connection_Handle
T215	CONDITION 3272 3293	refers to an ACL link
T216	KEY_C 3295 3299	then
T217	VARIABLE 3300 3335	a new synchronous logical transport
T218	CONDITION 3336 3350	shall be added
T219	STATEMENT 3300 3350	a new synchronous logical transport shall be added
T220	EFFECT 3295 3350	then a new synchronous logical transport shall be added
T221	STATEMENT 3250 3293	the Connection_Handle refers to an ACL link
T222	CAUSE 3247 3293	If the Connection_Handle refers to an ACL link
T223	CAUSE_EFFECT_RELATION 3247 3350	If the Connection_Handle refers to an ACL link, then a new synchronous logical transport shall be added
T224	ROOT_SENTENCE 3247 3351	If the Connection_Handle refers to an ACL link, then a new synchronous logical transport shall be added.
T225	KEY_C 3353 3355	If
T226	VARIABLE 3356 3360	both
T227	CONDITION 3361 3378	are “transparent”
T228	VARIABLE 3380 3402	the Transmit_Bandwidth
T229	VARIABLE 3407 3426	the Input_Bandwidth
T230	CONDITION 3427 3444	shall be the same
T231	VARIABLE 3449 3463	the Controller
T232	CONDITION 3474 3515	modify the data sent to the remote device
T233	NEGATION 3464 3515	shall not modify the data sent to the remote device
T234	STATEMENT 3449 3515	the Controller shall not modify the data sent to the remote device
T235	AND 3380 3426	the Transmit_Bandwidth and the Input_Bandwidth
T236	STATEMENT 3380 3444	the Transmit_Bandwidth and the Input_Bandwidth shall be the same
T237	AND 3380 3515	the Transmit_Bandwidth and the Input_Bandwidth shall be the same and the Controller shall not modify the data sent to the remote device
T238	STATEMENT 3356 3378	both are “transparent”
T239	CAUSE 3353 3378	If both are “transparent”
T240	CAUSE_EFFECT_RELATION 3353 3515	If both are “transparent”, the Transmit_Bandwidth and the Input_Bandwidth shall be the same and the Controller shall not modify the data sent to the remote device
T241	ROOT_SENTENCE 3353 3516	If both are “transparent”, the Transmit_Bandwidth and the Input_Bandwidth shall be the same and the Controller shall not modify the data sent to the remote device.
T242	VARIABLE 3964 4005	The Synchronous Connection Complete event
T243	CONDITION 4006 4036	contains the Connection_Handle
T244	KEY_C 4037 4039	if
T245	VARIABLE 4040 4052	this command
T246	CONDITION 4053 4066	is successful
T247	STATEMENT 4040 4066	this command is successful
T248	CAUSE 4037 4066	if this command is successful
T249	STATEMENT 3964 4036	The Synchronous Connection Complete event contains the Connection_Handle
T250	CAUSE_EFFECT_RELATION 3964 4066	The Synchronous Connection Complete event contains the Connection_Handle if this command is successful
T251	ROOT_SENTENCE 3964 4067	The Synchronous Connection Complete event contains the Connection_Handle if this command is successful.
T252	KEY_C 4069 4071	If
T253	VARIABLE 4072 4109	the Link Type of the incoming request
T254	CONDITION 4110 4116	is SCO
T255	KEY_C 4118 4122	then
T256	VARIABLE 4123 4158	the Retransmission Effort parameter
T257	CONDITION 4159 4175	shall be ignored
T258	STATEMENT 4123 4175	the Retransmission Effort parameter shall be ignored
T259	EFFECT 4118 4175	then the Retransmission Effort parameter shall be ignored
T260	STATEMENT 4072 4116	the Link Type of the incoming request is SCO
T261	CAUSE 4069 4116	If the Link Type of the incoming request is SCO
T262	CAUSE_EFFECT_RELATION 4069 4175	If the Link Type of the incoming request is SCO, then the Retransmission Effort parameter shall be ignored
T263	ROOT_SENTENCE 4069 4176	If the Link Type of the incoming request is SCO, then the Retransmission Effort parameter shall be ignored.
T264	KEY_C 4178 4180	If
T265	VARIABLE 4181 4192	the LT_ADDR
T266	CONDITION 4201 4214	been reserved
T267	NEGATION 4193 4214	has not been reserved
T268	STATEMENT 4181 4214	the LT_ADDR has not been reserved
T269	VARIABLE 4216 4267	the Unknown Connection Identifier (0x02) error code
T270	CONDITION 4268 4285	shall be returned
T271	STATEMENT 4216 4285	the Unknown Connection Identifier (0x02) error code shall be returned
T272	CAUSE 4178 4214	If the LT_ADDR has not been reserved
T273	CAUSE_EFFECT_RELATION 4178 4285	If the LT_ADDR has not been reserved, the Unknown Connection Identifier (0x02) error code shall be returned
T274	ROOT_SENTENCE 4178 4286	If the LT_ADDR has not been reserved, the Unknown Connection Identifier (0x02) error code shall be returned.
T275	KEY_C 4288 4290	If
T276	VARIABLE 4291 4326	connectionless slave broadcast mode
T277	CONDITION 4334 4341	enabled
T278	NEGATION 4327 4341	is not enabled
T279	STATEMENT 4291 4341	connectionless slave broadcast mode is not enabled
T280	CAUSE 4288 4341	If connectionless slave broadcast mode is not enabled
T281	VARIABLE 4343 4383	the Command Disallowed (0x0C) error code
T282	CONDITION 4384 4401	shall be returned
T283	STATEMENT 4343 4401	the Command Disallowed (0x0C) error code shall be returned
T284	CAUSE_EFFECT_RELATION 4288 4401	If connectionless slave broadcast mode is not enabled, the Command Disallowed (0x0C) error code shall be returned
T285	ROOT_SENTENCE 4288 4402	If connectionless slave broadcast mode is not enabled, the Command Disallowed (0x0C) error code shall be returned.
T286	KEY_C 4404 4406	If
T287	VARIABLE 4407 4415	an error
T288	CONDITION 4416 4422	occurs
T289	CONDITION 4423 4466	after the Command Status event has occurred
T290	AND 4416 4466	occurs after the Command Status event has occurred
T291	STATEMENT 4407 4466	an error occurs after the Command Status event has occurred
T292	CAUSE 4404 4466	If an error occurs after the Command Status event has occurred
T293	KEY_C 4468 4472	then
T294	VARIABLE 4473 4508	the status in the Mode Change event
T295	CONDITION 4509 4533	shall indicate the error
T296	STATEMENT 4473 4533	the status in the Mode Change event shall indicate the error
T297	EFFECT 4468 4533	then the status in the Mode Change event shall indicate the error
T298	CAUSE_EFFECT_RELATION 4404 4533	If an error occurs after the Command Status event has occurred, then the status in the Mode Change event shall indicate the error
T299	ROOT_SENTENCE 4404 4534	If an error occurs after the Command Status event has occurred, then the status in the Mode Change event shall indicate the error.
T300	KEY_C 4536 4538	If
T301	VARIABLE 4539 4547	an error
T302	CONDITION 4548 4554	occurs
T303	CONDITION 4555 4598	after the Command Status event has occurred
T304	AND 4548 4598	occurs after the Command Status event has occurred
T305	STATEMENT 4539 4598	an error occurs after the Command Status event has occurred
T306	CAUSE 4536 4598	If an error occurs after the Command Status event has occurred
T307	KEY_C 4600 4604	then
T308	VARIABLE 4605 4640	the status in the Mode Change event
T309	CONDITION 4641 4665	shall indicate the error
T310	STATEMENT 4605 4665	the status in the Mode Change event shall indicate the error
T311	EFFECT 4600 4665	then the status in the Mode Change event shall indicate the error
T312	CAUSE_EFFECT_RELATION 4536 4665	If an error occurs after the Command Status event has occurred, then the status in the Mode Change event shall indicate the error
T313	ROOT_SENTENCE 4536 4666	If an error occurs after the Command Status event has occurred, then the status in the Mode Change event shall indicate the error.
T314	KEY_C 4668 4670	If
T315	VARIABLE 4671 4685	the Controller
T316	CONDITION 4686 4706	supports both BR/EDR
T317	CONDITION 4711 4713	LE
T318	AND 4686 4713	supports both BR/EDR and LE
T319	STATEMENT 4671 4713	the Controller supports both BR/EDR and LE
T320	CAUSE 4668 4713	If the Controller supports both BR/EDR and LE
T321	KEY_C 4715 4719	then
T322	VARIABLE 4720 4737	the Reset command
T323	CONDITION 4738 4766	shall reset the Link Manager
T324	CONDITION 4768 4776	Baseband
T325	CONDITION 4781 4791	Link Layer
T326	AND 4768 4791	Baseband and Link Layer
T327	AND 4738 4791	shall reset the Link Manager, Baseband and Link Layer
T328	STATEMENT 4720 4791	the Reset command shall reset the Link Manager, Baseband and Link Layer
T329	EFFECT 4715 4791	then the Reset command shall reset the Link Manager, Baseband and Link Layer
T330	CAUSE_EFFECT_RELATION 4668 4791	If the Controller supports both BR/EDR and LE, then the Reset command shall reset the Link Manager, Baseband and Link Layer
T331	ROOT_SENTENCE 4668 4792	If the Controller supports both BR/EDR and LE, then the Reset command shall reset the Link Manager, Baseband and Link Layer.
T332	VARIABLE 12860 12864	This
T333	CONDITION 12865 12887	is an asymmetric value
T334	VARIABLE 12892 12917	the sender of the Request
T335	CONDITION 12918 12955	shall specify its flush timeout value
T336	STATEMENT 12892 12955	the sender of the Request shall specify its flush timeout value
T337	STATEMENT 12860 12887	This is an asymmetric value
T338	AND 12860 12955	This is an asymmetric value and the sender of the Request shall specify its flush timeout value
T339	KEY_C 12956 12958	if
T340	VARIABLE 12959 12961	it
T341	CONDITION 12962 13002	differs from the default value of 0xFFFF
T342	STATEMENT 12959 13002	it differs from the default value of 0xFFFF
T343	CAUSE 12956 13002	if it differs from the default value of 0xFFFF
T344	CAUSE_EFFECT_RELATION 12860 13002	This is an asymmetric value and the sender of the Request shall specify its flush timeout value if it differs from the default value of 0xFFFF
T345	ROOT_SENTENCE 12860 13003	This is an asymmetric value and the sender of the Request shall specify its flush timeout value if it differs from the default value of 0xFFFF.
T346	KEY_C 12608 12610	If
T347	VARIABLE 12611 12628	the remote device
T348	CONDITION 12629 12671	returns a negative response to this option
T349	VARIABLE 12676 12692	the local device
T350	CONDITION 12700 12724	honor the proposed value
T351	NEGATION 12693 12724	cannot honor the proposed value
T352	KEY_C 12726 12730	then
T353	VARIABLE 12731 12733	it
T354	CONDITION 12734 12830	shall either continue the configuration process by sending a new request with the original value
T355	CONDITION 12835 12857	disconnect the channel
T356	OR 12734 12857	shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T357	STATEMENT 12731 12857	it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T358	CAUSE 12726 12857	then it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T359	STATEMENT 12676 12724	the local device cannot honor the proposed value
T360	STATEMENT 12611 12671	the remote device returns a negative response to this option
T361	AND 12611 12724	the remote device returns a negative response to this option and the local device cannot honor the proposed value
T362	CAUSE 12608 12724	If the remote device returns a negative response to this option and the local device cannot honor the proposed value
T363	ROOT_SENTENCE 12608 12858	If the remote device returns a negative response to this option and the local device cannot honor the proposed value, then it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel.
T364	CAUSE_EFFECT_RELATION 12608 12857	If the remote device returns a negative response to this option and the local device cannot honor the proposed value, then it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T365	VARIABLE 12533 12544	This option
T366	CONDITION 12555 12562	be used
T367	NEGATION 12545 12562	shall not be used
T368	KEY_C 12563 12565	if
T369	VARIABLE 12566 12597	the Extended Flow Specification
T370	CONDITION 12598 12605	is used
T371	STATEMENT 12566 12605	the Extended Flow Specification is used
T372	CAUSE 12563 12605	if the Extended Flow Specification is used
T373	STATEMENT 12533 12562	This option shall not be used
T374	CAUSE_EFFECT_RELATION 12533 12605	This option shall not be used if the Extended Flow Specification is used
T375	ROOT_SENTENCE 12533 12606	This option shall not be used if the Extended Flow Specification is used.
T376	KEY_C 12404 12406	If
T377	VARIABLE 12407 12426	the configured mode
T378	CONDITION 12427 12458	is Enhanced Retransmission mode
T379	CONDITION 12462 12476	Streaming mode
T380	KEY_C 12478 12482	then
T381	VARIABLE 12483 12486	MTU
T382	CONDITION 12497 12530	be reconfigured to a smaller size
T383	NEGATION 12487 12530	shall not be reconfigured to a smaller size
T384	STATEMENT 12483 12530	MTU shall not be reconfigured to a smaller size
T385	EFFECT 12478 12530	then MTU shall not be reconfigured to a smaller size
T386	OR 12427 12476	is Enhanced Retransmission mode or Streaming mode
T387	STATEMENT 12407 12476	the configured mode is Enhanced Retransmission mode or Streaming mode
T388	CAUSE 12404 12476	If the configured mode is Enhanced Retransmission mode or Streaming mode
T389	CAUSE_EFFECT_RELATION 12404 12530	If the configured mode is Enhanced Retransmission mode or Streaming mode, then MTU shall not be reconfigured to a smaller size
T390	ROOT_SENTENCE 12404 12531	If the configured mode is Enhanced Retransmission mode or Streaming mode, then MTU shall not be reconfigured to a smaller size.
T395	VARIABLE 12139 12175	The most significant bit of the type
T396	CONDITION 12176 12203	determines the action taken
T397	KEY_C 12204 12206	if
T398	VARIABLE 12207 12217	the option
T399	CONDITION 12225 12235	recognized
T400	NEGATION 12218 12235	is not recognized
T401	STATEMENT 12207 12235	the option is not recognized
T402	CAUSE 12204 12235	if the option is not recognized
T403	STATEMENT 12139 12203	The most significant bit of the type determines the action taken
T404	CAUSE_EFFECT_RELATION 12139 12235	The most significant bit of the type determines the action taken if the option is not recognized
T405	ROOT_SENTENCE 12139 12236	The most significant bit of the type determines the action taken if the option is not recognized.
T406	KEY_C 12054 12056	If
T407	VARIABLE 12057 12067	the device
T408	CONDITION 12068 12105	has sent its own Move Channel request
T409	KEY_C 12107 12111	then
T410	VARIABLE 12112 12123	a collision
T411	CONDITION 12124 12136	has occurred
T412	STATEMENT 12112 12136	a collision has occurred
T413	EFFECT 12107 12136	then a collision has occurred
T414	STATEMENT 12057 12105	the device has sent its own Move Channel request
T415	CAUSE 12054 12105	If the device has sent its own Move Channel request
T416	CAUSE_EFFECT_RELATION 12054 12136	If the device has sent its own Move Channel request, then a collision has occurred
T417	ROOT_SENTENCE 12054 12137	If the device has sent its own Move Channel request, then a collision has occurred.
T418	KEY_C 11996 11998	If
T419	VARIABLE 11999 12005	result
T420	CONDITION 12006 12025	is "Not supported,"
T421	VARIABLE 12029 12033	data
T422	CONDITION 12034 12051	shall be returned
T423	STATEMENT 12029 12051	data shall be returned
T424	NEGATION 12026 12051	no data shall be returned
T425	STATEMENT 11999 12025	result is "Not supported,"
T426	CAUSE 11996 12025	If result is "Not supported,"
T427	CAUSE_EFFECT_RELATION 11996 12051	If result is "Not supported," no data shall be returned
T428	ROOT_SENTENCE 11996 12052	If result is "Not supported," no data shall be returned.
T429	KEY_C 11903 11905	If
T430	VARIABLE 11906 11912	result
T431	CONDITION 11913 11926	is "Success,"
T432	VARIABLE 11927 11941	the data field
T433	CONDITION 11942 11993	contains the information as specified in Table 4.11
T434	STATEMENT 11927 11993	the data field contains the information as specified in Table 4.11
T435	STATEMENT 11906 11926	result is "Success,"
T436	CAUSE 11903 11926	If result is "Success,"
T437	CAUSE_EFFECT_RELATION 11903 11993	If result is "Success," the data field contains the information as specified in Table 4.11
