T1	VARIABLE 35 47	extra audits
T41	NEGATION 354 405	are not required to be individually distinguishable
T42	STATEMENT 344 405	the items are not required to be individually distinguishable
T43	CAUSE 339 405	when the items are not required to be individually distinguishable
T44	STATEMENT 311 338	This identification applies
T45	CAUSE_EFFECT_RELATION 311 405	This identification applies when the items are not required to be individually distinguishable
T46	ROOT_SENTENCE 311 406	This identification applies when the items are not required to be individually distinguishable.
T47	VARIABLE 408 425	Corrective action
T48	CONDITION 426 440	shall be taken
T49	STATEMENT 408 440	Corrective action shall be taken
T50	KEY_C 441 445	when
T51	VARIABLE 446 461	the total error
T52	CONDITION 462 533	is such as to compromise significantly the ability to make measurements
T53	CONDITION 534 562	within the required accuracy
T54	CONDITION 567 576	precision
T55	AND 534 576	within the required accuracy and precision
T56	AND 462 576	is such as to compromise significantly the ability to make measurements within the required accuracy and precision
T57	STATEMENT 446 576	the total error is such as to compromise significantly the ability to make measurements within the required accuracy and precision
T58	CAUSE 441 576	when the total error is such as to compromise significantly the ability to make measurements within the required accuracy and precision
T59	CAUSE_EFFECT_RELATION 408 576	Corrective action shall be taken when the total error is such as to compromise significantly the ability to make measurements within the required accuracy and precision
T60	ROOT_SENTENCE 408 577	Corrective action shall be taken when the total error is such as to compromise significantly the ability to make measurements within the required accuracy and precision.
T61	VARIABLE 579 602	Measurement design data
T62	CONDITION 603 626	shall be made available
T63	KEY_C 628 632	when
T64	VARIABLE 633 641	required
T65	CONDITION 642 657	by the Customer
T66	CONDITION 661 679	his representative
T67	CONDITION 681 730	for verification that it is functionally adequate
T68	OR 642 679	by the Customer or his representative
T69	AND 642 730	by the Customer or his representative, for verification that it is functionally adequate
T70	STATEMENT 633 730	required by the Customer or his representative, for verification that it is functionally adequate
T71	CAUSE 628 730	when required by the Customer or his representative, for verification that it is functionally adequate
T72	STATEMENT 579 626	Measurement design data shall be made available
T73	CAUSE_EFFECT_RELATION 579 730	Measurement design data shall be made available, when required by the Customer or his representative, for verification that it is functionally adequate
T74	ROOT_SENTENCE 579 731	Measurement design data shall be made available, when required by the Customer or his representative, for verification that it is functionally adequate.
T75	KEY_C 733 737	When
T76	VARIABLE 738 747	employing
T77	CONDITION 748 775	statistical quality control
T78	CONDITION 780 796	analysis methods
T79	AND 748 796	statistical quality control and analysis methods
T80	STATEMENT 738 796	employing statistical quality control and analysis methods
T81	CAUSE 733 796	When employing statistical quality control and analysis methods
T82	VARIABLE 798 810	the Supplier
T83	CONDITION 811 875	shall ensure that all the conditions for proper use are enforced
T84	STATEMENT 798 875	the Supplier shall ensure that all the conditions for proper use are enforced
T86	VARIABLE 882 901	sample significance
T87	VARIABLE 903 912	recording
T88	VARIABLE 917 936	elaboration of data
T89	VARIABLE 939 974	formulation of clear decision rules
T90	AND 903 936	recording and elaboration of data
T91	AND 903 974	recording and elaboration of data , formulation of clear decision rules
T92	AND 882 974	sample significance, recording and elaboration of data , formulation of clear decision rules
T93	NONE_CAUSAL 876 975	(e.g. sample significance, recording and elaboration of data , formulation of clear decision rules)
T94	CAUSE_EFFECT_RELATION 733 875	When employing statistical quality control and analysis methods, the Supplier shall ensure that all the conditions for proper use are enforced
T95	ROOT_SENTENCE 733 976	When employing statistical quality control and analysis methods, the Supplier shall ensure that all the conditions for proper use are enforced (e.g. sample significance, recording and elaboration of data , formulation of clear decision rules).
T96	VARIABLE 978 1018	Statistical quality control applications
T97	KEY_C 1020 1024	when
T98	VARIABLE 1025 1029	used
T99	CONDITION 1030 1073	by the Supplier for acceptance of materials
T100	CONDITION 1075 1080	parts
T101	CONDITION 1082 1091	processes
T102	CONDITION 1096 1104	products
T103	AND 1082 1104	processes and products
T104	AND 1075 1104	parts, processes and products
T105	AND 1030 1104	by the Supplier for acceptance of materials, parts, processes and products
T106	STATEMENT 1025 1104	used by the Supplier for acceptance of materials, parts, processes and products
T107	CAUSE 1020 1104	when used by the Supplier for acceptance of materials, parts, processes and products
T108	CONDITION 1106 1139	shall be approved by the Customer
T109	CAUSE_EFFECT_RELATION 978 1139	Statistical quality control applications, when used by the Supplier for acceptance of materials, parts, processes and products, shall be approved by the Customer
T110	ROOT_SENTENCE 978 1140	Statistical quality control applications, when used by the Supplier for acceptance of materials, parts, processes and products, shall be approved by the Customer.
T111	VARIABLE 1142 1156	Sampling plans
T112	CONDITION 1167 1174	be used
T113	NEGATION 1157 1174	shall not be used
T114	STATEMENT 1142 1174	Sampling plans shall not be used
T115	KEY_C 1175 1179	when
T116	VARIABLE 1180 1185	tests
T117	CONDITION 1186 1204	are nondestructive
T118	VARIABLE 1209 1236	the reduction in inspection
T119	VARIABLE 1240 1247	testing
T120	OR 1209 1247	the reduction in inspection or testing
T121	CONDITION 1248 1316	may jeopardise the fulfilment of the business agreement requirements
T122	STATEMENT 1209 1316	the reduction in inspection or testing may jeopardise the fulfilment of the business agreement requirements
T123	STATEMENT 1180 1204	tests are nondestructive
T124	AND 1180 1316	tests are nondestructive and the reduction in inspection or testing may jeopardise the fulfilment of the business agreement requirements
T125	CAUSE 1175 1316	when tests are nondestructive and the reduction in inspection or testing may jeopardise the fulfilment of the business agreement requirements
T126	CAUSE_EFFECT_RELATION 1142 1316	Sampling plans shall not be used when tests are nondestructive and the reduction in inspection or testing may jeopardise the fulfilment of the business agreement requirements
T127	ROOT_SENTENCE 1142 1317	Sampling plans shall not be used when tests are nondestructive and the reduction in inspection or testing may jeopardise the fulfilment of the business agreement requirements.
T128	VARIABLE 15209 15225	The best results
T129	CONDITION 15226 15238	are obtained
T130	KEY_C 15239 15243	when
T131	VARIABLE 15244 15257	a vacuum pump
T132	CONDITION 15258 15265	is used
T133	STATEMENT 15244 15265	a vacuum pump is used
T134	CAUSE 15239 15265	when a vacuum pump is used
T135	STATEMENT 15209 15238	The best results are obtained
T136	CAUSE_EFFECT_RELATION 15209 15265	The best results are obtained when a vacuum pump is used
T137	ROOT_SENTENCE 15209 15266	The best results are obtained when a vacuum pump is used.
T138	KEY_C 15038 15042	When
T139	VARIABLE 15043 15075	a printed circuit board assembly
T140	CONDITION 15076 15122	supports more than 120 passive chip components
T141	VARIABLE 15124 15151	the total number of repairs
T142	CONDITION 15152 15206	shall be limited to 5 % of the passive chip components
T143	STATEMENT 15124 15206	the total number of repairs shall be limited to 5 % of the passive chip components
T144	STATEMENT 15043 15122	a printed circuit board assembly supports more than 120 passive chip components
T145	CAUSE 15038 15122	When a printed circuit board assembly supports more than 120 passive chip components
T146	CAUSE_EFFECT_RELATION 15038 15206	When a printed circuit board assembly supports more than 120 passive chip components, the total number of repairs shall be limited to 5 % of the passive chip components
T147	ROOT_SENTENCE 15038 15207	When a printed circuit board assembly supports more than 120 passive chip components, the total number of repairs shall be limited to 5 % of the passive chip components.
T148	VARIABLE 14865 14872	Repairs
T149	CONDITION 14873 14891	shall be permitted
T150	KEY_C 14892 14896	when
T151	VARIABLE 14897 14899	it
T152	CONDITION 14900 14979	is necessary to restore the functional capability of a printed circuit assembly
T153	CONDITION 14980 15017	that has been damaged during assembly
T154	CONDITION 15021 15035	during testing
T155	OR 14980 15035	that has been damaged during assembly or during testing
T156	AND 14900 15035	is necessary to restore the functional capability of a printed circuit assembly that has been damaged during assembly or during testing
T157	STATEMENT 14897 15035	it is necessary to restore the functional capability of a printed circuit assembly that has been damaged during assembly or during testing
T158	CAUSE 14892 15035	when it is necessary to restore the functional capability of a printed circuit assembly that has been damaged during assembly or during testing
T159	STATEMENT 14865 14891	Repairs shall be permitted
T160	CAUSE_EFFECT_RELATION 14865 15035	Repairs shall be permitted when it is necessary to restore the functional capability of a printed circuit assembly that has been damaged during assembly or during testing
T161	ROOT_SENTENCE 14865 15036	Repairs shall be permitted when it is necessary to restore the functional capability of a printed circuit assembly that has been damaged during assembly or during testing.
T162	KEY_C 14676 14680	When
T163	VARIABLE 14681 14714	a previously undocumented contact
T164	VARIABLE 14719 14735	wire combination
T165	AND 14681 14735	a previously undocumented contact and wire combination
T166	CONDITION 14736 14755	is proposed for use
T167	VARIABLE 14757 14783	a plot as delineated above
T168	CONDITION 14784 14797	shall be made
T169	CONDITION 14799 14862	increments being close enough together to obtain a smooth curve
T170	AND 14784 14862	shall be made, increments being close enough together to obtain a smooth curve
T171	STATEMENT 14757 14862	a plot as delineated above shall be made, increments being close enough together to obtain a smooth curve
T172	STATEMENT 14681 14755	a previously undocumented contact and wire combination is proposed for use
T173	CAUSE 14676 14755	When a previously undocumented contact and wire combination is proposed for use
T174	CAUSE_EFFECT_RELATION 14676 14862	When a previously undocumented contact and wire combination is proposed for use, a plot as delineated above shall be made, increments being close enough together to obtain a smooth curve
T175	ROOT_SENTENCE 14676 14863	When a previously undocumented contact and wire combination is proposed for use, a plot as delineated above shall be made, increments being close enough together to obtain a smooth curve.
T187	KEY_C 13911 13915	When
T188	VARIABLE 13916 13933	organic materials
T189	CONDITION 13941 13952	be detached
T190	NEGATION 13934 13952	cannot be detached
T191	STATEMENT 13916 13952	organic materials cannot be detached
T192	CAUSE 13911 13952	When organic materials cannot be detached
T193	VARIABLE 13954 13963	the areas
T194	CONDITION 13964 13998	can be moistened with the stripper
T195	CONDITION 14003 14020	the paint removed
T196	AND 13964 14020	can be moistened with the stripper and the paint removed
T197	STATEMENT 13954 14020	the areas can be moistened with the stripper and the paint removed
T198	CAUSE_EFFECT_RELATION 13911 14020	When organic materials cannot be detached, the areas can be moistened with the stripper and the paint removed
T199	ROOT_SENTENCE 13911 14021	When organic materials cannot be detached, the areas can be moistened with the stripper and the paint removed.
T205	KEY_C 13687 13691	When
T206	VARIABLE 13692 13702	the layers
T207	CONDITION 13703 13758	are sprayed until the surface just has a wet appearance
T208	VARIABLE 13760 13773	the thickness
T209	CONDITION 13774 13797	is about 10 µm to 15 µm
T210	STATEMENT 13760 13797	the thickness is about 10 µm to 15 µm
T211	STATEMENT 13692 13758	the layers are sprayed until the surface just has a wet appearance
T212	CAUSE 13687 13758	When the layers are sprayed until the surface just has a wet appearance
T213	CAUSE_EFFECT_RELATION 13687 13797	When the layers are sprayed until the surface just has a wet appearance, the thickness is about 10 µm to 15 µm
T214	ROOT_SENTENCE 13687 13798	When the layers are sprayed until the surface just has a wet appearance, the thickness is about 10 µm to 15 µm.
T215	VARIABLE 13622 13633	The surface
T216	CONDITION 13634 13650	shall remain wet
T217	KEY_C 13651 13655	when
T218	VARIABLE 13656 13663	sprayed
T219	CONDITION 13664 13684	with distilled water
T220	STATEMENT 13656 13684	sprayed with distilled water
T221	CAUSE 13651 13684	when sprayed with distilled water
T222	STATEMENT 13622 13650	The surface shall remain wet
T223	CAUSE_EFFECT_RELATION 13622 13684	The surface shall remain wet when sprayed with distilled water
T224	ROOT_SENTENCE 13622 13685	The surface shall remain wet when sprayed with distilled water.
T226	KEY_C 13260 13264	When
T227	VARIABLE 13265 13289	further re-certification
T228	CONDITION 13290 13306	is not permitted
T229	VARIABLE 13308 13320	the material
T230	CONDITION 13321 13341	shall be disposed of
T231	CONDITION 13342 13414	in accordance with the product assurance rules applicable to the project
T232	AND 13321 13414	shall be disposed of in accordance with the product assurance rules applicable to the project
T233	STATEMENT 13308 13414	the material shall be disposed of in accordance with the product assurance rules applicable to the project
T234	STATEMENT 13265 13306	further re-certification is not permitted
T235	CAUSE 13260 13306	When further re-certification is not permitted
T236	CAUSE_EFFECT_RELATION 13260 13414	When further re-certification is not permitted, the material shall be disposed of in accordance with the product assurance rules applicable to the project
T237	ROOT_SENTENCE 13260 13415	When further re-certification is not permitted, the material shall be disposed of in accordance with the product assurance rules applicable to the project.
T249	KEY_C 12972 12976	When
T250	VARIABLE 12977 12986	extrusion
T251	CONDITION 12987 12993	starts
T252	STATEMENT 12977 12993	extrusion starts
T253	CAUSE 12972 12993	When extrusion starts
T254	VARIABLE 12995 13020	turn the conveyor belt on
T255	VARIABLE 13025 13121	be ready to place the plastic trays on the conveyor belt as the igniter dough exits the extruder
T256	AND 12995 13121	turn the conveyor belt on and be ready to place the plastic trays on the conveyor belt as the igniter dough exits the extruder
T257	CAUSE_EFFECT_RELATION 12972 13121	When extrusion starts, turn the conveyor belt on and be ready to place the plastic trays on the conveyor belt as the igniter dough exits the extruder
T258	ROOT_SENTENCE 12972 13122	When extrusion starts, turn the conveyor belt on and be ready to place the plastic trays on the conveyor belt as the igniter dough exits the extruder.
T259	VARIABLE 12846 12852	Timing
T260	CONDITION 12853 12914	shall be started at the first visual indication of combustion
T261	CONDITION 12919 12926	stopped
T262	AND 12853 12926	shall be started at the first visual indication of combustion and stopped
T263	STATEMENT 12846 12926	Timing shall be started at the first visual indication of combustion and stopped
T264	KEY_C 12927 12931	when
T265	VARIABLE 12932 12941	the flame
T266	CONDITION 12942 12969	ceases to propagate upwards
T267	STATEMENT 12932 12969	the flame ceases to propagate upwards
T268	CAUSE 12927 12969	when the flame ceases to propagate upwards
T269	CAUSE_EFFECT_RELATION 12846 12969	Timing shall be started at the first visual indication of combustion and stopped when the flame ceases to propagate upwards
T270	ROOT_SENTENCE 12846 12970	Timing shall be started at the first visual indication of combustion and stopped when the flame ceases to propagate upwards.
T271	KEY_C 12607 12611	When
T272	VARIABLE 12612 12637	the assembly of the cable
T273	VARIABLE 12642 12652	connectors
T274	AND 12612 12652	the assembly of the cable and connectors
T275	CONDITION 12653 12664	is complete
T276	STATEMENT 12612 12664	the assembly of the cable and connectors is complete
T277	CAUSE 12607 12664	When the assembly of the cable and connectors is complete
T278	VARIABLE 12666 12668	it
T279	CONDITION 12669 12697	shall be inspected to ensure
T280	CONDITION 12698 12782	that it is dimensionally correct (i.e. in accordance with the layout drawing or jig)
T281	CONDITION 12787 12843	clean (e.g. free from contaminants, particles and burrs)
T282	AND 12698 12843	that it is dimensionally correct (i.e. in accordance with the layout drawing or jig) and clean (e.g. free from contaminants, particles and burrs)
T283	AND 12669 12843	shall be inspected to ensure that it is dimensionally correct (i.e. in accordance with the layout drawing or jig) and clean (e.g. free from contaminants, particles and burrs)
T284	STATEMENT 12666 12843	it shall be inspected to ensure that it is dimensionally correct (i.e. in accordance with the layout drawing or jig) and clean (e.g. free from contaminants, particles and burrs)
T285	CAUSE_EFFECT_RELATION 12607 12843	When the assembly of the cable and connectors is complete, it shall be inspected to ensure that it is dimensionally correct (i.e. in accordance with the layout drawing or jig) and clean (e.g. free from contaminants, particles and burrs)
T286	ROOT_SENTENCE 12607 12844	When the assembly of the cable and connectors is complete, it shall be inspected to ensure that it is dimensionally correct (i.e. in accordance with the layout drawing or jig) and clean (e.g. free from contaminants, particles and burrs).
T287	VARIABLE 12227 12246	Special precautions
T288	CONDITION 12247 12261	shall be taken
T289	KEY_C 12262 12266	when
T292	VARIABLE 12267 12305	using portable reflectometer equipment
T293	CAUSE 12262 12305	when using portable reflectometer equipment
T294	STATEMENT 12227 12261	Special precautions shall be taken
T295	CAUSE_EFFECT_RELATION 12227 12305	Special precautions shall be taken when using portable reflectometer equipment
T296	ROOT_SENTENCE 12227 12306	Special precautions shall be taken when using portable reflectometer equipment.
T297	VARIABLE 12144 12156	The baseline
T298	CONDITION 12157 12194	shall be measured at least once a day
T299	KEY_C 12195 12199	when
T300	VARIABLE 12200 12209	equipment
T301	CONDITION 12210 12224	is switched on
T302	STATEMENT 12200 12224	equipment is switched on
T303	CAUSE 12195 12224	when equipment is switched on
T304	STATEMENT 12144 12194	The baseline shall be measured at least once a day
T305	CAUSE_EFFECT_RELATION 12144 12224	The baseline shall be measured at least once a day when equipment is switched on
T306	ROOT_SENTENCE 12144 12225	The baseline shall be measured at least once a day when equipment is switched on.
T307	VARIABLE 12047 12051	This
T308	CONDITION 12052 12107	can require slight preforming of the pre-tinned lengths
T309	KEY_C 12108 12112	when
T310	VARIABLE 12113 12129	thick insulation
T311	CONDITION 12130 12141	is employed
T312	STATEMENT 12113 12141	thick insulation is employed
T313	CAUSE 12108 12141	when thick insulation is employed
T314	STATEMENT 12047 12107	This can require slight preforming of the pre-tinned lengths
T315	CAUSE_EFFECT_RELATION 12047 12141	This can require slight preforming of the pre-tinned lengths when thick insulation is employed
T316	ROOT_SENTENCE 12047 12142	This can require slight preforming of the pre-tinned lengths when thick insulation is employed.
T317	KEY_C 11898 11902	When
T318	VARIABLE 11903 11926	more than one conductor
T319	CONDITION 11927 11953	is connected to a terminal
T320	VARIABLE 11955 12005	the direction of bend of each additional conductor
T321	CONDITION 12006 12044	shall alternate (Figure 16(b) and (d))
T322	STATEMENT 11955 12044	the direction of bend of each additional conductor shall alternate (Figure 16(b) and (d))
T323	STATEMENT 11903 11953	more than one conductor is connected to a terminal
T324	CAUSE 11898 11953	When more than one conductor is connected to a terminal
T325	CAUSE_EFFECT_RELATION 11898 12044	When more than one conductor is connected to a terminal, the direction of bend of each additional conductor shall alternate (Figure 16(b) and (d))
T326	ROOT_SENTENCE 11898 12045	When more than one conductor is connected to a terminal, the direction of bend of each additional conductor shall alternate (Figure 16(b) and (d)).
T327	KEY_C 11715 11719	When
T328	VARIABLE 11720 11744	characteristic impedance
T329	VARIABLE 11748 11766	circuit parameters
T330	CONDITION 11767 11779	are affected
T331	OR 11720 11766	characteristic impedance or circuit parameters
T332	STATEMENT 11720 11779	characteristic impedance or circuit parameters are affected
T333	KEY_NC 11781 11786	as in
T334	VARIABLE 11787 11808	high-voltage circuits
T335	VARIABLE 11812 11840	RF coaxial line terminations
T336	OR 11787 11840	high-voltage circuits or RF coaxial line terminations
T337	NONE_CAUSAL 11781 11840	as in high-voltage circuits or RF coaxial line terminations
T338	VARIABLE 11842 11879	the insulation clearance requirements
T339	CONDITION 11880 11895	may be modified
T340	STATEMENT 11842 11895	the insulation clearance requirements may be modified
T341	CAUSE 11715 11779	When characteristic impedance or circuit parameters are affected
T342	CAUSE_EFFECT_RELATION 11715 11895	When characteristic impedance or circuit parameters are affected, as in high-voltage circuits or RF coaxial line terminations, the insulation clearance requirements may be modified
T343	ROOT_SENTENCE 11715 11896	When characteristic impedance or circuit parameters are affected, as in high-voltage circuits or RF coaxial line terminations, the insulation clearance requirements may be modified.
T344	KEY_C 11624 11628	When
T345	VARIABLE 11629 11637	the heel
T346	CONDITION 11638 11649	is soldered
T347	VARIABLE 11651 11658	fillets
T348	CONDITION 11659 11712	shall conform to the applicable workmanship standards
T349	STATEMENT 11651 11712	fillets shall conform to the applicable workmanship standards
T350	STATEMENT 11629 11649	the heel is soldered
T351	CAUSE 11624 11649	When the heel is soldered
T352	CAUSE_EFFECT_RELATION 11624 11712	When the heel is soldered, fillets shall conform to the applicable workmanship standards
T353	ROOT_SENTENCE 11624 11713	When the heel is soldered, fillets shall conform to the applicable workmanship standards.
T354	KEY_C 11451 11455	When
T355	VARIABLE 11456 11476	a solid hook-up wire
T356	CONDITION 11477 11547	is used to interconnect solder terminations on opposite sides of a PCB
T357	VARIABLE 11549 11562	stress relief
T358	CONDITION 11563 11621	shall be provided in the wire between the two terminations
T359	STATEMENT 11549 11621	stress relief shall be provided in the wire between the two terminations
T360	STATEMENT 11456 11547	a solid hook-up wire is used to interconnect solder terminations on opposite sides of a PCB
T361	CAUSE 11451 11547	When a solid hook-up wire is used to interconnect solder terminations on opposite sides of a PCB
T362	CAUSE_EFFECT_RELATION 11451 11621	When a solid hook-up wire is used to interconnect solder terminations on opposite sides of a PCB, stress relief shall be provided in the wire between the two terminations
T363	ROOT_SENTENCE 11451 11622	When a solid hook-up wire is used to interconnect solder terminations on opposite sides of a PCB, stress relief shall be provided in the wire between the two terminations.
T364	KEY_C 11106 11110	When
T365	VARIABLE 11111 11133	heat-shrinkable tubing
T366	CONDITION 11134 11141	is used
T367	STATEMENT 11111 11141	heat-shrinkable tubing is used
T368	CAUSE 11106 11141	When heat-shrinkable tubing is used
T369	VARIABLE 11143 11155	extreme care
T370	CONDITION 11156 11188	shall be taken to prevent damage
T371	STATEMENT 11143 11188	extreme care shall be taken to prevent damage
T372	KEY_C 11189 11195	due to
T373	VARIABLE 11196 11210	excessive heat
T374	VARIABLE 11214 11233	shrinkage of tubing
T375	OR 11196 11233	excessive heat or shrinkage of tubing
T376	CAUSE 11189 11233	due to excessive heat or shrinkage of tubing
T377	CAUSE_EFFECT_RELATION 11143 11233	extreme care shall be taken to prevent damage due to excessive heat or shrinkage of tubing
T378	CAUSE_EFFECT_RELATION 11106 11233	When heat-shrinkable tubing is used, extreme care shall be taken to prevent damage due to excessive heat or shrinkage of tubing
T379	ROOT_SENTENCE 11106 11234	When heat-shrinkable tubing is used, extreme care shall be taken to prevent damage due to excessive heat or shrinkage of tubing.
T380	KEY_C 10993 10997	When
T381	VARIABLE 10998 11008	the solder
T382	CONDITION 11009 11024	produces a dull
T383	CONDITION 11026 11032	frosty
T384	CONDITION 11036 11067	granular appearance on the work
T385	OR 11026 11067	frosty or granular appearance on the work
T386	OR 11009 11067	produces a dull, frosty or granular appearance on the work
T387	STATEMENT 10998 11067	the solder produces a dull, frosty or granular appearance on the work
T388	CAUSE 10993 11067	When the solder produces a dull, frosty or granular appearance on the work
T389	VARIABLE 11069 11077	the bath
T390	CONDITION 11078 11103	shall be removed from use
T391	STATEMENT 11069 11103	the bath shall be removed from use
T392	CAUSE_EFFECT_RELATION 10993 11103	When the solder produces a dull, frosty or granular appearance on the work, the bath shall be removed from use
T393	ROOT_SENTENCE 10993 11104	When the solder produces a dull, frosty or granular appearance on the work, the bath shall be removed from use.
T394	KEY_C 10916 10920	When
T395	VARIABLE 10921 10929	possible
T396	CAUSE 10916 10929	When possible
T397	VARIABLE 10931 10949	anti-wicking tools
T398	CONDITION 10950 10990	shall be employed (see sub-clause 5.5.9)
T399	STATEMENT 10931 10990	anti-wicking tools shall be employed (see sub-clause 5.5.9)
T400	CAUSE_EFFECT_RELATION 10916 10990	When possible, anti-wicking tools shall be employed (see sub-clause 5.5.9)
T401	ROOT_SENTENCE 10916 10991	When possible, anti-wicking tools shall be employed (see sub-clause 5.5.9).
T402	VARIABLE 10795 10836	All materials contained in this subclause
T403	CONDITION 10837 10867	shall be individually assessed
T404	KEY_C 10868 10872	when
T405	VARIABLE 10873 10898	flammability requirements
T406	CONDITION 10899 10913	are applicable
T407	STATEMENT 10873 10913	flammability requirements are applicable
T408	CAUSE 10868 10913	when flammability requirements are applicable
T409	STATEMENT 10795 10867	All materials contained in this subclause shall be individually assessed
T410	CAUSE_EFFECT_RELATION 10795 10913	All materials contained in this subclause shall be individually assessed when flammability requirements are applicable
T411	ROOT_SENTENCE 10795 10914	All materials contained in this subclause shall be individually assessed when flammability requirements are applicable.
T412	VARIABLE 10645 10667	These activated fluxes
T413	CONDITION 10678 10685	be used
T414	NEGATION 10668 10685	shall not be used
T415	STATEMENT 10645 10685	These activated fluxes shall not be used
T416	KEY_C 10686 10690	when
T417	VARIABLE 10691 10704	their vapours
T418	VARIABLE 10708 10734	residues of spattered flux
T419	OR 10691 10734	their vapours or residues of spattered flux
T420	CONDITION 10735 10792	can come into contact with electrical insulation material
T421	STATEMENT 10691 10792	their vapours or residues of spattered flux can come into contact with electrical insulation material
T422	CAUSE 10686 10792	when their vapours or residues of spattered flux can come into contact with electrical insulation material
T423	CAUSE_EFFECT_RELATION 10645 10792	These activated fluxes shall not be used when their vapours or residues of spattered flux can come into contact with electrical insulation material
T424	ROOT_SENTENCE 10645 10793	These activated fluxes shall not be used when their vapours or residues of spattered flux can come into contact with electrical insulation material.
T425	KEY_C 10493 10497	When
T426	VARIABLE 10498 10516	rosin-based fluxes
T427	CONDITION 10517 10570	are inadequate for the pre-tinning of component leads
T428	CONDITION 10574 10588	terminal posts
T429	OR 10517 10588	are inadequate for the pre-tinning of component leads or terminal posts
T430	STATEMENT 10498 10588	rosin-based fluxes are inadequate for the pre-tinning of component leads or terminal posts
T431	CAUSE 10493 10588	When rosin-based fluxes are inadequate for the pre-tinning of component leads or terminal posts
T432	KEY_C 10590 10594	then
T433	VARIABLE 10595 10630	corrosive water-soluble acid fluxes
T434	CONDITION 10631 10642	may be used
T435	STATEMENT 10595 10642	corrosive water-soluble acid fluxes may be used
T436	EFFECT 10590 10642	then corrosive water-soluble acid fluxes may be used
T437	CAUSE_EFFECT_RELATION 10493 10642	When rosin-based fluxes are inadequate for the pre-tinning of component leads or terminal posts, then corrosive water-soluble acid fluxes may be used
T438	ROOT_SENTENCE 10493 10643	When rosin-based fluxes are inadequate for the pre-tinning of component leads or terminal posts, then corrosive water-soluble acid fluxes may be used.
T439	KEY_C 10348 10352	When
T440	VARIABLE 10353 10365	cored solder
T441	CONDITION 10366 10373	is used
T442	VARIABLE 10375 10377	it
T443	CONDITION 10378 10407	shall be placed in a position
T444	CONDITION 10408 10436	that allows the flux to flow
T445	CONDITION 10441 10490	cover the connection elements as the solder melts
T446	AND 10408 10490	that allows the flux to flow and cover the connection elements as the solder melts
T447	AND 10378 10490	shall be placed in a position that allows the flux to flow and cover the connection elements as the solder melts
T448	STATEMENT 10375 10490	it shall be placed in a position that allows the flux to flow and cover the connection elements as the solder melts
T449	STATEMENT 10353 10373	cored solder is used
T450	CAUSE 10348 10373	When cored solder is used
T451	CAUSE_EFFECT_RELATION 10348 10490	When cored solder is used, it shall be placed in a position that allows the flux to flow and cover the connection elements as the solder melts
T452	ROOT_SENTENCE 10348 10491	When cored solder is used, it shall be placed in a position that allows the flux to flow and cover the connection elements as the solder melts.
T453	KEY_C 10238 10242	When
T454	VARIABLE 10243 10266	an external liquid flux
T455	CONDITION 10267 10313	is used in conjunction with flux cored solders
T456	STATEMENT 10243 10313	an external liquid flux is used in conjunction with flux cored solders
T457	CAUSE 10238 10313	When an external liquid flux is used in conjunction with flux cored solders
T458	VARIABLE 10315 10325	the fluxes
T459	CONDITION 10326 10345	shall be compatible
T460	STATEMENT 10315 10345	the fluxes shall be compatible
