T1	VARIABLE 0 4	This
T108	ROOT_SENTENCE 2420 2541	Rationale: When crewed, the Gateway will be nominally maintained at pressures near to Earth sea level 101 kPa (14.7 psi).
T109	KEY_C 2750 2754	when
T110	VARIABLE 2755 2775	the robotic hardware
T111	CONDITION 2776 2804	was within 2 ft of structure
T112	STATEMENT 2755 2804	the robotic hardware was within 2 ft of structure
T113	CAUSE 2750 2804	when the robotic hardware was within 2 ft of structure
T114	VARIABLE 2543 2549	On ISS
T115	CONDITION 2550 2612	this involved selection of a Torque Equilibrium Attitude (TEA)
T116	CONDITION 2613 2645	to maximize CMG control capacity
T117	CONDITION 2647 2667	controlling exercise
T118	CONDITION 2673 2692	performing dockings
T119	CONDITION 2696 2715	orbital maintenance
T120	OR 2673 2715	performing dockings or orbital maintenance
T121	CONDITION 2721 2749	inhibiting CMG desaturations
T122	NEGATION 2669 2715	not performing dockings or orbital maintenance
T123	AND 2669 2749	not performing dockings or orbital maintenance, and inhibiting CMG desaturations
T124	AND 2647 2749	controlling exercise, not performing dockings or orbital maintenance, and inhibiting CMG desaturations
T125	AND 2613 2749	to maximize CMG control capacity, controlling exercise, not performing dockings or orbital maintenance, and inhibiting CMG desaturations
T126	AND 2550 2749	this involved selection of a Torque Equilibrium Attitude (TEA) to maximize CMG control capacity, controlling exercise, not performing dockings or orbital maintenance, and inhibiting CMG desaturations
T127	STATEMENT 2543 2749	On ISS this involved selection of a Torque Equilibrium Attitude (TEA) to maximize CMG control capacity, controlling exercise, not performing dockings or orbital maintenance, and inhibiting CMG desaturations
T128	CAUSE_EFFECT_RELATION 2543 2804	On ISS this involved selection of a Torque Equilibrium Attitude (TEA) to maximize CMG control capacity, controlling exercise, not performing dockings or orbital maintenance, and inhibiting CMG desaturations when the robotic hardware was within 2 ft of structure
T129	ROOT_SENTENCE 2543 2805	On ISS this involved selection of a Torque Equilibrium Attitude (TEA) to maximize CMG control capacity, controlling exercise, not performing dockings or orbital maintenance, and inhibiting CMG desaturations when the robotic hardware was within 2 ft of structure.
T130	KEY_C 2993 2997	When
T131	VARIABLE 2998 3045	the normative references cited within documents
T132	CONDITION 3053 3090	have an applicable revision specified
T133	NEGATION 3046 3090	do not have an applicable revision specified
T134	STATEMENT 2998 3090	the normative references cited within documents do not have an applicable revision specified
T135	CAUSE 2993 3090	When the normative references cited within documents do not have an applicable revision specified
T136	VARIABLE 3092 3115	the applicable revision
T137	CONDITION 3116 3189	shall also be the current revision in effect on the date of the agreement
T138	CONDITION 3193 3201	contract
T139	OR 3116 3201	shall also be the current revision in effect on the date of the agreement or contract
T140	STATEMENT 3092 3201	the applicable revision shall also be the current revision in effect on the date of the agreement or contract
T141	CAUSE_EFFECT_RELATION 2993 3201	When the normative references cited within documents do not have an applicable revision specified, the applicable revision shall also be the current revision in effect on the date of the agreement or contract
T142	ROOT_SENTENCE 2993 3202	When the normative references cited within documents do not have an applicable revision specified, the applicable revision shall also be the current revision in effect on the date of the agreement or contract.
T143	KEY_C 3204 3208	When
T144	VARIABLE 3209 3256	analysis of segment-level qualification results
T145	CONDITION 3264 3320	adequate to prove compliance with the stated requirement
T146	NEGATION 3257 3320	is not adequate to prove compliance with the stated requirement
T147	STATEMENT 3209 3320	analysis of segment-level qualification results is not adequate to prove compliance with the stated requirement
T148	CAUSE 3204 3320	When analysis of segment-level qualification results is not adequate to prove compliance with the stated requirement
T149	VARIABLE 3322 3359	system level qualification activities
T150	CONDITION 3360 3406	will be conducted as identified in section 4.2
T151	STATEMENT 3322 3406	system level qualification activities will be conducted as identified in section 4.2
T152	CAUSE_EFFECT_RELATION 3204 3406	When analysis of segment-level qualification results is not adequate to prove compliance with the stated requirement, system level qualification activities will be conducted as identified in section 4.2
T153	ROOT_SENTENCE 3204 3407	When analysis of segment-level qualification results is not adequate to prove compliance with the stated requirement, system level qualification activities will be conducted as identified in section 4.2.
T154	VARIABLE 3409 3417	Analysis
T155	CONDITION 3418 3432	should be used
T156	KEY_C 3433 3442	only when
T157	CONDITION 3443 3480	all of the following conditions apply
T158	CONDITION 3482 3528	(1) rigorous and accurate analysis is possible
T159	CONDITION 3530 3588	(2) verification by test is not feasible or cost effective
T160	CONDITION 3598 3640	verification by inspection is not adequate
T161	AND 3530 3640	(2) verification by test is not feasible or cost effective, and (3) verification by inspection is not adequate
T162	AND 3482 3640	(1) rigorous and accurate analysis is possible, (2) verification by test is not feasible or cost effective, and (3) verification by inspection is not adequate
T163	AND 3443 3640	all of the following conditions apply: (1) rigorous and accurate analysis is possible, (2) verification by test is not feasible or cost effective, and (3) verification by inspection is not adequate
T164	CAUSE 3433 3640	only when all of the following conditions apply: (1) rigorous and accurate analysis is possible, (2) verification by test is not feasible or cost effective, and (3) verification by inspection is not adequate
T165	STATEMENT 3409 3432	Analysis should be used
T166	CAUSE_EFFECT_RELATION 3409 3640	Analysis should be used only when all of the following conditions apply: (1) rigorous and accurate analysis is possible, (2) verification by test is not feasible or cost effective, and (3) verification by inspection is not adequate
T167	ROOT_SENTENCE 3409 3641	Analysis should be used only when all of the following conditions apply: (1) rigorous and accurate analysis is possible, (2) verification by test is not feasible or cost effective, and (3) verification by inspection is not adequate.
T168	KEY_C 3643 3647	When
T169	VARIABLE 3648 3683	conducting Verification by Analysis
T170	VARIABLE 3685 3695	the models
T171	VARIABLE 3697 3708	simulations
T172	VARIABLE 3714 3728	analysis tools
T173	AND 3697 3728	simulations, and analysis tools
T174	AND 3685 3728	the models, simulations, and analysis tools
T175	CONDITION 3729 3762	must be accredited by the Program
T176	CONDITION 3767 3814	Element/Modules to certify appropriate fidelity
T177	CONDITION 3819 3847	software development quality
T178	AND 3767 3847	Element/Modules to certify appropriate fidelity and software development quality
T179	AND 3729 3847	must be accredited by the Program and Element/Modules to certify appropriate fidelity and software development quality
T180	STATEMENT 3685 3847	the models, simulations, and analysis tools must be accredited by the Program and Element/Modules to certify appropriate fidelity and software development quality
T181	CAUSE 3643 3683	When conducting Verification by Analysis
T182	CAUSE_EFFECT_RELATION 3643 3847	When conducting Verification by Analysis, the models, simulations, and analysis tools must be accredited by the Program and Element/Modules to certify appropriate fidelity and software development quality
T183	ROOT_SENTENCE 3643 3848	When conducting Verification by Analysis, the models, simulations, and analysis tools must be accredited by the Program and Element/Modules to certify appropriate fidelity and software development quality.
T184	VARIABLE 3850 3869	Spacecraft charging
T185	CONDITION 3870 3922	is defined as voltage building‐up of a space vehicle
T186	CONDITION 3926 3942	spacecraft units
T187	OR 3870 3942	is defined as voltage building‐up of a space vehicle or spacecraft units
T188	STATEMENT 3850 3942	Spacecraft charging is defined as voltage building‐up of a space vehicle or spacecraft units
T189	KEY_C 3943 3947	when
T190	VARIABLE 3948 3966	immerged in plasma
T191	CAUSE 3943 3966	when immerged in plasma
T192	CAUSE_EFFECT_RELATION 3850 3966	Spacecraft charging is defined as voltage building‐up of a space vehicle or spacecraft units when immerged in plasma
T193	ROOT_SENTENCE 3850 3967	Spacecraft charging is defined as voltage building‐up of a space vehicle or spacecraft units when immerged in plasma.
T194	KEY_C 3969 3973	When
T195	VARIABLE 3974 3979	power
T196	VARIABLE 3984 3990	signal
T197	AND 3974 3990	power and signal
T198	CONDITION 3991 4029	share common paths (wire or structure)
T199	STATEMENT 3974 4029	power and signal share common paths (wire or structure)
T200	CAUSE 3969 4029	When power and signal share common paths (wire or structure)
T201	VARIABLE 4031 4064	the magnitude of ground impedance
T202	CONDITION 4065 4115	shall be limited over the affected signal spectrum
T203	STATEMENT 4031 4115	the magnitude of ground impedance shall be limited over the affected signal spectrum
T204	CAUSE_EFFECT_RELATION 3969 4115	When power and signal share common paths (wire or structure), the magnitude of ground impedance shall be limited over the affected signal spectrum
T205	ROOT_SENTENCE 3969 4116	When power and signal share common paths (wire or structure), the magnitude of ground impedance shall be limited over the affected signal spectrum.
T206	KEY_C 4118 4122	When
T207	VARIABLE 4123 4132	shielding
T208	CONDITION 4133 4176	is used to control EMC with the environment
T209	VARIABLE 4178 4180	it
T210	CONDITION 4181 4262	can be provided by the basic space vehicle structure designed as a “Faraday cage”
T212	CONDITION 4303 4333	by cable or bundle overshields
T213	CONDITION 4264 4298	by enclosures of electronics boxes
T211	OR 4264 4333	by enclosures of electronics boxes, or by cable or bundle overshields
T214	AND 4181 4333	can be provided by the basic space vehicle structure designed as a “Faraday cage”, by enclosures of electronics boxes, or by cable or bundle overshields
T215	STATEMENT 4178 4333	it can be provided by the basic space vehicle structure designed as a “Faraday cage”, by enclosures of electronics boxes, or by cable or bundle overshields
T216	STATEMENT 4123 4176	shielding is used to control EMC with the environment
T217	CAUSE 4118 4176	When shielding is used to control EMC with the environment
T218	CAUSE_EFFECT_RELATION 4118 4333	When shielding is used to control EMC with the environment, it can be provided by the basic space vehicle structure designed as a “Faraday cage”, by enclosures of electronics boxes, or by cable or bundle overshields
T219	ROOT_SENTENCE 4118 4334	When shielding is used to control EMC with the environment, it can be provided by the basic space vehicle structure designed as a “Faraday cage”, by enclosures of electronics boxes, or by cable or bundle overshields.
T220	VARIABLE 4336 4367	Bundles of different categories
T221	CONDITION 4368 4386	shall be separated
T222	CONDITION 4387 4455	either by a separation distance of 5 cm from the outer circumference
T223	CONDITION 4459 4479	by a metallic screen
T224	OR 4387 4479	either by a separation distance of 5 cm from the outer circumference or by a metallic screen
T225	AND 4368 4479	shall be separated either by a separation distance of 5 cm from the outer circumference or by a metallic screen
T226	STATEMENT 4336 4479	Bundles of different categories shall be separated either by a separation distance of 5 cm from the outer circumference or by a metallic screen
T227	KEY_C 4480 4484	when
T228	VARIABLE 4485 4489	they
T229	CONDITION 4490 4518	are routed on parallel paths
T230	STATEMENT 4485 4518	they are routed on parallel paths
T231	CAUSE 4480 4518	when they are routed on parallel paths
T232	CAUSE_EFFECT_RELATION 4336 4518	Bundles of different categories shall be separated either by a separation distance of 5 cm from the outer circumference or by a metallic screen when they are routed on parallel paths
T233	ROOT_SENTENCE 4336 4519	Bundles of different categories shall be separated either by a separation distance of 5 cm from the outer circumference or by a metallic screen when they are routed on parallel paths.
T234	KEY_C 4594 4598	when
T235	VARIABLE 4599 4626	the electromagnetic ambient
T236	CONDITION 4627 4649	is at its lowest level
T237	STATEMENT 4599 4649	the electromagnetic ambient is at its lowest level
T238	CAUSE 4594 4649	when the electromagnetic ambient is at its lowest level
T239	VARIABLE 4542 4551	the tests
T240	CONDITION 4552 4578	are performed during times
T241	CONDITION 4583 4593	conditions
T242	AND 4552 4593	are performed during times and conditions
T243	STATEMENT 4542 4593	the tests are performed during times and conditions
T244	STATEMENT 4524 4540	unshielded sites
T245	CAUSE 4521 4540	In unshielded sites
T246	CAUSE_EFFECT_RELATION 4542 4649	the tests are performed during times and conditions when the electromagnetic ambient is at its lowest level
T247	ROOT_SENTENCE 4521 4650	In unshielded sites, the tests are performed during times and conditions when the electromagnetic ambient is at its lowest level.
T248	VARIABLE 4652 4672	RF absorber material
T249	CONDITION 4673 4686	shall be used
T250	STATEMENT 4652 4686	RF absorber material shall be used
T251	KEY_C 4687 4691	when
T252	VARIABLE 4692 4702	performing
T253	CONDITION 4703 4736	electric field radiated emissions
T254	CONDITION 4740 4771	radiated susceptibility testing
T255	OR 4703 4771	electric field radiated emissions or radiated susceptibility testing
T256	CONDITION 4772 4819	to reduce reflections of electromagnetic energy
T257	CONDITION 4824 4843	to improve accuracy
T258	CONDITION 4848 4861	repeatability
T259	AND 4824 4861	to improve accuracy and repeatability
T260	AND 4772 4861	to reduce reflections of electromagnetic energy and to improve accuracy and repeatability
T261	AND 4703 4861	electric field radiated emissions or radiated susceptibility testing to reduce reflections of electromagnetic energy and to improve accuracy and repeatability
T262	STATEMENT 4692 4861	performing electric field radiated emissions or radiated susceptibility testing to reduce reflections of electromagnetic energy and to improve accuracy and repeatability
T263	CAUSE 4687 4861	when performing electric field radiated emissions or radiated susceptibility testing to reduce reflections of electromagnetic energy and to improve accuracy and repeatability
T264	CAUSE_EFFECT_RELATION 4652 4861	RF absorber material shall be used when performing electric field radiated emissions or radiated susceptibility testing to reduce reflections of electromagnetic energy and to improve accuracy and repeatability
T265	ROOT_SENTENCE 4652 4862	RF absorber material shall be used when performing electric field radiated emissions or radiated susceptibility testing to reduce reflections of electromagnetic energy and to improve accuracy and repeatability.
T266	KEY_C 4864 4868	When
T267	VARIABLE 4869 4887	external terminals
T268	VARIABLE 4889 4903	connector pins
T269	VARIABLE 4908 4938	equipment grounding conductors
T270	OR 4889 4938	connector pins, or equipment grounding conductors
T271	OR 4869 4938	external terminals, connector pins, or equipment grounding conductors
T272	CONDITION 4939 4982	are available for safety ground connections
T273	CONDITION 4987 5022	are used in the actual installation
T274	AND 4939 5022	are available for safety ground connections and are used in the actual installation
T275	STATEMENT 4869 5022	external terminals, connector pins, or equipment grounding conductors are available for safety ground connections and are used in the actual installation
T276	CAUSE 4864 5022	When external terminals, connector pins, or equipment grounding conductors are available for safety ground connections and are used in the actual installation
T277	VARIABLE 5024 5028	they
T278	CONDITION 5029 5067	shall be connected to the ground plane
T279	STATEMENT 5024 5067	they shall be connected to the ground plane
T280	CAUSE_EFFECT_RELATION 4864 5067	When external terminals, connector pins, or equipment grounding conductors are available for safety ground connections and are used in the actual installation, they shall be connected to the ground plane
T281	ROOT_SENTENCE 4864 5068	When external terminals, connector pins, or equipment grounding conductors are available for safety ground connections and are used in the actual installation, they shall be connected to the ground plane.
T282	KEY_C 5070 5074	When
T283	VARIABLE 5075 5094	variable electrical
T284	VARIABLE 5098 5116	mechanical loading
T285	OR 5075 5116	variable electrical or mechanical loading
T286	CONDITION 5117 5154	is present in the actual installation
T287	VARIABLE 5156 5163	testing
T288	CONDITION 5164 5219	shall be performed under expected worst‐case conditions
T289	STATEMENT 5156 5219	testing shall be performed under expected worst‐case conditions
T290	STATEMENT 5075 5154	variable electrical or mechanical loading is present in the actual installation
T291	CAUSE 5070 5154	When variable electrical or mechanical loading is present in the actual installation
T292	CAUSE_EFFECT_RELATION 5070 5219	When variable electrical or mechanical loading is present in the actual installation, testing shall be performed under expected worst‐case conditions
T293	ROOT_SENTENCE 5070 5220	When variable electrical or mechanical loading is present in the actual installation, testing shall be performed under expected worst‐case conditions.
T294	KEY_C 5222 5226	When
T295	VARIABLE 5227 5252	active electrical loading
T296	CONDITION 5253 5260	is used
T297	STATEMENT 5227 5260	active electrical loading is used
T298	CAUSE 5222 5260	When active electrical loading is used
T299	VARIABLE 5262 5264	it
T300	CONDITION 5265 5342	shall be ensured that the active load meets the ambient requirements of 5.2.2
T302	KEY_C 5442 5446	When
T303	VARIABLE 5447 5454	the EUT
T304	CONDITION 5455 5532	has several available modes (including software controlled operational modes)
T305	VARIABLE 5534 5553	the number of modes
T306	CONDITION 5554 5579	to be tested for emission
T307	CONDITION 5584 5598	susceptibility
T308	AND 5554 5598	to be tested for emission and susceptibility
T309	CONDITION 5599 5644	shall be such that all circuitry is evaluated
T310	AND 5554 5644	to be tested for emission and susceptibility shall be such that all circuitry is evaluated
T311	STATEMENT 5534 5644	the number of modes to be tested for emission and susceptibility shall be such that all circuitry is evaluated
T312	STATEMENT 5447 5532	the EUT has several available modes (including software controlled operational modes)
T313	CAUSE 5442 5532	When the EUT has several available modes (including software controlled operational modes)
T314	CAUSE_EFFECT_RELATION 5442 5644	When the EUT has several available modes (including software controlled operational modes), the number of modes to be tested for emission and susceptibility shall be such that all circuitry is evaluated
T315	ROOT_SENTENCE 5442 5645	When the EUT has several available modes (including software controlled operational modes), the number of modes to be tested for emission and susceptibility shall be such that all circuitry is evaluated.
T316	KEY_C 5647 5651	When
T317	VARIABLE 5652 5671	measurement devices
T318	CONDITION 5672 5696	other than peak detector
T319	CONDITION 5697 5732	are used for susceptibility testing
T320	AND 5672 5732	other than peak detector are used for susceptibility testing
T321	STATEMENT 5652 5732	measurement devices other than peak detector are used for susceptibility testing
T322	CAUSE 5647 5732	When measurement devices other than peak detector are used for susceptibility testing
T323	VARIABLE 5734 5752	correction factors
T324	CONDITION 5753 5772	shall be determined
T325	CONDITION 5777 5843	applied for test signals to adjust the reading to equivalent r.m.s
T326	AND 5753 5843	shall be determined and applied for test signals to adjust the reading to equivalent r.m.s
T327	STATEMENT 5734 5843	correction factors shall be determined and applied for test signals to adjust the reading to equivalent r.m.s
T328	CAUSE_EFFECT_RELATION 5647 5843	When measurement devices other than peak detector are used for susceptibility testing, correction factors shall be determined and applied for test signals to adjust the reading to equivalent r.m.s
T329	ROOT_SENTENCE 5647 5844	When measurement devices other than peak detector are used for susceptibility testing, correction factors shall be determined and applied for test signals to adjust the reading to equivalent r.m.s.
T330	KEY_C 5846 5850	When
T331	VARIABLE 5851 5871	current measurements
T332	CONDITION 5872 5936	are performed on the central line of a coaxial transmission line
T333	CONDITION 5937 5991	a transmission line with 50  characteristic impedance
T334	AND 5872 5991	are performed on the central line of a coaxial transmission line a transmission line with 50  characteristic impedance
T335	STATEMENT 5851 5991	current measurements are performed on the central line of a coaxial transmission line a transmission line with 50  characteristic impedance
T336	CAUSE 5846 5991	When current measurements are performed on the central line of a coaxial transmission line a transmission line with 50  characteristic impedance
T337	VARIABLE 5993 6025	coaxial connections on both ends
T338	VARIABLE 6031 6087	space for an injection probe around the centre conductor
T339	AND 5993 6087	coaxial connections on both ends, and space for an injection probe around the centre conductor
T340	CONDITION 6088 6117	shall be used for calibration
T341	STATEMENT 5993 6117	coaxial connections on both ends, and space for an injection probe around the centre conductor shall be used for calibration
T342	CAUSE_EFFECT_RELATION 5846 6117	When current measurements are performed on the central line of a coaxial transmission line a transmission line with 50  characteristic impedance, coaxial connections on both ends, and space for an injection probe around the centre conductor shall be used for calibration
T343	ROOT_SENTENCE 5846 6118	When current measurements are performed on the central line of a coaxial transmission line a transmission line with 50  characteristic impedance, coaxial connections on both ends, and space for an injection probe around the centre conductor shall be used for calibration.
T344	VARIABLE 6120 6138	The magnetic field
T345	CONDITION 6139 6156	shall be positive
T346	STATEMENT 6120 6156	The magnetic field shall be positive
T347	KEY_C 6157 6161	when
T348	VARIABLE 6162 6224	orientated from the centre of the EUT towards the magnetometer
T349	CAUSE 6157 6224	when orientated from the centre of the EUT towards the magnetometer
T350	CAUSE_EFFECT_RELATION 6120 6224	The magnetic field shall be positive when orientated from the centre of the EUT towards the magnetometer
T351	ROOT_SENTENCE 6120 6225	The magnetic field shall be positive when orientated from the centre of the EUT towards the magnetometer.
T352	KEY_C 6227 6231	When
T353	VARIABLE 6232 6254	using an ESD generator
T354	CONDITION 6255 6321	as a high‐voltage power supply as shown Figure 5‐30 or Figure 5‐31
T355	STATEMENT 6232 6321	using an ESD generator as a high‐voltage power supply as shown Figure 5‐30 or Figure 5‐31
T356	CAUSE 6227 6321	When using an ESD generator as a high‐voltage power supply as shown Figure 5‐30 or Figure 5‐31
T357	VARIABLE 6323 6325	it
T358	CONDITION 6326 6362	is set in the contact discharge mode
T359	STATEMENT 6323 6362	it is set in the contact discharge mode
T360	CAUSE_EFFECT_RELATION 6227 6362	When using an ESD generator as a high‐voltage power supply as shown Figure 5‐30 or Figure 5‐31, it is set in the contact discharge mode
T361	ROOT_SENTENCE 6227 6363	When using an ESD generator as a high‐voltage power supply as shown Figure 5‐30 or Figure 5‐31, it is set in the contact discharge mode.
T362	KEY_C 6365 6369	When
T363	VARIABLE 6370 6386	a negative spike
T364	CONDITION 6387 6397	is applied
T365	VARIABLE 6399 6443	the absolute instantaneous transient voltage
T366	CONDITION 6444 6458	goes down to 0
T367	CONDITION 6460 6474	never negative
T368	AND 6444 6474	goes down to 0, never negative
T369	STATEMENT 6399 6474	the absolute instantaneous transient voltage goes down to 0, never negative
T370	STATEMENT 6370 6397	a negative spike is applied
T371	CAUSE 6365 6397	When a negative spike is applied
T372	ROOT_SENTENCE 6365 6475	When a negative spike is applied, the absolute instantaneous transient voltage goes down to 0, never negative.
T373	CAUSE_EFFECT_RELATION 6365 6474	When a negative spike is applied, the absolute instantaneous transient voltage goes down to 0, never negative
T374	VARIABLE 6477 6499	Steady‐state condition
T375	CONDITION 6500 6517	shall be declared
T376	KEY_C 6518 6522	when
T377	VARIABLE 6523 6579	for stable dissipation modes temperature sensor readings
T378	CONDITION 6580 6630	meet a temperature variation over a period of time
T379	CONDITION 6631 6664	defined in the TBT test procedure
T380	CONDITION 6669 6699	agreed by the system authority
T381	AND 6631 6699	defined in the TBT test procedure and agreed by the system authority
T382	AND 6580 6699	meet a temperature variation over a period of time defined in the TBT test procedure and agreed by the system authority
T383	STATEMENT 6523 6699	for stable dissipation modes temperature sensor readings meet a temperature variation over a period of time defined in the TBT test procedure and agreed by the system authority
T384	CAUSE 6518 6699	when for stable dissipation modes temperature sensor readings meet a temperature variation over a period of time defined in the TBT test procedure and agreed by the system authority
T385	STATEMENT 6477 6517	Steady‐state condition shall be declared
T386	CAUSE_EFFECT_RELATION 6477 6699	Steady‐state condition shall be declared when for stable dissipation modes temperature sensor readings meet a temperature variation over a period of time defined in the TBT test procedure and agreed by the system authority
T387	ROOT_SENTENCE 6477 6700	Steady‐state condition shall be declared when for stable dissipation modes temperature sensor readings meet a temperature variation over a period of time defined in the TBT test procedure and agreed by the system authority.
T388	KEY_C 6702 6706	When
T389	VARIABLE 6707 6757	establishing the maximum heat transport capability
T390	VARIABLE 6759 6793	the vapour operational temperature
T391	CONDITION 6794 6859	range such that a performance over temperature curve is generated
T392	STATEMENT 6759 6859	the vapour operational temperature range such that a performance over temperature curve is generated
T393	CAUSE 6702 6757	When establishing the maximum heat transport capability
T394	CAUSE_EFFECT_RELATION 6702 6859	When establishing the maximum heat transport capability, the vapour operational temperature range such that a performance over temperature curve is generated
T395	ROOT_SENTENCE 6702 6860	When establishing the maximum heat transport capability, the vapour operational temperature range such that a performance over temperature curve is generated.
T396	VARIABLE 6862 6881	Maximum performance
T397	CONDITION 6882 6899	shall be declared
T398	STATEMENT 6862 6899	Maximum performance shall be declared
T399	KEY_C 6901 6905	when
T400	VARIABLE 6906 6946	temperature excursions in the evaporator
T401	CONDITION 6947 7008	indicate the beginning of a non-nominal operational condition
T402	STATEMENT 6906 7008	temperature excursions in the evaporator indicate the beginning of a non-nominal operational condition
T403	CAUSE 6901 7008	when temperature excursions in the evaporator indicate the beginning of a non-nominal operational condition
T404	CAUSE_EFFECT_RELATION 6862 7008	Maximum performance shall be declared, when temperature excursions in the evaporator indicate the beginning of a non-nominal operational condition
T405	ROOT_SENTENCE 6862 7009	Maximum performance shall be declared, when temperature excursions in the evaporator indicate the beginning of a non-nominal operational condition.
T406	KEY_C 7011 7015	When
T407	VARIABLE 7016 7029	the procedure
T408	CONDITION 7030 7042	is automated
T409	STATEMENT 7016 7042	the procedure is automated
T410	CAUSE 7011 7042	When the procedure is automated
T411	VARIABLE 7044 7082	the listing of the automated procedure
