T1	VARIABLE 0 8	The user
T55	STATEMENT 666 717	the initiating device has not confirmed the pairing
T56	EFFECT 648 751	it indicates that the initiating device has not confirmed the pairing, and the protocol must be aborted
T57	STATEMENT 630 646	this check fails
T58	CAUSE 627 646	If this check fails
T59	CAUSE_EFFECT_RELATION 627 751	If this check fails, it indicates that the initiating device has not confirmed the pairing, and the protocol must be aborted
T60	ROOT_SENTENCE 627 752	If this check fails, it indicates that the initiating device has not confirmed the pairing, and the protocol must be aborted.
T61	VARIABLE 956 974	this specification
T62	CONDITION 975 1045	is not the final version adopted by Bluetooth SIG’s Board of Directors
T63	VARIABLE 1047 1049	it
T64	CONDITION 1058 1068	be adopted
T65	NEGATION 1050 1068	may not be adopted
T66	STATEMENT 1047 1068	it may not be adopted
T67	STATEMENT 956 1045	this specification is not the final version adopted by Bluetooth SIG’s Board of Directors
T68	KEY_C 953 955	If
T69	CAUSE 953 1045	If this specification is not the final version adopted by Bluetooth SIG’s Board of Directors
T70	CAUSE_EFFECT_RELATION 953 1068	If this specification is not the final version adopted by Bluetooth SIG’s Board of Directors, it may not be adopted
T71	ROOT_SENTENCE 953 1069	If this specification is not the final version adopted by Bluetooth SIG’s Board of Directors, it may not be adopted.
T72	VARIABLE 1071 1100	Many multiplexed applications
T73	CONDITION 1101 1118	are better served
T74	KEY_C 1119 1121	if
T75	VARIABLE 1122 1127	L2CAP
T76	CONDITION 1128 1159	has control over the PDU length
T77	CAUSE 1119 1159	if L2CAP has control over the PDU length
T78	STATEMENT 1122 1159	L2CAP has control over the PDU length
T79	STATEMENT 1071 1118	Many multiplexed applications are better served
T80	CAUSE_EFFECT_RELATION 1071 1159	Many multiplexed applications are better served if L2CAP has control over the PDU length
T81	ROOT_SENTENCE 1071 1160	Many multiplexed applications are better served if L2CAP has control over the PDU length.
T82	VARIABLE 1165 1172	the PDU
T83	CONDITION 1173 1196	contains an unknown CID
T84	VARIABLE 1203 1205	it
T85	CONDITION 1206 1222	shall be ignored
T86	KEY_C 1198 1202	then
T87	KEY_C 1162 1164	If
T88	STATEMENT 1165 1196	the PDU contains an unknown CID
T89	CAUSE 1162 1196	If the PDU contains an unknown CID
T90	STATEMENT 1203 1222	it shall be ignored
T91	EFFECT 1198 1222	then it shall be ignored
T92	CAUSE_EFFECT_RELATION 1162 1222	If the PDU contains an unknown CID, then it shall be ignored
T93	ROOT_SENTENCE 1162 1223	If the PDU contains an unknown CID, then it shall be ignored.
T94	VARIABLE 1228 1235	the PDU
T95	CONDITION 1236 1257	contains an FCS error
T96	KEY_C 1259 1263	then
T97	KEY_C 1225 1227	If
T98	VARIABLE 1264 1266	it
T99	CONDITION 1267 1283	shall be ignored
T100	STATEMENT 1264 1283	it shall be ignored
T101	EFFECT 1259 1283	then it shall be ignored
T102	STATEMENT 1228 1257	the PDU contains an FCS error
T103	CAUSE 1225 1257	If the PDU contains an FCS error
T104	CAUSE_EFFECT_RELATION 1225 1283	If the PDU contains an FCS error, then it shall be ignored
T105	ROOT_SENTENCE 1225 1284	If the PDU contains an FCS error, then it shall be ignored.
T106	VARIABLE 1289 1300	the channel
T107	CONDITION 1301 1330	is configured to use "No FCS"
T108	VARIABLE 1337 1344	the PDU
T109	CONDITION 1345 1392	is considered to have a good FCS (no FCS error)
T110	KEY_C 1332 1336	then
T111	KEY_C 1286 1288	If
T112	STATEMENT 1289 1330	the channel is configured to use "No FCS"
T113	CAUSE 1286 1330	If the channel is configured to use "No FCS"
T114	STATEMENT 1337 1392	the PDU is considered to have a good FCS (no FCS error)
T115	EFFECT 1332 1392	then the PDU is considered to have a good FCS (no FCS error)
T116	ROOT_SENTENCE 1286 1393	If the channel is configured to use "No FCS", then the PDU is considered to have a good FCS (no FCS error).
T117	CAUSE_EFFECT_RELATION 1286 1392	If the channel is configured to use "No FCS", then the PDU is considered to have a good FCS (no FCS error)
T118	VARIABLE 1398 1419	one of the conditions
T119	CONDITION 1420 1426	occurs
T120	KEY_C 1395 1397	If
T121	VARIABLE 1428 1439	the channel
T122	CONDITION 1440 1455	shall be closed
T123	KEY_C 1459 1473	in the case of
T124	CONDITION 1474 1479	fixed
T125	VARIABLE 1480 1488	channels
T126	VARIABLE 1489 1496	the ACL
T127	CONDITION 1497 1518	shall be disconnected
T128	STATEMENT 1489 1518	the ACL shall be disconnected
T129	STATEMENT 1474 1488	fixed channels
T130	CAUSE 1459 1488	in the case of fixed channels
T131	CAUSE_EFFECT_RELATION 1459 1518	in the case of fixed channels the ACL shall be disconnected
T132	STATEMENT 1428 1455	the channel shall be closed
T133	STATEMENT 1398 1426	one of the conditions occurs
T134	CAUSE 1395 1426	If one of the conditions occurs
T135	CAUSE_EFFECT_RELATION 1395 1455	If one of the conditions occurs, the channel shall be closed
T136	OR 1395 1518	If one of the conditions occurs, the channel shall be closed or in the case of fixed channels the ACL shall be disconnected
T137	ROOT_SENTENCE 1395 1519	If one of the conditions occurs, the channel shall be closed or in the case of fixed channels the ACL shall be disconnected.
T138	VARIABLE 1524 1535	the channel
T139	CONDITION 1536 1583	is configured to use the Extended Control Field
T140	KEY_C 1521 1523	If
T141	STATEMENT 1524 1583	the channel is configured to use the Extended Control Field
T142	CAUSE 1521 1583	If the channel is configured to use the Extended Control Field
T143	VARIABLE 1590 1619	the required number of octets
T144	CONDITION 1620 1624	is 8
T145	VARIABLE 1628 1636	"No FCS"
T146	CONDITION 1637 1650	is configured
T147	STATEMENT 1628 1650	"No FCS" is configured
T148	CAUSE 1625 1650	if "No FCS" is configured
T149	KEY_C 1585 1589	then
T150	EFFECT 1585 1624	then the required number of octets is 8
T151	STATEMENT 1590 1624	the required number of octets is 8
T152	CAUSE_EFFECT_RELATION 1585 1650	then the required number of octets is 8 if "No FCS" is configured
T153	VARIABLE 1663 1665	it
T154	CONDITION 1666 1671	is 10
T155	CAUSE 1652 1661	otherwise
T156	STATEMENT 1663 1671	it is 10
T157	CAUSE_EFFECT_RELATION 1652 1671	otherwise, it is 10
T158	CAUSE_EFFECT_RELATION 1521 1671	If the channel is configured to use the Extended Control Field, then the required number of octets is 8 if "No FCS" is configured; otherwise, it is 10
T159	OR 1585 1671	then the required number of octets is 8 if "No FCS" is configured; otherwise, it is 10
T160	ROOT_SENTENCE 1521 1672	If the channel is configured to use the Extended Control Field, then the required number of octets is 8 if "No FCS" is configured; otherwise, it is 10.
T161	VARIABLE 1677 1688	all options
T162	CONDITION 1689 1719	fit into the receiver's MTUsig
T163	VARIABLE 1726 1730	they
T164	CONDITION 1731 1817	shall be sent in a single configuration request with the continuation flag set to zero
T165	KEY_C 1721 1725	then
T166	STATEMENT 1726 1817	they shall be sent in a single configuration request with the continuation flag set to zero
T167	EFFECT 1721 1817	then they shall be sent in a single configuration request with the continuation flag set to zero
T168	STATEMENT 1677 1719	all options fit into the receiver's MTUsig
T169	KEY_C 1674 1676	If
T170	CAUSE 1674 1719	If all options fit into the receiver's MTUsig
T171	CAUSE_EFFECT_RELATION 1674 1817	If all options fit into the receiver's MTUsig, then they shall be sent in a single configuration request with the continuation flag set to zero
T172	ROOT_SENTENCE 1674 1818	If all options fit into the receiver's MTUsig, then they shall be sent in a single configuration request with the continuation flag set to zero.
T173	VARIABLE 2449 2463	L2CAP entities
T174	CONDITION 2464 2504	should ignore the contents of this field
T175	KEY_C 2505 2507	if
T176	VARIABLE 2508 2515	present
T177	CAUSE 2505 2515	if present
T178	STATEMENT 2449 2504	L2CAP entities should ignore the contents of this field
T179	CAUSE_EFFECT_RELATION 2449 2515	L2CAP entities should ignore the contents of this field if present
T180	ROOT_SENTENCE 2449 2516	L2CAP entities should ignore the contents of this field if present.
T181	VARIABLE 2366 2374	the CIDs
T182	CONDITION 2382 2387	match
T183	NEGATION 2375 2387	do not match
T184	KEY_C 2363 2365	If
T185	STATEMENT 2366 2387	the CIDs do not match
T186	CAUSE 2363 2387	If the CIDs do not match
T187	VARIABLE 2389 2401	the response
T188	CONDITION 2402 2446	should be silently discarded at the receiver
T189	STATEMENT 2389 2446	the response should be silently discarded at the receiver
T190	CAUSE_EFFECT_RELATION 2363 2446	If the CIDs do not match, the response should be silently discarded at the receiver
T191	ROOT_SENTENCE 2363 2447	If the CIDs do not match, the response should be silently discarded at the receiver.
T192	VARIABLE 2245 2257	the receiver
T193	CONDITION 2258 2276	finds a DCID match
T194	VARIABLE 2281 2289	the SCID
T195	CONDITION 2290 2318	fails to find the same match
T196	VARIABLE 2320 2331	the request
T197	CONDITION 2332 2360	should be silently discarded
T198	STATEMENT 2320 2360	the request should be silently discarded
T199	KEY_C 2242 2244	If
T200	STATEMENT 2245 2276	the receiver finds a DCID match
T201	STATEMENT 2281 2318	the SCID fails to find the same match
T202	AND 2245 2318	the receiver finds a DCID match but the SCID fails to find the same match
T203	CAUSE 2242 2318	If the receiver finds a DCID match but the SCID fails to find the same match
T204	CAUSE_EFFECT_RELATION 2242 2360	If the receiver finds a DCID match but the SCID fails to find the same match, the request should be silently discarded
T205	ROOT_SENTENCE 2242 2361	If the receiver finds a DCID match but the SCID fails to find the same match, the request should be silently discarded.
T206	VARIABLE 2099 2107	the DCID
T207	CONDITION 2115 2157	recognized by the receiver of this message
T208	NEGATION 2108 2157	is not recognized by the receiver of this message
T209	VARIABLE 2159 2182	a CommandReject message
T210	CONDITION 2183 2239	with ’invalid CID’ result code shall be sent in response
T211	STATEMENT 2159 2239	a CommandReject message with ’invalid CID’ result code shall be sent in response
T212	KEY_C 2096 2098	If
T213	CAUSE 2096 2157	If the DCID is not recognized by the receiver of this message
T214	STATEMENT 2099 2157	the DCID is not recognized by the receiver of this message
T215	CAUSE_EFFECT_RELATION 2096 2239	If the DCID is not recognized by the receiver of this message, a CommandReject message with ’invalid CID’ result code shall be sent in response
T216	ROOT_SENTENCE 2096 2240	If the DCID is not recognized by the receiver of this message, a CommandReject message with ’invalid CID’ result code shall be sent in response.
T217	CONDITION 2010 2042	are those options in the Request
T218	VARIABLE 2004 2009	Hints
T219	KEY_C 2043 2047	that
T220	CONDITION 2048 2059	are skipped
T221	KEY_C 2060 2062	if
T222	CONDITION 2063 2077	not understood
T223	EFFECT 2043 2059	that are skipped
T224	CAUSE 2060 2077	if not understood
T225	CAUSE_EFFECT_RELATION 2043 2077	that are skipped if not understood
T226	NONE_CAUSAL 2078 2093	(see Section 5)
T227	NONE_CAUSAL 2004 2042	Hints are those options in the Request
T228	ROOT_SENTENCE 2004 2094	Hints are those options in the Request that are skipped if not understood (see Section 5).
T229	VARIABLE 1823 1844	the continuation flag
T230	CONDITION 1845 1874	is set to one in the Response
T231	KEY_C 1875 1879	when
T232	KEY_C 1820 1822	If
T233	VARIABLE 1880 1900	the matching Request
T234	CONDITION 1901 1925	has the flag set to zero
T235	STATEMENT 1823 1874	the continuation flag is set to one in the Response
T236	STATEMENT 1880 1925	the matching Request has the flag set to zero
T237	CAUSE 1875 1925	when the matching Request has the flag set to zero
T238	CAUSE 1820 1874	If the continuation flag is set to one in the Response
T239	AND 1820 1925	If the continuation flag is set to one in the Response when the matching Request has the flag set to zero
T240	KEY_C 1927 1939	it indicates
T241	VARIABLE 1940 1953	the responder
T242	CONDITION 1954 2001	has additional options to send to the requestor
T243	STATEMENT 1940 2001	the responder has additional options to send to the requestor
T244	EFFECT 1927 2001	it indicates the responder has additional options to send to the requestor
T245	CAUSE_EFFECT_RELATION 1820 2001	If the continuation flag is set to one in the Response when the matching Request has the flag set to zero, it indicates the responder has additional options to send to the requestor
T246	ROOT_SENTENCE 1820 2002	If the continuation flag is set to one in the Response when the matching Request has the flag set to zero, it indicates the responder has additional options to send to the requestor.
T247	VARIABLE 2518 2532	The data field
T248	CONDITION 2533 2611	shall contain the value associated with the InfoType field sent in the Request
T249	CONDITION 2616 2630	shall be empty
T250	KEY_C 2631 2633	if
T251	VARIABLE 2634 2646	the InfoType
T252	CONDITION 2654 2663	supported
T253	STATEMENT 2634 2663	the InfoType is not supported
T254	CAUSE 2631 2663	if the InfoType is not supported
T255	CAUSE_EFFECT_RELATION 2616 2663	shall be empty if the InfoType is not supported
T256	VARIABLE 2669 2675	result
T257	CONDITION 2676 2689	is "Success,"
T258	VARIABLE 2690 2704	the data field
T259	CONDITION 2705 2756	contains the information as specified in Table 4.11
T260	STATEMENT 2690 2756	the data field contains the information as specified in Table 4.11
T261	KEY_C 2666 2668	If
T262	STATEMENT 2669 2689	result is "Success,"
T263	CAUSE 2666 2689	If result is "Success,"
T264	CAUSE_EFFECT_RELATION 2666 2756	If result is "Success," the data field contains the information as specified in Table 4.11
T265	ROOT_SENTENCE 2666 2757	If result is "Success," the data field contains the information as specified in Table 4.11.
T266	VARIABLE 2762 2768	result
T267	CONDITION 2769 2788	is "Not supported,"
T268	VARIABLE 2792 2796	data
T269	CONDITION 2797 2814	shall be returned
T270	STATEMENT 2792 2814	data shall be returned
T271	NEGATION 2789 2814	no data shall be returned
T272	STATEMENT 2762 2788	result is "Not supported,"
T273	KEY_C 2759 2761	If
T274	CAUSE 2759 2788	If result is "Not supported,"
T275	CAUSE_EFFECT_RELATION 2759 2814	If result is "Not supported," no data shall be returned
T276	ROOT_SENTENCE 2759 2815	If result is "Not supported," no data shall be returned.
T281	VARIABLE 3170 3189	the configured mode
T282	CONDITION 3190 3221	is Enhanced Retransmission mode
T283	CONDITION 3225 3239	Streaming mode
T284	VARIABLE 3246 3249	MTU
T285	CONDITION 3260 3293	be reconfigured to a smaller size
T286	NEGATION 3250 3293	shall not be reconfigured to a smaller size
T287	KEY_C 3241 3245	then
T288	STATEMENT 3246 3293	MTU shall not be reconfigured to a smaller size
T289	EFFECT 3241 3293	then MTU shall not be reconfigured to a smaller size
T290	KEY_C 3167 3169	If
T291	OR 3190 3239	is Enhanced Retransmission mode or Streaming mode
T292	STATEMENT 3170 3239	the configured mode is Enhanced Retransmission mode or Streaming mode
T293	CAUSE 3167 3239	If the configured mode is Enhanced Retransmission mode or Streaming mode
T294	CAUSE_EFFECT_RELATION 3167 3293	If the configured mode is Enhanced Retransmission mode or Streaming mode, then MTU shall not be reconfigured to a smaller size
T295	ROOT_SENTENCE 3167 3294	If the configured mode is Enhanced Retransmission mode or Streaming mode, then MTU shall not be reconfigured to a smaller size.
T296	VARIABLE 3296 3307	This option
T297	CONDITION 3318 3325	be used
T298	NEGATION 3308 3325	shall not be used
T299	VARIABLE 3329 3360	the Extended Flow Specification
T300	CONDITION 3361 3368	is used
T301	STATEMENT 3329 3368	the Extended Flow Specification is used
T302	KEY_C 3326 3328	if
T303	STATEMENT 3296 3325	This option shall not be used
T304	CAUSE 3326 3368	if the Extended Flow Specification is used
T305	ROOT_SENTENCE 3296 3369	This option shall not be used if the Extended Flow Specification is used.
T306	CAUSE_EFFECT_RELATION 3296 3368	This option shall not be used if the Extended Flow Specification is used
T307	VARIABLE 3811 3822	Best Effort
T308	CONDITION 3823 3839	shall be assumed
T309	VARIABLE 3774 3784	QoS option
T310	CONDITION 3785 3809	is placed in the request
T311	STATEMENT 3774 3809	QoS option is placed in the request
T312	NEGATION 3771 3809	no QoS option is placed in the request
T313	KEY_C 3768 3770	If
T314	CAUSE 3768 3809	If no QoS option is placed in the request
T315	STATEMENT 3811 3839	Best Effort shall be assumed
T316	CAUSE_EFFECT_RELATION 3768 3839	If no QoS option is placed in the request, Best Effort shall be assumed
T317	ROOT_SENTENCE 3768 3840	If no QoS option is placed in the request, Best Effort shall be assumed.
T318	VARIABLE 3845 3863	any QoS guarantees
T319	CONDITION 3864 3876	are required
T320	VARIABLE 3882 3909	a QoS configuration request
T321	CONDITION 3910 3923	shall be sent
T322	KEY_C 3877 3881	then
T323	KEY_C 3842 3844	If
T324	STATEMENT 3845 3876	any QoS guarantees are required
T325	CAUSE 3842 3876	If any QoS guarantees are required
T326	STATEMENT 3882 3923	a QoS configuration request shall be sent
T327	EFFECT 3877 3923	then a QoS configuration request shall be sent
T328	CAUSE_EFFECT_RELATION 3842 3923	If any QoS guarantees are required then a QoS configuration request shall be sent
T329	ROOT_SENTENCE 3842 3924	If any QoS guarantees are required then a QoS configuration request shall be sent.
T330	VARIABLE 3929 3940	the request
T331	CONDITION 3941 3967	was for Guaranteed Service
T332	VARIABLE 3969 3981	the response
T333	CONDITION 3982 4117	shall include specific values for any wild card parameters (see Token Rate and Token Bucket Size descriptions) contained in the request
T334	STATEMENT 3969 4117	the response shall include specific values for any wild card parameters (see Token Rate and Token Bucket Size descriptions) contained in the request
T335	KEY_C 3926 3928	If
T336	CAUSE 3926 3967	If the request was for Guaranteed Service
T337	STATEMENT 3929 3967	the request was for Guaranteed Service
T338	CAUSE_EFFECT_RELATION 3926 4117	If the request was for Guaranteed Service, the response shall include specific values for any wild card parameters (see Token Rate and Token Bucket Size descriptions) contained in the request
T339	ROOT_SENTENCE 3926 4118	If the request was for Guaranteed Service, the response shall include specific values for any wild card parameters (see Token Rate and Token Bucket Size descriptions) contained in the request.
T340	VARIABLE 4123 4146	a configuration request
T341	CONDITION 4147 4202	contains any QoS option parameters set to “do not care”
T342	KEY_C 4204 4208	then
T343	VARIABLE 4209 4235	the configuration response
T344	CONDITION 4236 4282	shall set the same parameters to “do not care”
T345	STATEMENT 4209 4282	the configuration response shall set the same parameters to “do not care”
T346	EFFECT 4204 4282	then the configuration response shall set the same parameters to “do not care”
T347	KEY_C 4120 4122	If
T348	STATEMENT 4123 4202	a configuration request contains any QoS option parameters set to “do not care”
T349	CAUSE 4120 4202	If a configuration request contains any QoS option parameters set to “do not care”
T350	CAUSE_EFFECT_RELATION 4120 4282	If a configuration request contains any QoS option parameters set to “do not care”, then the configuration response shall set the same parameters to “do not care”
T351	ROOT_SENTENCE 4120 4283	If a configuration request contains any QoS option parameters set to “do not care”, then the configuration response shall set the same parameters to “do not care”.
T352	VARIABLE 4288 4301	‘Best effort’
T353	CONDITION 4302 4313	is selected
T354	VARIABLE 4315 4339	the remaining parameters
T355	CONDITION 4340 4390	should be treated as optional by the remote device
T356	KEY_C 4285 4287	If
T357	STATEMENT 4288 4313	‘Best effort’ is selected
T358	CAUSE 4285 4313	If ‘Best effort’ is selected
T359	STATEMENT 4315 4390	the remaining parameters should be treated as optional by the remote device
T360	CAUSE_EFFECT_RELATION 4285 4390	If ‘Best effort’ is selected, the remaining parameters should be treated as optional by the remote device
T361	ROOT_SENTENCE 4285 4391	If ‘Best effort’ is selected, the remaining parameters should be treated as optional by the remote device.
T362	CONDITION 4599 4616	shall be set to 1
T363	KEY_C 4593 4598	which
T364	KEY_C 4617 4619	if
T365	VARIABLE 4620 4631	the feature
T366	CONDITION 4632 4644	is supported
T367	CONDITION 4649 4657	set to 0
T368	CAUSE 4658 4667	otherwise
T369	CAUSE 4617 4644	if the feature is supported
T370	STATEMENT 4620 4644	the feature is supported
T371	EFFECT 4593 4616	which shall be set to 1
T372	CAUSE_EFFECT_RELATION 4593 4644	which shall be set to 1 if the feature is supported
T373	CAUSE_EFFECT_RELATION 4649 4667	set to 0 otherwise
T374	OR 4593 4667	which shall be set to 1 if the feature is supported and set to 0 otherwise
T375	NONE_CAUSAL 4550 4592	For each feature a single bit is specified
T376	VARIABLE 4567 4579	a single bit
T377	CONDITION 4580 4592	is specified
T378	ROOT_SENTENCE 4550 4668	For each feature a single bit is specified which shall be set to 1 if the feature is supported and set to 0 otherwise.
T379	VARIABLE 4670 4703	The bit associated with a channel
T380	CONDITION 4704 4721	shall be set to 1
T381	KEY_C 4722 4724	if
T382	VARIABLE 4725 4741	the L2CAP entity
T383	CONDITION 4742 4776	supports signaling on that channel
T384	STATEMENT 4725 4776	the L2CAP entity supports signaling on that channel
T385	CAUSE 4722 4776	if the L2CAP entity supports signaling on that channel
T386	STATEMENT 4670 4721	The bit associated with a channel shall be set to 1
T387	CAUSE_EFFECT_RELATION 4670 4776	The bit associated with a channel shall be set to 1 if the L2CAP entity supports signaling on that channel
T388	ROOT_SENTENCE 4670 4777	The bit associated with a channel shall be set to 1 if the L2CAP entity supports signaling on that channel.
T389	VARIABLE 6255 6266	the feature
T390	CONDITION 6267 6274	is used
T391	VARIABLE 6280 6288	incoming
T392	VARIABLE 6293 6312	outgoing parameters
T393	CONDITION 6313 6341	are specified by this option
T394	AND 6275 6312	both incoming and outgoing parameters
T395	STATEMENT 6275 6341	both incoming and outgoing parameters are specified by this option
T396	KEY_C 6252 6254	If
T397	CAUSE 6252 6274	If the feature is used
T398	STATEMENT 6255 6274	the feature is used
T399	CAUSE_EFFECT_RELATION 6252 6341	If the feature is used both incoming and outgoing parameters are specified by this option
T400	ROOT_SENTENCE 6252 6342	If the feature is used both incoming and outgoing parameters are specified by this option.
T401	VARIABLE 6344 6372	Enhanced Retransmission mode
T402	CONDITION 6373 6390	should be enabled
T403	VARIABLE 6394 6412	a reliable channel
T404	CONDITION 6413 6431	has been requested
T405	KEY_C 6391 6393	if
T406	STATEMENT 6394 6431	a reliable channel has been requested
T407	STATEMENT 6344 6390	Enhanced Retransmission mode should be enabled
T408	CAUSE 6391 6431	if a reliable channel has been requested
T409	CAUSE_EFFECT_RELATION 6344 6431	Enhanced Retransmission mode should be enabled if a reliable channel has been requested
T410	ROOT_SENTENCE 6344 6432	Enhanced Retransmission mode should be enabled if a reliable channel has been requested.
T411	VARIABLE 6434 6448	Streaming mode
T412	CONDITION 6449 6466	should be enabled
T413	VARIABLE 6470 6499	a finite L2CAP Flush Time-Out
T414	CONDITION 6500 6529	is set on an L2CAP connection
T415	KEY_C 6467 6469	if
T416	CAUSE 6467 6529	if a finite L2CAP Flush Time-Out is set on an L2CAP connection
T417	STATEMENT 6470 6529	a finite L2CAP Flush Time-Out is set on an L2CAP connection
T418	STATEMENT 6434 6466	Streaming mode should be enabled
T419	CAUSE_EFFECT_RELATION 6434 6529	Streaming mode should be enabled if a finite L2CAP Flush Time-Out is set on an L2CAP connection
T420	ROOT_SENTENCE 6434 6530	Streaming mode should be enabled if a finite L2CAP Flush Time-Out is set on an L2CAP connection.
T421	VARIABLE 6532 6543	This option
T422	CONDITION 6544 6560	shall be ignored
T423	VARIABLE 6564 6575	the channel
T424	CONDITION 6576 6613	is configured to use Basic L2CAP Mode
T425	NONE_CAUSAL 6614 6631	(see Section 5.4)
T426	KEY_C 6561 6563	if
T427	STATEMENT 6532 6560	This option shall be ignored
T428	STATEMENT 6564 6613	the channel is configured to use Basic L2CAP Mode
T429	CAUSE 6561 6613	if the channel is configured to use Basic L2CAP Mode
T430	CAUSE_EFFECT_RELATION 6532 6613	This option shall be ignored if the channel is configured to use Basic L2CAP Mode
T431	ROOT_SENTENCE 6532 6632	This option shall be ignored if the channel is configured to use Basic L2CAP Mode (see Section 5.4).
T432	VARIABLE 6987 6989	it
T433	CONDITION 6990 7011	shall be disconnected
T434	VARIABLE 6950 6959	a channel
T435	CONDITION 6960 6985	is configured in this way
T436	KEY_C 6947 6949	If
T437	STATEMENT 6950 6985	a channel is configured in this way
T438	STATEMENT 6987 7011	it shall be disconnected
T439	CAUSE 6947 6985	If a channel is configured in this way
T440	CAUSE_EFFECT_RELATION 6947 7011	If a channel is configured in this way, it shall be disconnected
T441	ROOT_SENTENCE 6947 7012	If a channel is configured in this way, it shall be disconnected.
T442	VARIABLE 6880 6894	Access Latency
T443	VARIABLE 6899 6912	Flush Timeout
T444	CONDITION 6913 6944	shall both be set to 0xFFFFFFFF
T445	AND 6880 6912	Access Latency and Flush Timeout
T446	STATEMENT 6880 6944	Access Latency and Flush Timeout shall both be set to 0xFFFFFFFF
T447	KEY_C 6875 6879	then
T448	KEY_C 6845 6847	If
T449	VARIABLE 6848 6861	'Best effort'
T450	CONDITION 6862 6873	is selected
T451	CAUSE 6845 6873	If 'Best effort' is selected
T452	EFFECT 6875 6944	then Access Latency and Flush Timeout shall both be set to 0xFFFFFFFF
T453	STATEMENT 6848 6873	'Best effort' is selected
T454	CAUSE_EFFECT_RELATION 6845 6944	If 'Best effort' is selected, then Access Latency and Flush Timeout shall both be set to 0xFFFFFFFF
T455	ROOT_SENTENCE 6845 6945	If 'Best effort' is selected, then Access Latency and Flush Timeout shall both be set to 0xFFFFFFFF.
T456	VARIABLE 7809 7826	the initial timer
T457	CONDITION 7827 7834	expires
T458	VARIABLE 7836 7855	a duplicate Request
T459	CONDITION 7856 7867	may be sent
T460	VARIABLE 7871 7882	the channel
T461	CONDITION 7883 7902	may be disconnected
T462	STATEMENT 7871 7902	the channel may be disconnected
T463	STATEMENT 7836 7867	a duplicate Request may be sent
T464	KEY_C 7806 7808	If
T465	STATEMENT 7809 7834	the initial timer expires
T466	OR 7836 7902	a duplicate Request may be sent or the channel may be disconnected
T467	CAUSE 7806 7834	If the initial timer expires
T468	CAUSE_EFFECT_RELATION 7806 7902	If the initial timer expires, a duplicate Request may be sent or the channel may be disconnected
T469	ROOT_SENTENCE 7806 7903	If the initial timer expires, a duplicate Request may be sent or the channel may be disconnected.
T470	VARIABLE 6086 6097	This option
T471	CONDITION 6098 6116	shall only be sent
T472	KEY_C 6117 6119	if
T473	VARIABLE 6120 6141	the peer L2CAP entity
T474	CONDITION 6142 6230	has indicated support for the Extended Window size feature in the Extended Features Mask
