T1	VARIABLE 22 38	structure return
T126	AND 4453 4569	shall include in the RMC the date of the NDI, name of inspector, NDI results with description of any non-conformance
T127	STATEMENT 4440 4569	the supplier shall include in the RMC the date of the NDI, name of inspector, NDI results with description of any non-conformance
T128	STATEMENT 4360 4438	NDI is requested in the customer specification document for threaded fasteners
T129	KEY_C 4342 4359	In the case where
T130	CAUSE 4342 4438	In the case where NDI is requested in the customer specification document for threaded fasteners
T131	CAUSE_EFFECT_RELATION 4342 4569	In the case where NDI is requested in the customer specification document for threaded fasteners, the supplier shall include in the RMC the date of the NDI, name of inspector, NDI results with description of any non-conformance
T132	ROOT_SENTENCE 4342 4570	In the case where NDI is requested in the customer specification document for threaded fasteners, the supplier shall include in the RMC the date of the NDI, name of inspector, NDI results with description of any non-conformance.
T133	VARIABLE 4590 4624	the number of non-conforming units
T134	CONDITION 4625 4733	is greater than the acceptance level specified in the customer specification document for threaded fasteners
T135	VARIABLE 4735 4744	the batch
T136	CONDITION 4745 4762	shall be rejected
T137	KEY_C 4572 4589	In the case where
T138	STATEMENT 4590 4733	the number of non-conforming units is greater than the acceptance level specified in the customer specification document for threaded fasteners
T139	CAUSE 4572 4733	In the case where the number of non-conforming units is greater than the acceptance level specified in the customer specification document for threaded fasteners
T140	STATEMENT 4735 4762	the batch shall be rejected
T141	CAUSE_EFFECT_RELATION 4572 4762	In the case where the number of non-conforming units is greater than the acceptance level specified in the customer specification document for threaded fasteners, the batch shall be rejected
T142	ROOT_SENTENCE 4572 4763	In the case where the number of non-conforming units is greater than the acceptance level specified in the customer specification document for threaded fasteners, the batch shall be rejected.
T143	VARIABLE 4842 4848	metals
T144	VARIABLE 4850 4858	chemical
T145	VARIABLE 4863 4886	electrochemical plating
T146	CONDITION 4887 4898	can be used
T147	VARIABLE 4911 4928	vacuum deposition
T148	AND 4850 4886	chemical and electrochemical plating
T149	STATEMENT 4850 4898	chemical and electrochemical plating can be used
T150	AND 4850 4928	chemical and electrochemical plating can be used, as well as vacuum deposition
T151	KEY_C 4827 4841	In the case of
T152	CAUSE 4827 4848	In the case of metals
T153	CAUSE_EFFECT_RELATION 4827 4928	In the case of metals, chemical and electrochemical plating can be used, as well as vacuum deposition
T154	ROOT_SENTENCE 4827 4929	In the case of metals, chemical and electrochemical plating can be used, as well as vacuum deposition.
T155	VARIABLE 4967 4975	the user
T156	CONDITION 4983 5015	concerned with rubber processing
T157	NEGATION 4976 5015	is not concerned with rubber processing
T158	KEY_C 4938 4949	in the case
T159	VARIABLE 4950 4965	mentioned above
T160	CAUSE 4938 4965	in the case mentioned above
T161	STATEMENT 4967 5015	the user is not concerned with rubber processing
T162	NEGATION 4931 4965	Except in the case mentioned above
T163	CAUSE_EFFECT_RELATION 4931 5015	Except in the case mentioned above, the user is not concerned with rubber processing
T164	ROOT_SENTENCE 4931 5016	Except in the case mentioned above, the user is not concerned with rubber processing.
T165	VARIABLE 6194 6198	SEEs
T166	CONDITION 6199 6218	are non-destructive
T167	VARIABLE 6238 6241	SEU
T168	VARIABLE 6243 6246	SET
T169	VARIABLE 6248 6251	MCU
T170	VARIABLE 6257 6261	SEFI
T171	KEY_C 6220 6237	as in the case of
T172	NONE_CAUSAL 6189 6193	Some
T173	STATEMENT 6194 6218	SEEs are non-destructive
T174	AND 6248 6261	MCU, and SEFI
T175	AND 6243 6261	SET, MCU, and SEFI
T176	AND 6238 6261	SEU, SET, MCU, and SEFI
T177	CAUSE 6220 6261	as in the case of SEU, SET, MCU, and SEFI
T178	CAUSE_EFFECT_RELATION 6194 6261	SEEs are non-destructive, as in the case of SEU, SET, MCU, and SEFI
T179	ROOT_SENTENCE 6189 6262	Some SEEs are non-destructive, as in the case of SEU, SET, MCU, and SEFI.
T180	VARIABLE 6264 6284	Single event effects
T181	CONDITION 6285 6308	can also be destructive
T182	KEY_C 6309 6326	as in the case of
T183	VARIABLE 6327 6343	single event SEL
T184	VARIABLE 6345 6349	SEGR
T185	VARIABLE 6355 6358	SEB
T186	AND 6345 6358	SEGR, and SEB
T187	AND 6327 6358	single event SEL, SEGR, and SEB
T188	CAUSE 6309 6358	as in the case of single event SEL, SEGR, and SEB
T189	STATEMENT 6264 6308	Single event effects can also be destructive
T190	CAUSE_EFFECT_RELATION 6264 6358	Single event effects can also be destructive as in the case of single event SEL, SEGR, and SEB
T191	ROOT_SENTENCE 6264 6359	Single event effects can also be destructive as in the case of single event SEL, SEGR, and SEB.
T192	VARIABLE 6366 6383	the co‐passengers
T193	CONDITION 6384 6418	can be the source of contamination
T194	KEY_C 6419 6433	in the case of
T195	VARIABLE 6434 6451	multiple launches
T196	NONE_CAUSAL 6361 6365	Also
T197	STATEMENT 6366 6418	the co‐passengers can be the source of contamination
T198	CAUSE 6419 6451	in the case of multiple launches
T199	CAUSE_EFFECT_RELATION 6366 6451	the co‐passengers can be the source of contamination in the case of multiple launches
T200	ROOT_SENTENCE 6361 6452	Also the co‐passengers can be the source of contamination in the case of multiple launches.
T201	VARIABLE 6469 6473	MIMI
T202	VARIABLE 6475 6508	the operational temperature range
T203	CONDITION 6509 6524	is -35 to +45°C
T204	VARIABLE 6526 6547	the power consumption
T205	VARIABLE 6552 6572	mass of the platform
T206	CONDITION 6573 6582	are 2.5 W
T207	CONDITION 6587 6593	3.5 kg
T208	AND 6573 6593	are 2.5 W and 3.5 kg
T209	NONE_CAUSAL 6595 6607	respectively
T210	KEY_C 6454 6468	In the case of
T211	CAUSE 6454 6473	In the case of MIMI
T212	STATEMENT 6475 6524	the operational temperature range is -35 to +45°C
T213	AND 6526 6572	the power consumption and mass of the platform
T214	STATEMENT 6526 6593	the power consumption and mass of the platform are 2.5 W and 3.5 kg
T215	AND 6475 6593	the operational temperature range is -35 to +45°C, the power consumption and mass of the platform are 2.5 W and 3.5 kg
T216	CAUSE_EFFECT_RELATION 6454 6593	In the case of MIMI, the operational temperature range is -35 to +45°C, the power consumption and mass of the platform are 2.5 W and 3.5 kg
T217	ROOT_SENTENCE 6454 6608	In the case of MIMI, the operational temperature range is -35 to +45°C, the power consumption and mass of the platform are 2.5 W and 3.5 kg, respectively.
T218	VARIABLE 6625 6661	complex (i.e., multi-byte) languages
T219	VARIABLE 6663 6674	expressions
T220	CONDITION 6675 6720	can be written in a mixture of character sets
T221	KEY_C 6610 6624	In the case of
T222	CAUSE 6610 6661	In the case of complex (i.e., multi-byte) languages
T223	STATEMENT 6663 6720	expressions can be written in a mixture of character sets
T224	CAUSE_EFFECT_RELATION 6610 6720	In the case of complex (i.e., multi-byte) languages, expressions can be written in a mixture of character sets
T225	ROOT_SENTENCE 6610 6721	In the case of complex (i.e., multi-byte) languages, expressions can be written in a mixture of character sets.
T226	VARIABLE 6912 6927	a spiral effort
T227	KEY_C 6897 6911	In the case of
T228	CONDITION 6964 6995	may be known for future spirals
T229	CONDITION 6934 6950	the most general
T230	KEY_C 6929 6933	only
T231	VARIABLE 6951 6963	requirements
T232	CAUSE 6897 6927	In the case of a spiral effort
T233	CAUSE 6929 6950	only the most general
T234	STATEMENT 6951 6995	requirements may be known for future spirals
T235	AND 6897 6950	In the case of a spiral effort, only the most general
T236	CAUSE_EFFECT_RELATION 6897 6995	In the case of a spiral effort, only the most general requirements may be known for future spirals
T237	ROOT_SENTENCE 6897 6996	In the case of a spiral effort, only the most general requirements may be known for future spirals.
T238	VARIABLE 1420 1438	modulations 1 to 4
T239	CONDITION 1439 1526	shall only be used for symbol rates of less than 2 Msps (for the bands below 8 500 MHz)
T240	CONDITION 1530 1577	20 Msps (only for the 31,8 GHz ‐ 32,3 GHz band)
T241	VARIABLE 1406 1418	new projects
T242	KEY_C 1391 1405	In the case of
T243	OR 1439 1577	shall only be used for symbol rates of less than 2 Msps (for the bands below 8 500 MHz) or 20 Msps (only for the 31,8 GHz ‐ 32,3 GHz band)
T244	STATEMENT 1420 1577	modulations 1 to 4 shall only be used for symbol rates of less than 2 Msps (for the bands below 8 500 MHz) or 20 Msps (only for the 31,8 GHz ‐ 32,3 GHz band)
T245	CAUSE 1391 1418	In the case of new projects
T246	ROOT_SENTENCE 1391 1578	In the case of new projects, modulations 1 to 4 shall only be used for symbol rates of less than 2 Msps (for the bands below 8 500 MHz) or 20 Msps (only for the 31,8 GHz ‐ 32,3 GHz band).
T247	CAUSE_EFFECT_RELATION 1391 1577	In the case of new projects, modulations 1 to 4 shall only be used for symbol rates of less than 2 Msps (for the bands below 8 500 MHz) or 20 Msps (only for the 31,8 GHz ‐ 32,3 GHz band)
T248	VARIABLE 2319 2331	other metals
T249	VARIABLE 2335 2341	alloys
T250	KEY_C 2315 2318	For
T251	OR 2319 2341	other metals or alloys
T252	VARIABLE 2343 2363	the main constituent
T253	CONDITION 2364 2380	is entered first
T254	CAUSE 2315 2341	For other metals or alloys
T255	STATEMENT 2343 2380	the main constituent is entered first
T256	KEY_C 2388 2402	in the case of
T257	VARIABLE 2403 2444	a traditional name (e.g. brass or bronze)
T258	CAUSE 2388 2444	in the case of a traditional name (e.g. brass or bronze)
T259	NEGATION 2381 2444	except in the case of a traditional name (e.g. brass or bronze)
T260	CAUSE_EFFECT_RELATION 2343 2444	the main constituent is entered first except in the case of a traditional name (e.g. brass or bronze)
T261	CAUSE_EFFECT_RELATION 2315 2444	For other metals or alloys, the main constituent is entered first except in the case of a traditional name (e.g. brass or bronze)
T262	ROOT_SENTENCE 2315 2445	For other metals or alloys, the main constituent is entered first except in the case of a traditional name (e.g. brass or bronze).
T263	VARIABLE 3217 3235	Longitudinal force
T264	CONDITION 3236 3255	may only be applied
T265	KEY_C 3256 3273	in the case where
T266	VARIABLE 3274 3288	the connectors
T267	CONDITION 3289 3310	mating with the cable
T268	CONDITION 3311 3332	are facing each other
T269	AND 3289 3332	mating with the cable are facing each other
T270	STATEMENT 3274 3332	the connectors mating with the cable are facing each other
T271	CAUSE 3256 3332	in the case where the connectors mating with the cable are facing each other
T272	STATEMENT 3217 3255	Longitudinal force may only be applied
T273	CAUSE_EFFECT_RELATION 3217 3332	Longitudinal force may only be applied in the case where the connectors mating with the cable are facing each other
T274	ROOT_SENTENCE 3217 3333	Longitudinal force may only be applied in the case where the connectors mating with the cable are facing each other.
T275	VARIABLE 7176 7204	standard normal distribution
T276	VARIABLE 7206 7210	this
T277	CONDITION 7211 7240	is represented by Equation 1a
T278	KEY_C 7161 7175	In the case of
T279	STATEMENT 7206 7240	this is represented by Equation 1a
T280	CAUSE 7161 7204	In the case of standard normal distribution
T281	CAUSE_EFFECT_RELATION 7161 7240	In the case of standard normal distribution, this is represented by Equation 1a
T282	ROOT_SENTENCE 7161 7241	In the case of standard normal distribution, this is represented by Equation 1a.
T283	VARIABLE 7258 7270	the TSRV FCS
T284	VARIABLE 7272 7300	the systems analysis process
T285	CONDITION 7301 7354	started from a specification of the system “as built”
T286	KEY_C 7243 7257	In the case of
T287	STATEMENT 7272 7354	the systems analysis process started from a specification of the system “as built”
T288	CAUSE 7243 7270	In the case of the TSRV FCS
T289	ROOT_SENTENCE 7243 7355	In the case of the TSRV FCS, the systems analysis process started from a specification of the system “as built”.
T290	CAUSE_EFFECT_RELATION 7243 7354	In the case of the TSRV FCS, the systems analysis process started from a specification of the system “as built”
T291	VARIABLE 9495 9538	setup the horns for horizontal polarization
T292	VARIABLE 9473 9478	horns
T293	NEGATION 9479 9493	with no ridges
T294	KEY_C 9458 9472	In the case of
T295	CONDITION 9487 9493	ridges
T296	CAUSE 9458 9493	In the case of horns with no ridges
T297	STATEMENT 9473 9493	horns with no ridges
T298	CAUSE_EFFECT_RELATION 9458 9538	In the case of horns with no ridges, setup the horns for horizontal polarization
T299	ROOT_SENTENCE 9458 9539	In the case of horns with no ridges, setup the horns for horizontal polarization.
T300	KEY_C 9876 9890	In the case of
T301	VARIABLE 9891 9908	a short traversal
T302	CONDITION 9909 9931	(less than 10 minutes)
T303	STATEMENT 9891 9931	a short traversal (less than 10 minutes)
T304	VARIABLE 9932 9973	the handling of ACT for re-entrant flight
T305	CONDITION 9974 10004	needs to be bilaterally agreed
T306	CAUSE 9876 9931	In the case of a short traversal (less than 10 minutes)
T307	STATEMENT 9932 10004	the handling of ACT for re-entrant flight needs to be bilaterally agreed
T308	CAUSE_EFFECT_RELATION 9876 10004	In the case of a short traversal (less than 10 minutes) the handling of ACT for re-entrant flight needs to be bilaterally agreed
T309	ROOT_SENTENCE 9876 10005	In the case of a short traversal (less than 10 minutes) the handling of ACT for re-entrant flight needs to be bilaterally agreed.
T310	KEY_C 5622 5624	If
T311	VARIABLE 5625 5646	a hybrid microcircuit
T312	CONDITION 5647 5682	contains Beryllium oxide substrates
T313	CONDITION 5686 5694	carriers
T314	OR 5647 5694	contains Beryllium oxide substrates or carriers
T315	VARIABLE 5696 5698	it
T316	CONDITION 5699 5748	shall be marked with the notation: "Contains BeO"
T317	KEY_C 5753 5767	in the case of
T318	VARIABLE 5781 5801	space on the package
T319	VARIABLE 5803 5822	indicate only "BeO"
T320	CAUSE 5753 5801	in the case of insufficient space on the package
T321	CAUSE_EFFECT_RELATION 5753 5822	in the case of insufficient space on the package, indicate only "BeO"
T322	STATEMENT 5625 5694	a hybrid microcircuit contains Beryllium oxide substrates or carriers
T323	CAUSE 5622 5694	If a hybrid microcircuit contains Beryllium oxide substrates or carriers
T324	STATEMENT 5696 5748	it shall be marked with the notation: "Contains BeO"
T325	OR 5696 5822	it shall be marked with the notation: "Contains BeO", or in the case of insufficient space on the package, indicate only "BeO"
T326	CAUSE_EFFECT_RELATION 5622 5822	If a hybrid microcircuit contains Beryllium oxide substrates or carriers, it shall be marked with the notation: "Contains BeO", or in the case of insufficient space on the package, indicate only "BeO"
T327	ROOT_SENTENCE 5622 5823	If a hybrid microcircuit contains Beryllium oxide substrates or carriers, it shall be marked with the notation: "Contains BeO", or in the case of insufficient space on the package, indicate only "BeO".
T328	VARIABLE 5825 5834	This test
T329	CONDITION 5835 5875	may be waived by the approving authority
T330	KEY_C 5876 5890	in the case of
T331	VARIABLE 5909 5916	hybrids
T332	CONDITION 5891 5908	internally coated
T333	STATEMENT 5891 5916	internally coated hybrids
T334	CAUSE 5876 5916	in the case of internally coated hybrids
T335	STATEMENT 5825 5875	This test may be waived by the approving authority
T336	CAUSE_EFFECT_RELATION 5825 5916	This test may be waived by the approving authority in the case of internally coated hybrids
T337	ROOT_SENTENCE 5825 5917	This test may be waived by the approving authority in the case of internally coated hybrids.
T338	VARIABLE 5919 5928	This test
T339	CONDITION 5929 5943	may be omitted
T340	KEY_C 5944 5963	only in the case of
T341	VARIABLE 5964 5979	aluminium wires
T342	VARIABLE 5984 6006	epoxy bonding of chips
T343	AND 5964 6006	aluminium wires and epoxy bonding of chips
T344	CAUSE 5944 6006	only in the case of aluminium wires and epoxy bonding of chips
T345	STATEMENT 5919 5943	This test may be omitted
T346	CAUSE_EFFECT_RELATION 5919 6006	This test may be omitted only in the case of aluminium wires and epoxy bonding of chips
T347	ROOT_SENTENCE 5919 6007	This test may be omitted only in the case of aluminium wires and epoxy bonding of chips.
T348	VARIABLE 6803 6834	an individual materiel solution
T349	CONDITION 6843 6894	fully satisfy a necessary capability gap on its own
T350	NEGATION 6835 6894	may not fully satisfy a necessary capability gap on its own
T351	KEY_C 6723 6737	In the case of
T352	VARIABLE 6738 6755	family of systems
T353	VARIABLE 6759 6801	system of systems (FoS and SoS) approaches
T354	OR 6738 6801	family of systems or system of systems (FoS and SoS) approaches
T355	CAUSE 6723 6801	In the case of family of systems or system of systems (FoS and SoS) approaches
T356	STATEMENT 6803 6894	an individual materiel solution may not fully satisfy a necessary capability gap on its own
T357	CAUSE_EFFECT_RELATION 6723 6894	In the case of family of systems or system of systems (FoS and SoS) approaches, an individual materiel solution may not fully satisfy a necessary capability gap on its own
T358	ROOT_SENTENCE 6723 6895	In the case of family of systems or system of systems (FoS and SoS) approaches, an individual materiel solution may not fully satisfy a necessary capability gap on its own.
T359	VARIABLE 6998 7056	Automated Computer Program Identification Numbers (ACPINs)
T360	CONDITION 7057 7072	may be required
T361	KEY_C 7073 7087	in the case of
T362	VARIABLE 7088 7096	software
T363	CONDITION 7097 7130	expecting depot level maintenance
T364	CONDITION 7131 7158	at the Warner Robbins depot
T365	AND 7097 7158	expecting depot level maintenance at the Warner Robbins depot
T366	STATEMENT 7088 7158	software expecting depot level maintenance at the Warner Robbins depot
T367	CAUSE 7073 7158	in the case of software expecting depot level maintenance at the Warner Robbins depot
T368	STATEMENT 6998 7072	Automated Computer Program Identification Numbers (ACPINs) may be required
T369	CAUSE_EFFECT_RELATION 6998 7158	Automated Computer Program Identification Numbers (ACPINs) may be required in the case of software expecting depot level maintenance at the Warner Robbins depot
T370	ROOT_SENTENCE 6998 7159	Automated Computer Program Identification Numbers (ACPINs) may be required in the case of software expecting depot level maintenance at the Warner Robbins depot.
T371	KEY_C 7897 7911	In the case of
T372	VARIABLE 7921 7928	designs
T373	CONDITION 7912 7920	modified
T374	STATEMENT 7912 7928	modified designs
T375	VARIABLE 7930 7933	one
T376	CONDITION 7934 7958	must consider the degree
T377	CONDITION 7963 7990	effect of the modifications
T378	AND 7934 7990	must consider the degree and effect of the modifications
T379	STATEMENT 7930 7990	one must consider the degree and effect of the modifications
T380	CAUSE 7897 7928	In the case of modified designs
T381	CAUSE_EFFECT_RELATION 7897 7990	In the case of modified designs, one must consider the degree and effect of the modifications
T382	ROOT_SENTENCE 7897 7991	In the case of modified designs, one must consider the degree and effect of the modifications.
T383	KEY_C 4179 4196	In the case where
T384	VARIABLE 4197 4213	the manufacturer
T385	CONDITION 4227 4287	carry out the blank fabrication as requested by the customer
T386	NEGATION 4214 4287	is unable to carry out the blank fabrication as requested by the customer
T387	VARIABLE 4289 4299	the blanks
T388	CONDITION 4300 4339	may be produced by a different supplier
T389	STATEMENT 4289 4339	the blanks may be produced by a different supplier
T390	STATEMENT 4197 4287	the manufacturer is unable to carry out the blank fabrication as requested by the customer
T391	CAUSE 4179 4287	In the case where the manufacturer is unable to carry out the blank fabrication as requested by the customer
T392	CAUSE_EFFECT_RELATION 4179 4339	In the case where the manufacturer is unable to carry out the blank fabrication as requested by the customer, the blanks may be produced by a different supplier
T393	ROOT_SENTENCE 4179 4340	In the case where the manufacturer is unable to carry out the blank fabrication as requested by the customer, the blanks may be produced by a different supplier.
T394	KEY_C 5419 5433	In the case of
T395	VARIABLE 5447 5458	information
T396	CONDITION 5434 5446	confidential
T397	STATEMENT 5434 5458	confidential information
T398	VARIABLE 5460 5476	these activities
T399	CONDITION 5477 5537	may be conducted with the support of the approving authority
T400	STATEMENT 5460 5537	these activities may be conducted with the support of the approving authority
T401	CAUSE 5419 5458	In the case of confidential information
T402	CAUSE_EFFECT_RELATION 5419 5537	In the case of confidential information, these activities may be conducted with the support of the approving authority
T403	ROOT_SENTENCE 5419 5538	In the case of confidential information, these activities may be conducted with the support of the approving authority.
T404	KEY_C 6009 6020	In the case
T405	VARIABLE 6021 6038	specified in 6.2c
T406	VARIABLE 6040 6048	the test
T407	CONDITION 6049 6100	shall be performed on a 100% basis on the whole lot
T408	VARIABLE 6105 6137	the causes of the nonconformance
T409	CONDITION 6138 6150	investigated
T410	CONDITION 6155 6186	recorded in the relifing report
T411	AND 6138 6186	investigated and recorded in the relifing report
T412	STATEMENT 6105 6186	the causes of the nonconformance investigated and recorded in the relifing report
T413	STATEMENT 6040 6100	the test shall be performed on a 100% basis on the whole lot
T414	AND 6040 6186	the test shall be performed on a 100% basis on the whole lot and the causes of the nonconformance investigated and recorded in the relifing report
T415	CAUSE 6009 6038	In the case specified in 6.2c
