T6	VARIABLE 364 378	Terminal posts
T193	STATEMENT 2716 2806	logging and tracing is an important mechanism for testability and proofing product quality
T194	CAUSE 2710 2806	Since logging and tracing is an important mechanism for testability and proofing product quality
T195	VARIABLE 2808 2810	it
T196	CONDITION 2811 2854	is necessary to standardize the transmitted
T197	CONDITION 2859 2877	stored data format
T198	AND 2811 2877	is necessary to standardize the transmitted and stored data format
T199	STATEMENT 2808 2877	it is necessary to standardize the transmitted and stored data format
T200	CAUSE_EFFECT_RELATION 2710 2877	Since logging and tracing is an important mechanism for testability and proofing product quality, it is necessary to standardize the transmitted and stored data format
T201	ROOT_SENTENCE 2710 2878	Since logging and tracing is an important mechanism for testability and proofing product quality, it is necessary to standardize the transmitted and stored data format.
T206	KEY_C 3057 3062	Since
T207	VARIABLE 3063 3088	the procurement structure
T208	CONDITION 3100 3105	known
T209	NEGATION 3089 3105	is not yet known
T210	STATEMENT 3063 3105	the procurement structure is not yet known
T211	CAUSE 3057 3105	Since the procurement structure is not yet known
T212	VARIABLE 3107 3121	the components
T213	CONDITION 3122 3178	have been expressed in this document in functional terms
T214	CONDITION 3180 3207	according to the above list
T215	AND 3122 3207	have been expressed in this document in functional terms, according to the above list
T216	STATEMENT 3107 3207	the components have been expressed in this document in functional terms, according to the above list
T217	CAUSE_EFFECT_RELATION 3057 3207	Since the procurement structure is not yet known, the components have been expressed in this document in functional terms, according to the above list
T218	ROOT_SENTENCE 3057 3208	Since the procurement structure is not yet known, the components have been expressed in this document in functional terms, according to the above list.
T219	KEY_C 3210 3215	Since
T221	CONDITION 3272 3277	known
T222	VARIABLE 3216 3260	the organisational structure of this service
T220	NEGATION 3261 3277	is not yet known
T223	STATEMENT 3216 3277	the organisational structure of this service is not yet known
T224	CAUSE 3210 3277	Since the organisational structure of this service is not yet known
T225	VARIABLE 3279 3309	the term “CSS operations user”
T226	CONDITION 3310 3350	has been adopted for these service users
T227	CONDITION 3352 3396	in the same way as in the preceding sections
T228	AND 3310 3396	has been adopted for these service users, in the same way as in the preceding sections
T229	STATEMENT 3279 3396	the term “CSS operations user” has been adopted for these service users, in the same way as in the preceding sections
T230	CAUSE_EFFECT_RELATION 3210 3396	Since the organisational structure of this service is not yet known, the term “CSS operations user” has been adopted for these service users, in the same way as in the preceding sections
T231	ROOT_SENTENCE 3210 3397	Since the organisational structure of this service is not yet known, the term “CSS operations user” has been adopted for these service users, in the same way as in the preceding sections.
T232	KEY_C 3399 3404	Since
T233	VARIABLE 3405 3407	it
T234	CONDITION 3415 3440	a resource hungry program
T235	NEGATION 3408 3440	is not a resource hungry program
T236	STATEMENT 3405 3440	it is not a resource hungry program
T237	CAUSE 3399 3440	Since it is not a resource hungry program
T238	VARIABLE 3442 3444	it
T239	CONDITION 3445 3487	will run on most systems without a problem
T240	STATEMENT 3442 3487	it will run on most systems without a problem
T241	CAUSE_EFFECT_RELATION 3399 3487	Since it is not a resource hungry program, it will run on most systems without a problem
T242	ROOT_SENTENCE 3399 3488	Since it is not a resource hungry program, it will run on most systems without a problem.
T243	KEY_C 3490 3496	Indeed
T244	VARIABLE 3497 3526	all user types in the diagram
T245	CONDITION 3527 3542	are SLCCI Users
T246	KEY_C 3543 3548	since
T247	VARIABLE 3549 3568	the SLCCI User type
T248	CONDITION 3569 3612	is the ultimate base type of all user types
T249	STATEMENT 3549 3612	the SLCCI User type is the ultimate base type of all user types
T250	CAUSE 3543 3612	since the SLCCI User type is the ultimate base type of all user types
T251	STATEMENT 3497 3542	all user types in the diagram are SLCCI Users
T252	EFFECT 3490 3542	Indeed all user types in the diagram are SLCCI Users
T253	CAUSE_EFFECT_RELATION 3490 3612	Indeed all user types in the diagram are SLCCI Users since the SLCCI User type is the ultimate base type of all user types
T254	ROOT_SENTENCE 3490 3613	Indeed all user types in the diagram are SLCCI Users since the SLCCI User type is the ultimate base type of all user types.
T255	VARIABLE 3615 3627	The incident
T256	CONDITION 3628 3676	has to be reported to the Top Level Service Desk
T257	CONDITION 3677 3708	through the SL TAC Service Desk
T258	AND 3628 3708	has to be reported to the Top Level Service Desk through the SL TAC Service Desk
T259	STATEMENT 3615 3708	The incident has to be reported to the Top Level Service Desk through the SL TAC Service Desk
T260	KEY_C 3709 3714	since
T261	VARIABLE 3715 3717	it
T262	CONDITION 3718 3762	impacts the products available for the users
T263	STATEMENT 3715 3762	it impacts the products available for the users
T264	CAUSE 3709 3762	since it impacts the products available for the users
T265	CAUSE_EFFECT_RELATION 3615 3762	The incident has to be reported to the Top Level Service Desk through the SL TAC Service Desk since it impacts the products available for the users
T266	ROOT_SENTENCE 3615 3763	The incident has to be reported to the Top Level Service Desk through the SL TAC Service Desk since it impacts the products available for the users.
T270	VARIABLE 3927 3952	Functional coverage tools
T271	CONDITION 3953 3978	need a means of accessing
T272	CONDITION 3983 4016	tracking the values of parameters
T273	AND 3953 4016	need a means of accessing and tracking the values of parameters
T274	STATEMENT 3927 4016	Functional coverage tools need a means of accessing and tracking the values of parameters
T275	KEY_C 4018 4023	since
T276	VARIABLE 4024 4034	parameters
T277	CONDITION 4035 4061	obviously affect the setup
T278	CONDITION 4066 4086	behavior of a system
T279	AND 4035 4086	obviously affect the setup and behavior of a system
T280	STATEMENT 4024 4086	parameters obviously affect the setup and behavior of a system
T281	CAUSE 4018 4086	since parameters obviously affect the setup and behavior of a system
T282	CAUSE_EFFECT_RELATION 3927 4086	Functional coverage tools need a means of accessing and tracking the values of parameters, since parameters obviously affect the setup and behavior of a system
T283	ROOT_SENTENCE 3927 4087	Functional coverage tools need a means of accessing and tracking the values of parameters, since parameters obviously affect the setup and behavior of a system.
T289	KEY_C 4218 4223	Since
T290	VARIABLE 4224 4234	NVP values
T291	CONDITION 4235 4276	are interpreted in a type-specific manner
T292	CONDITION 4277 4294	by individual POs
T293	AND 4235 4294	are interpreted in a type-specific manner by individual POs
T294	STATEMENT 4224 4294	NVP values are interpreted in a type-specific manner by individual POs
T295	CAUSE 4218 4294	Since NVP values are interpreted in a type-specific manner by individual POs
T296	VARIABLE 4296 4298	it
T297	CONDITION 4299 4361	is possible to map POs of different data types to the same NVP
T298	STATEMENT 4296 4361	it is possible to map POs of different data types to the same NVP
T299	CAUSE_EFFECT_RELATION 4218 4361	Since NVP values are interpreted in a type-specific manner by individual POs, it is possible to map POs of different data types to the same NVP
T300	ROOT_SENTENCE 4218 4362	Since NVP values are interpreted in a type-specific manner by individual POs, it is possible to map POs of different data types to the same NVP.
T301	VARIABLE 4364 4375	Their needs
T302	CONDITION 4376 4437	should be identified for each one of these target user groups
T303	KEY_C 4439 4444	since
T304	VARIABLE 4445 4449	they
T305	CONDITION 4450 4470	have different needs
T306	STATEMENT 4445 4470	they have different needs
T307	CAUSE 4439 4470	since they have different needs
T308	STATEMENT 4364 4437	Their needs should be identified for each one of these target user groups
T309	CAUSE_EFFECT_RELATION 4364 4470	Their needs should be identified for each one of these target user groups, since they have different needs
T310	ROOT_SENTENCE 4364 4471	Their needs should be identified for each one of these target user groups, since they have different needs.
T311	VARIABLE 4704 4708	They
T312	CONDITION 4709 4778	have a rather high awareness level of various accessibility standards
T313	CONDITION 4783 4793	guidelines
T315	CONDITION 4795 4814	especially WCAG 1.0
T316	KEY_C 4815 4820	since
T317	VARIABLE 4821 4825	they
T318	CONDITION 4826 4877	often use a subset of it in the national guidelines
T319	STATEMENT 4821 4877	they often use a subset of it in the national guidelines
T320	CAUSE 4815 4877	since they often use a subset of it in the national guidelines
T314	AND 4783 4814	guidelines, especially WCAG 1.0
T321	AND 4709 4814	have a rather high awareness level of various accessibility standards and guidelines, especially WCAG 1.0
T322	STATEMENT 4704 4814	They have a rather high awareness level of various accessibility standards and guidelines, especially WCAG 1.0
T323	CAUSE_EFFECT_RELATION 4704 4877	They have a rather high awareness level of various accessibility standards and guidelines, especially WCAG 1.0 since they often use a subset of it in the national guidelines
T324	ROOT_SENTENCE 4704 4878	They have a rather high awareness level of various accessibility standards and guidelines, especially WCAG 1.0 since they often use a subset of it in the national guidelines.
T325	VARIABLE 4880 4907	The requirements definition
T326	CONDITION 4908 4947	means an important stage of the project
T327	KEY_C 4948 4953	since
T328	VARIABLE 4954 4956	it
T329	CONDITION 4957 4973	sets the grounds
T330	CONDITION 4978 5015	is useful for the architecture design
T331	CONDITION 5020 5053	the components development stages
T332	AND 4978 5053	is useful for the architecture design and the components development stages
T333	AND 4957 5053	sets the grounds and is useful for the architecture design and the components development stages
T334	STATEMENT 4954 5053	it sets the grounds and is useful for the architecture design and the components development stages
T335	CAUSE 4948 5053	since it sets the grounds and is useful for the architecture design and the components development stages
T336	STATEMENT 4880 4947	The requirements definition means an important stage of the project
T337	CAUSE_EFFECT_RELATION 4880 5053	The requirements definition means an important stage of the project since it sets the grounds and is useful for the architecture design and the components development stages
T338	ROOT_SENTENCE 4880 5054	The requirements definition means an important stage of the project since it sets the grounds and is useful for the architecture design and the components development stages.
T339	KEY_C 5406 5411	Since
T340	VARIABLE 5412 5440	a majority of the WUT System
T341	CONDITION 5441 5463	is reporting in nature
T342	STATEMENT 5412 5463	a majority of the WUT System is reporting in nature
T343	CAUSE 5406 5463	Since a majority of the WUT System is reporting in nature
T344	VARIABLE 5465 5479	all the actors
T345	CONDITION 5480 5516	will have the ability to run reports
T346	CONDITION 5518 5527	view maps
T347	CONDITION 5533 5581	query water use permits (i.e., General WUT User)
T348	AND 5518 5581	view maps, and query water use permits (i.e., General WUT User)
T349	AND 5480 5581	will have the ability to run reports, view maps, and query water use permits (i.e., General WUT User)
T350	STATEMENT 5465 5581	all the actors will have the ability to run reports, view maps, and query water use permits (i.e., General WUT User)
T351	CAUSE_EFFECT_RELATION 5406 5581	Since a majority of the WUT System is reporting in nature, all the actors will have the ability to run reports, view maps, and query water use permits (i.e., General WUT User)
T352	ROOT_SENTENCE 5406 5582	Since a majority of the WUT System is reporting in nature, all the actors will have the ability to run reports, view maps, and query water use permits (i.e., General WUT User).
T353	VARIABLE 5584 5611	Each coat of bitumen mastic
T354	CONDITION 5612 5628	shall succeeding
T355	KEY_C 5630 5635	since
T356	VARIABLE 5636 5679	exposure to contamination (by dust or dirt)
T357	CONDITION 5680 5701	might impair adhesion
T358	CONDITION 5706 5722	cause blistering
T359	AND 5680 5722	might impair adhesion and cause blistering
T360	STATEMENT 5636 5722	exposure to contamination (by dust or dirt) might impair adhesion and cause blistering
T361	CAUSE 5630 5722	since exposure to contamination (by dust or dirt) might impair adhesion and cause blistering
T362	STATEMENT 5584 5628	Each coat of bitumen mastic shall succeeding
T363	CAUSE_EFFECT_RELATION 5584 5722	Each coat of bitumen mastic shall succeeding, since exposure to contamination (by dust or dirt) might impair adhesion and cause blistering
T364	ROOT_SENTENCE 5584 5723	Each coat of bitumen mastic shall succeeding, since exposure to contamination (by dust or dirt) might impair adhesion and cause blistering.
T365	KEY_C 5725 5730	Since
T366	VARIABLE 5731 5752	major test activities
T367	CONDITION 5753 5789	often cover multiple activity sheets
T368	VARIABLE 5791 5816	the structure of the TSPE
T369	CONDITION 5817 5839	is adapted accordingly
T370	STATEMENT 5791 5839	the structure of the TSPE is adapted accordingly
T371	STATEMENT 5731 5789	major test activities often cover multiple activity sheets
T372	CAUSE 5725 5789	Since major test activities often cover multiple activity sheets
T373	CAUSE_EFFECT_RELATION 5725 5839	Since major test activities often cover multiple activity sheets, the structure of the TSPE is adapted accordingly
T374	ROOT_SENTENCE 5725 5840	Since major test activities often cover multiple activity sheets, the structure of the TSPE is adapted accordingly.
T375	KEY_C 5842 5847	Since
T376	VARIABLE 5848 5865	operational costs
T377	CONDITION 5866 5906	are often greater than acquisition costs
T378	VARIABLE 5908 5923	lifecycle costs
T379	CONDITION 5924 5962	shall be assessed early in the program
T380	STATEMENT 5908 5962	lifecycle costs shall be assessed early in the program
T381	STATEMENT 5848 5906	operational costs are often greater than acquisition costs
T382	CAUSE 5842 5906	Since operational costs are often greater than acquisition costs
T383	CAUSE_EFFECT_RELATION 5842 5962	Since operational costs are often greater than acquisition costs, lifecycle costs shall be assessed early in the program
T384	ROOT_SENTENCE 5842 5963	Since operational costs are often greater than acquisition costs, lifecycle costs shall be assessed early in the program.
T385	KEY_C 5965 5970	Since
T386	VARIABLE 5971 5982	ESD testing
T387	CONDITION 5983 6033	can cause catastrophic failure of the test article
T388	CONDITION 6034 6078	(and even more insidiously, latent failures)
T389	AND 5983 6078	can cause catastrophic failure of the test article (and even more insidiously, latent failures)
T390	STATEMENT 5971 6078	ESD testing can cause catastrophic failure of the test article (and even more insidiously, latent failures)
T391	CAUSE 5965 6078	Since ESD testing can cause catastrophic failure of the test article (and even more insidiously, latent failures)
T392	VARIABLE 6079 6091	verification
T393	CONDITION 6092 6123	is only possible on engineering
T394	CONDITION 6127 6143	prototype models
T395	OR 6092 6143	is only possible on engineering or prototype models
T396	CONDITION 6149 6170	on the flight article
T397	NEGATION 6145 6170	not on the flight article
T398	AND 6092 6170	is only possible on engineering or prototype models, not on the flight article
T399	STATEMENT 6079 6170	verification is only possible on engineering or prototype models, not on the flight article
T400	CAUSE_EFFECT_RELATION 5965 6170	Since ESD testing can cause catastrophic failure of the test article (and even more insidiously, latent failures) verification is only possible on engineering or prototype models, not on the flight article
T401	ROOT_SENTENCE 5965 6171	Since ESD testing can cause catastrophic failure of the test article (and even more insidiously, latent failures) verification is only possible on engineering or prototype models, not on the flight article.
T402	KEY_C 6173 6178	Since
T403	VARIABLE 6179 6223	the operation of all ground segment entities
T404	CONDITION 6224 6274	is driven by the top-level mission operations plan
T405	VARIABLE 6276 6284	the GOPs
T406	CONDITION 6285 6337	are sub-servient to the flight operations plan (FOP)
T407	KEY_NC 6339 6344	which
T408	VARIABLE 6345 6360	is the document
T409	CONDITION 6361 6409	that defines the overall mission operations plan
T410	CONDITION 6414 6502	invokes, either directly or indirectly, support from the various ground segment entities
T411	AND 6361 6502	that defines the overall mission operations plan and invokes, either directly or indirectly, support from the various ground segment entities
T412	STATEMENT 6345 6502	is the document that defines the overall mission operations plan and invokes, either directly or indirectly, support from the various ground segment entities
T413	NONE_CAUSAL 6339 6502	which is the document that defines the overall mission operations plan and invokes, either directly or indirectly, support from the various ground segment entities
T414	STATEMENT 6276 6337	the GOPs are sub-servient to the flight operations plan (FOP)
T415	STATEMENT 6179 6274	the operation of all ground segment entities is driven by the top-level mission operations plan
T416	CAUSE 6173 6274	Since the operation of all ground segment entities is driven by the top-level mission operations plan
T417	CAUSE_EFFECT_RELATION 6173 6337	Since the operation of all ground segment entities is driven by the top-level mission operations plan, the GOPs are sub-servient to the flight operations plan (FOP)
T418	ROOT_SENTENCE 6173 6503	Since the operation of all ground segment entities is driven by the top-level mission operations plan, the GOPs are sub-servient to the flight operations plan (FOP), which is the document that defines the overall mission operations plan and invokes, either directly or indirectly, support from the various ground segment entities.
T419	KEY_C 6505 6510	Since
T420	VARIABLE 6511 6536	quantitative requirements
T421	CONDITION 6537 6563	are often mission specific
T422	VARIABLE 6565 6595	the requirements in clause 6.7
T423	CONDITION 6604 6629	intended to be exhaustive
T424	NEGATION 6596 6629	are not intended to be exhaustive
T425	CONDITION 6635 6718	to cover the common aspects that can be expected in most of the scientific missions
T426	AND 6596 6718	are not intended to be exhaustive, but to cover the common aspects that can be expected in most of the scientific missions
T427	STATEMENT 6565 6718	the requirements in clause 6.7 are not intended to be exhaustive, but to cover the common aspects that can be expected in most of the scientific missions
T428	STATEMENT 6511 6563	quantitative requirements are often mission specific
T429	CAUSE 6505 6563	Since quantitative requirements are often mission specific
T430	CAUSE_EFFECT_RELATION 6505 6718	Since quantitative requirements are often mission specific, the requirements in clause 6.7 are not intended to be exhaustive, but to cover the common aspects that can be expected in most of the scientific missions
T431	ROOT_SENTENCE 6505 6719	Since quantitative requirements are often mission specific, the requirements in clause 6.7 are not intended to be exhaustive, but to cover the common aspects that can be expected in most of the scientific missions.
T432	VARIABLE 6721 6725	This
T433	CONDITION 6726 6745	is only tested once
T435	KEY_C 6746 6752	due to
