T1	VARIABLE 3 12	the check
T63	STATEMENT 1415 1506	the unique GB address identifier of both RMPs related to a single comms hub is not the same
T64	CAUSE 1412 1506	If the unique GB address identifier of both RMPs related to a single comms hub is not the same
T65	KEY_C 1508 1512	then
T66	VARIABLE 1513 1516	CSS
T67	CONDITION 1517 1566	queues this Address Issue for manual intervention
T68	STATEMENT 1513 1566	CSS queues this Address Issue for manual intervention
T69	EFFECT 1508 1566	then CSS queues this Address Issue for manual intervention
T70	CAUSE_EFFECT_RELATION 1412 1566	If the unique GB address identifier of both RMPs related to a single comms hub is not the same, then CSS queues this Address Issue for manual intervention
T71	ROOT_SENTENCE 1412 1567	If the unique GB address identifier of both RMPs related to a single comms hub is not the same, then CSS queues this Address Issue for manual intervention.
T72	VARIABLE 1572 1595	the CSS operations user
T74	KEY_C 1569 1571	If
T75	KEY_C 1613 1617	then
T76	VARIABLE 1618 1627	the entry
T77	CONDITION 1628 1648	is left on the queue
T78	STATEMENT 1618 1648	the entry is left on the queue
T79	EFFECT 1613 1648	then the entry is left on the queue
T80	STATEMENT 1572 1611	the CSS operations user takes no action
T81	CAUSE 1569 1611	If the CSS operations user takes no action
T82	CAUSE_EFFECT_RELATION 1569 1648	If the CSS operations user takes no action, then the entry is left on the queue
T83	ROOT_SENTENCE 1569 1649	If the CSS operations user takes no action, then the entry is left on the queue.
T84	VARIABLE 1654 1658	none
T85	CONDITION 1659 1667	is found
T86	KEY_C 1669 1673	then
T87	KEY_C 1651 1653	If
T88	VARIABLE 1674 1677	CSS
T90	STATEMENT 1674 1720	CSS takes no action with respect to this entry
T91	STATEMENT 1654 1667	none is found
T92	CAUSE 1651 1667	If none is found
T93	EFFECT 1669 1720	then CSS takes no action with respect to this entry
T94	CAUSE_EFFECT_RELATION 1651 1720	If none is found, then CSS takes no action with respect to this entry
T95	ROOT_SENTENCE 1651 1721	If none is found, then CSS takes no action with respect to this entry.
T96	KEY_C 1783 1785	if
T97	VARIABLE 1786 1824	the Enterprise Data Hub implementation
T99	CONDITION 1876 1886	timescales
T100	OR 1832 1886	meet the switching programme requirement or timescales
T101	STATEMENT 1786 1886	the Enterprise Data Hub implementation cannot meet the switching programme requirement or timescales
T102	CAUSE 1783 1886	if the Enterprise Data Hub implementation cannot meet the switching programme requirement or timescales
T103	VARIABLE 1723 1743	The fall-back option
T104	CONDITION 1744 1782	will be to transfer data by secure FTP
T105	STATEMENT 1723 1782	The fall-back option will be to transfer data by secure FTP
T106	CAUSE_EFFECT_RELATION 1723 1886	The fall-back option will be to transfer data by secure FTP if the Enterprise Data Hub implementation cannot meet the switching programme requirement or timescales
T107	ROOT_SENTENCE 1723 1887	The fall-back option will be to transfer data by secure FTP if the Enterprise Data Hub implementation cannot meet the switching programme requirement or timescales.
T108	NONE_CAUSAL 1889 1900	For example
T109	VARIABLE 1902 1918	a Switch Request
T110	CONDITION 1919 1934	may be rejected
T111	KEY_C 1935 1937	if
T112	VARIABLE 1938 1975	a change to shipper-supplier alliance
T113	CONDITION 1976 1992	has been applied
T114	CONDITION 1998 2020	invalidates the switch
T115	AND 1976 2020	has been applied that invalidates the switch
T116	STATEMENT 1938 2020	a change to shipper-supplier alliance has been applied that invalidates the switch
T117	CAUSE 1935 2020	if a change to shipper-supplier alliance has been applied that invalidates the switch
T118	STATEMENT 1902 1934	a Switch Request may be rejected
T119	CAUSE_EFFECT_RELATION 1902 2020	a Switch Request may be rejected if a change to shipper-supplier alliance has been applied that invalidates the switch
T120	ROOT_SENTENCE 1889 2021	For example, a Switch Request may be rejected if a change to shipper-supplier alliance has been applied that invalidates the switch.
T37	CONDITION 715 754	be found by the means specified in VMA1
T121	CONDITION 758 762	VMA2
T122	OR 715 762	be found by the means specified in VMA1 or VMA2
T123	NEGATION 708 762	cannot be found by the means specified in VMA1 or VMA2
T98	CONDITION 1832 1872	meet the switching programme requirement
T125	KEY_C 916 918	If
T126	VARIABLE 919 943	the communication module
T127	CONDITION 951 958	enabled
T128	NEGATION 944 958	is not enabled
T129	CONDITION 965 996	external client for dumping log
T130	CONDITION 1001 1027	trace message is connected
T131	AND 965 1027	external client for dumping log and trace message is connected
T132	NEGATION 962 1027	no external client for dumping log and trace message is connected
T133	OR 944 1027	is not enabled or no external client for dumping log and trace message is connected
T134	STATEMENT 919 1027	the communication module is not enabled or no external client for dumping log and trace message is connected
T135	CAUSE 916 1027	If the communication module is not enabled or no external client for dumping log and trace message is connected
T136	VARIABLE 1029 1032	log
T137	VARIABLE 1037 1051	trace messages
T138	CONDITION 1052 1094	shall be stored locally in a memory buffer
T139	AND 1029 1051	log and trace messages
T140	STATEMENT 1029 1094	log and trace messages shall be stored locally in a memory buffer
T141	CAUSE_EFFECT_RELATION 916 1094	If the communication module is not enabled or no external client for dumping log and trace message is connected, log and trace messages shall be stored locally in a memory buffer
T142	ROOT_SENTENCE 916 1095	If the communication module is not enabled or no external client for dumping log and trace message is connected, log and trace messages shall be stored locally in a memory buffer.
T145	KEY_C 1097 1099	If
T146	VARIABLE 1100 1103	one
T147	CONDITION 1104 1112	is found
T148	VARIABLE 1114 1117	CSS
T149	CONDITION 1118 1153	stores this address against the RMP
T150	STATEMENT 1114 1153	CSS stores this address against the RMP
T151	STATEMENT 1100 1112	one is found
T152	CAUSE 1097 1112	If one is found
T153	CAUSE_EFFECT_RELATION 1097 1296	If one is found, CSS stores this address against the RMP, where it becomes the authoritative address to be relied upon and referred to by consumers and all parties engaged in the retail energy market
T154	ROOT_SENTENCE 1097 1297	If one is found, CSS stores this address against the RMP, where it becomes the authoritative address to be relied upon and referred to by consumers and all parties engaged in the retail energy market.
T155	KEY_C 2023 2025	If
T156	VARIABLE 2026 2038	a laboratory
T157	CONDITION 2039 2086	has a valid certification according to ISO 9001
T158	CONDITION 2090 2099	ISO 15189
T159	CONDITION 2104 2113	ISO 17025
T160	AND 2090 2113	ISO 15189 and ISO 17025
T161	OR 2039 2113	has a valid certification according to ISO 9001 or ISO 15189 and ISO 17025
T162	STATEMENT 2026 2113	a laboratory has a valid certification according to ISO 9001 or ISO 15189 and ISO 17025
T163	CAUSE 2023 2113	If a laboratory has a valid certification according to ISO 9001 or ISO 15189 and ISO 17025
T164	VARIABLE 2115 2143	the requirement of section 4
T165	CONDITION 2144 2157	is met per se
T166	STATEMENT 2115 2157	the requirement of section 4 is met per se
T167	CAUSE_EFFECT_RELATION 2023 2157	If a laboratory has a valid certification according to ISO 9001 or ISO 15189 and ISO 17025, the requirement of section 4 is met per se
T168	ROOT_SENTENCE 2023 2158	If a laboratory has a valid certification according to ISO 9001 or ISO 15189 and ISO 17025, the requirement of section 4 is met per se.
T169	KEY_C 2160 2162	If
T170	VARIABLE 2163 2177	the laboratory
T171	CONDITION 2187 2225	meet this limit figure in a given year
T172	NEGATION 2178 2225	does not meet this limit figure in a given year
T173	STATEMENT 2163 2225	the laboratory does not meet this limit figure in a given year
T174	CAUSE 2160 2225	If the laboratory does not meet this limit figure in a given year
T175	VARIABLE 2227 2250	actions for improvement
T176	CONDITION 2251 2269	shall be initiated
T177	STATEMENT 2227 2269	actions for improvement shall be initiated
T178	CAUSE_EFFECT_RELATION 2160 2269	If the laboratory does not meet this limit figure in a given year, actions for improvement shall be initiated
T179	ROOT_SENTENCE 2160 2270	If the laboratory does not meet this limit figure in a given year, actions for improvement shall be initiated.
T180	VARIABLE 1161 1163	it
T181	CONDITION 1220 1296	referred to by consumers and all parties engaged in the retail energy market
T143	STATEMENT 1161 1296	it becomes the authoritative address to be relied upon and referred to by consumers and all parties engaged in the retail energy market
T144	AND 1114 1296	CSS stores this address against the RMP, where it becomes the authoritative address to be relied upon and referred to by consumers and all parties engaged in the retail energy market
T182	KEY_C 2272 2274	If
T183	VARIABLE 2275 2289	the laboratory
T184	CONDITION 2290 2354	fails to meet the limit figure in at least two consecutive years
T185	VARIABLE 2356 2358	it
T186	CONDITION 2359 2426	shall appoint an external expert to carry out a joint quality audit
T187	STATEMENT 2356 2426	it shall appoint an external expert to carry out a joint quality audit
T188	STATEMENT 2275 2354	the laboratory fails to meet the limit figure in at least two consecutive years
T189	CAUSE 2272 2354	If the laboratory fails to meet the limit figure in at least two consecutive years
T190	CAUSE_EFFECT_RELATION 2272 2426	If the laboratory fails to meet the limit figure in at least two consecutive years, it shall appoint an external expert to carry out a joint quality audit
T191	ROOT_SENTENCE 2272 2427	If the laboratory fails to meet the limit figure in at least two consecutive years, it shall appoint an external expert to carry out a joint quality audit.
T192	KEY_C 2429 2431	If
T193	VARIABLE 2432 2451	cryopreserved cells
T194	VARIABLE 2455 2462	tissues
T195	OR 2432 2462	cryopreserved cells or tissues
T196	CONDITION 2463 2471	are used
T197	STATEMENT 2432 2471	cryopreserved cells or tissues are used
T198	CAUSE 2429 2471	If cryopreserved cells or tissues are used
T199	VARIABLE 2473 2510	traceability back to cryopreservation
T200	VARIABLE 2515 2558	the process steps immediately prior to that
T201	AND 2473 2558	traceability back to cryopreservation and the process steps immediately prior to that
T202	CONDITION 2559 2574	must be ensured
T203	STATEMENT 2473 2574	traceability back to cryopreservation and the process steps immediately prior to that must be ensured
T204	CAUSE_EFFECT_RELATION 2429 2574	If cryopreserved cells or tissues are used, traceability back to cryopreservation and the process steps immediately prior to that must be ensured
T205	ROOT_SENTENCE 2429 2575	If cryopreserved cells or tissues are used, traceability back to cryopreservation and the process steps immediately prior to that must be ensured.
T206	KEY_C 2577 2579	If
T207	VARIABLE 2580 2590	procedures
T208	CONDITION 2591 2643	are used that are not covered in the ESHRE Guideline
T209	CONDITION 2647 2662	other standards
T210	OR 2591 2662	are used that are not covered in the ESHRE Guideline or other standards
T211	STATEMENT 2580 2662	procedures are used that are not covered in the ESHRE Guideline or other standards
T212	CAUSE 2577 2662	If procedures are used that are not covered in the ESHRE Guideline or other standards
T213	VARIABLE 2664 2678	the laboratory
T214	CONDITION 2679 2746	must provide evidence to show that the procedure has been validated
T215	CONDITION 2751 2783	should retain validation records
T216	AND 2679 2783	must provide evidence to show that the procedure has been validated and should retain validation records
T217	STATEMENT 2664 2783	the laboratory must provide evidence to show that the procedure has been validated and should retain validation records
T218	CAUSE_EFFECT_RELATION 2577 2783	If procedures are used that are not covered in the ESHRE Guideline or other standards, the laboratory must provide evidence to show that the procedure has been validated and should retain validation records
T219	ROOT_SENTENCE 2577 2784	If procedures are used that are not covered in the ESHRE Guideline or other standards, the laboratory must provide evidence to show that the procedure has been validated and should retain validation records.
T220	KEY_C 2786 2788	If
T221	VARIABLE 2789 2821	software-specific customisations
T222	CONDITION 2822 2878	prove necessary in order to achieve the desired function
T223	VARIABLE 2880 2884	they
T224	CONDITION 2885 2996	will be implemented using HTML, CSS, and Javascript technologies in accordance with Microsoft’s recommendations
T225	CONDITION 3001 3019	using an APP model
T226	OR 2885 3019	will be implemented using HTML, CSS, and Javascript technologies in accordance with Microsoft’s recommendations, or using an APP model
T227	STATEMENT 2880 3019	they will be implemented using HTML, CSS, and Javascript technologies in accordance with Microsoft’s recommendations, or using an APP model
T228	STATEMENT 2789 2878	software-specific customisations prove necessary in order to achieve the desired function
T229	CAUSE 2786 2878	If software-specific customisations prove necessary in order to achieve the desired function
T230	CAUSE_EFFECT_RELATION 2786 3019	If software-specific customisations prove necessary in order to achieve the desired function, they will be implemented using HTML, CSS, and Javascript technologies in accordance with Microsoft’s recommendations, or using an APP model
T231	ROOT_SENTENCE 2786 3020	If software-specific customisations prove necessary in order to achieve the desired function, they will be implemented using HTML, CSS, and Javascript technologies in accordance with Microsoft’s recommendations, or using an APP model.
T232	VARIABLE 3022 3028	Others
T233	CONDITION 3029 3048	will be implemented
T234	KEY_C 3049 3051	if
T235	VARIABLE 3052 3056	they
T236	CONDITION 3057 3105	have no significant impact on the project budget
T237	CONDITION 3109 3117	schedule
T238	OR 3057 3117	have no significant impact on the project budget or schedule
T239	STATEMENT 3052 3117	they have no significant impact on the project budget or schedule
T240	CAUSE 3049 3117	if they have no significant impact on the project budget or schedule
T241	STATEMENT 3022 3048	Others will be implemented
T242	CAUSE_EFFECT_RELATION 3022 3117	Others will be implemented if they have no significant impact on the project budget or schedule
T243	ROOT_SENTENCE 3022 3118	Others will be implemented if they have no significant impact on the project budget or schedule.
T244	KEY_C 3120 3122	If
T245	VARIABLE 3123 3139	any of the above
T246	CONDITION 3140 3155	are unavailable
T247	KEY_C 3157 3161	then
T248	VARIABLE 3162 3178	the use of files
T249	CONDITION 3179 3214	can be used instead of direct calls
T250	ROOT_SENTENCE 3120 3215	If any of the above are unavailable, then the use of files can be used instead of direct calls.
T251	STATEMENT 3162 3214	the use of files can be used instead of direct calls
T252	EFFECT 3157 3214	then the use of files can be used instead of direct calls
T253	STATEMENT 3123 3155	any of the above are unavailable
T254	CAUSE 3120 3155	If any of the above are unavailable
T255	CAUSE_EFFECT_RELATION 3120 3214	If any of the above are unavailable, then the use of files can be used instead of direct calls
T256	KEY_C 3217 3219	If
T257	VARIABLE 3220 3270	a connection between a TPM and the web application
T258	CONDITION 3271 3285	already exists
T259	VARIABLE 3287 3310	the existing connection
T260	CONDITION 3311 3318	is used
T261	STATEMENT 3220 3285	a connection between a TPM and the web application already exists
T262	CAUSE 3217 3285	If a connection between a TPM and the web application already exists
T263	STATEMENT 3287 3318	the existing connection is used
T264	CAUSE_EFFECT_RELATION 3217 3318	If a connection between a TPM and the web application already exists, the existing connection is used
T266	KEY_C 3321 3323	If
T267	VARIABLE 3324 3332	the user
T268	CONDITION 3333 3361	clicks on a TPM in dashboard
T269	VARIABLE 3363 3377	another window
T270	CONDITION 3378 3385	is open
T271	CONDITION 3386 3413	showing details for the TPM
T272	AND 3378 3413	is open showing details for the TPM
T273	STATEMENT 3363 3413	another window is open showing details for the TPM
T274	STATEMENT 3324 3361	the user clicks on a TPM in dashboard
T275	CAUSE 3321 3361	If the user clicks on a TPM in dashboard
T276	CAUSE_EFFECT_RELATION 3321 3413	If the user clicks on a TPM in dashboard, another window is open showing details for the TPM
T277	KEY_C 3506 3508	If
T278	VARIABLE 3509 3517	the user
T279	CONDITION 3518 3547	clicks on a TPM’s temperature
T280	VARIABLE 3549 3563	another window
T281	CONDITION 3564 3571	is open
T282	CONDITION 3572 3603	showing the history for the TPM
T283	AND 3564 3603	is open showing the history for the TPM
T284	STATEMENT 3549 3603	another window is open showing the history for the TPM
T285	STATEMENT 3509 3547	the user clicks on a TPM’s temperature
T286	CAUSE 3506 3547	If the user clicks on a TPM’s temperature
T287	CAUSE_EFFECT_RELATION 3506 3604	If the user clicks on a TPM’s temperature, another window is open showing the history for the TPM.
T288	ROOT_SENTENCE 3506 3604	If the user clicks on a TPM’s temperature, another window is open showing the history for the TPM.
T289	VARIABLE 3606 3623	The second circle
T290	CONDITION 3624 3633	is yellow
T291	KEY_C 3634 3636	if
T292	VARIABLE 3637 3663	one of the FPGA on the TPM
T293	CONDITION 3664 3687	is on programming state
T294	VARIABLE 3689 3710	the other two circles
T295	CONDITION 3711 3719	are grey
T296	NONE_CAUSAL 3689 3719	the other two circles are grey
T297	STATEMENT 3606 3633	The second circle is yellow
T298	STATEMENT 3637 3687	one of the FPGA on the TPM is on programming state
T299	CAUSE 3634 3687	if one of the FPGA on the TPM is on programming state
T300	CAUSE_EFFECT_RELATION 3606 3687	The second circle is yellow if one of the FPGA on the TPM is on programming state
T301	ROOT_SENTENCE 3606 3721	The second circle is yellow if one of the FPGA on the TPM is on programming state (the other two circles are grey).
T302	KEY_C 3723 3725	If
T303	VARIABLE 3726 3736	a location
T304	CONDITION 3737 3761	has inadequate resources
T305	VARIABLE 3763 3806	the minimal data required for CEAP analyses
T306	CONDITION 3807 3825	will be identified
T307	VARIABLE 3830 3843	the data team
T308	CONDITION 3844 3892	will provide additional support to that location
T309	STATEMENT 3763 3825	the minimal data required for CEAP analyses will be identified
T310	STATEMENT 3830 3892	the data team will provide additional support to that location
T311	AND 3763 3892	the minimal data required for CEAP analyses will be identified and the data team will provide additional support to that location
T312	STATEMENT 3726 3761	a location has inadequate resources
T313	CAUSE 3723 3761	If a location has inadequate resources
T314	CAUSE_EFFECT_RELATION 3723 3892	If a location has inadequate resources, the minimal data required for CEAP analyses will be identified and the data team will provide additional support to that location
T315	ROOT_SENTENCE 3723 3893	If a location has inadequate resources, the minimal data required for CEAP analyses will be identified and the data team will provide additional support to that location.
T316	KEY_C 3895 3897	If
T317	VARIABLE 3898 3910	that funding
T319	CONDITION 3933 3961	insufficient in future years
T320	OR 3911 3961	were not available or insufficient in future years
T321	STATEMENT 3898 3961	that funding were not available or insufficient in future years
T322	CAUSE 3895 3961	If that funding were not available or insufficient in future years
T323	VARIABLE 3963 3990	base funds at the locations
T324	VARIABLE 3995 4028	discretionary funds from the Area
T325	VARIABLE 4033 4051	Headquarters funds
T326	AND 3995 4051	discretionary funds from the Area and Headquarters funds
T327	AND 3963 4051	base funds at the locations and discretionary funds from the Area and Headquarters funds
T328	CONDITION 4052 4078	would support the activity
T329	STATEMENT 3963 4078	base funds at the locations and discretionary funds from the Area and Headquarters funds would support the activity
T330	KEY_NC 4079 4082	but
T331	VARIABLE 4083 4096	the timelines
T332	CONDITION 4097 4114	would be adjusted
T333	NONE_CAUSAL 4079 4114	but the timelines would be adjusted
T334	CAUSE_EFFECT_RELATION 3895 4078	If that funding were not available or insufficient in future years, base funds at the locations and discretionary funds from the Area and Headquarters funds would support the activity
T335	ROOT_SENTENCE 3895 4115	If that funding were not available or insufficient in future years, base funds at the locations and discretionary funds from the Area and Headquarters funds would support the activity but the timelines would be adjusted.
T336	KEY_C 4117 4119	If
T337	VARIABLE 4120 4124	this
T338	CONDITION 4125 4131	occurs
T339	VARIABLE 4133 4155	the CEAP database team
T340	CONDITION 4156 4192	will evaluate conversion of metadata
T341	STATEMENT 4133 4192	the CEAP database team will evaluate conversion of metadata
T342	STATEMENT 4120 4131	this occurs
T343	CAUSE 4117 4131	If this occurs
T344	CAUSE_EFFECT_RELATION 4117 4192	If this occurs, the CEAP database team will evaluate conversion of metadata
T345	ROOT_SENTENCE 4117 4193	If this occurs, the CEAP database team will evaluate conversion of metadata.
T346	KEY_C 4195 4197	If
T347	VARIABLE 4198 4206	the user
T348	CONDITION 4207 4229	requests a large image
T349	CONDITION 4230 4256	with a short response time
T350	AND 4207 4256	requests a large image with a short response time
T351	STATEMENT 4198 4256	the user requests a large image with a short response time
T352	CAUSE 4195 4256	If the user requests a large image with a short response time
T353	VARIABLE 4258 4260	it
T354	CONDITION 4261 4361	is acceptable for the ARS data system to advise the user that the target response time cannot be met
T355	STATEMENT 4258 4361	it is acceptable for the ARS data system to advise the user that the target response time cannot be met
T356	ROOT_SENTENCE 4195 4362	If the user requests a large image with a short response time, it is acceptable for the ARS data system to advise the user that the target response time cannot be met.
T357	KEY_C 4364 4366	If
T358	VARIABLE 4367 4390	network reconfiguration
T359	VARIABLE 4394 4409	other mechanism
T360	CONDITION 4410 4424	manages a peak
T361	OR 4367 4409	network reconfiguration or other mechanism
T362	STATEMENT 4367 4424	network reconfiguration or other mechanism manages a peak
T363	CAUSE 4364 4424	If network reconfiguration or other mechanism manages a peak
T364	KEY_C 4426 4430	then
T365	VARIABLE 4431 4435	this
T366	CONDITION 4436 4485	just marks the peak as being “managed externally”
T367	STATEMENT 4431 4485	this just marks the peak as being “managed externally”
T369	EFFECT 4426 4485	then this just marks the peak as being “managed externally”
T370	CAUSE_EFFECT_RELATION 4364 4486	If network reconfiguration or other mechanism manages a peak, then this just marks the peak as being “managed externally”.
T371	ROOT_SENTENCE 4364 4486	If network reconfiguration or other mechanism manages a peak, then this just marks the peak as being “managed externally”.
T372	NEGATION 1491 1506	is not the same
T373	NEGATION 1596 1611	takes no action
T374	NEGATION 1678 1720	takes no action with respect to this entry
T124	NEGATION 1825 1886	cannot meet the switching programme requirement or timescales
T375	VARIABLE 4488 4492	This
T376	CONDITION 4493 4544	may be an avenue for other organisations to explore
T377	KEY_C 4545 4547	if
T378	CONDITION 4553 4575	have different polices
T379	VARIABLE 4548 4552	they
T380	CONDITION 4580 4618	priorities for commercial optimisation
T381	AND 4553 4618	have different polices and priorities for commercial optimisation
T382	STATEMENT 4548 4618	they have different polices and priorities for commercial optimisation
T383	CAUSE 4545 4618	if they have different polices and priorities for commercial optimisation
T384	STATEMENT 4488 4544	This may be an avenue for other organisations to explore
T385	CAUSE_EFFECT_RELATION 4488 4618	This may be an avenue for other organisations to explore if they have different polices and priorities for commercial optimisation
T386	ROOT_SENTENCE 4488 4619	This may be an avenue for other organisations to explore if they have different polices and priorities for commercial optimisation.
T387	KEY_C 4621 4623	If
T388	VARIABLE 4624 4628	this
T389	CONDITION 4636 4644	the case
T390	NEGATION 4629 4644	is not the case
T391	KEY_C 4645 4649	then
T392	VARIABLE 4650 4691	a deadline to find an acceptable solution
T393	CONDITION 4692 4711	will be implemented
T394	STATEMENT 4624 4644	this is not the case
T395	CAUSE 4621 4644	If this is not the case
T396	STATEMENT 4650 4711	a deadline to find an acceptable solution will be implemented
T397	EFFECT 4645 4711	then a deadline to find an acceptable solution will be implemented
T398	CAUSE_EFFECT_RELATION 4621 4711	If this is not the case then a deadline to find an acceptable solution will be implemented
T399	ROOT_SENTENCE 4621 4712	If this is not the case then a deadline to find an acceptable solution will be implemented.
T400	KEY_C 4714 4716	If
T401	VARIABLE 4717 4732	the flight plan
T402	CONDITION 4741 4756	fulfil any rule
T403	VARIABLE 4758 4779	its “possible runway”
T404	CONDITION 4780 4812	will be the first one in service
T405	STATEMENT 4717 4756	the flight plan doesn’t fulfil any rule
T406	CAUSE 4714 4756	If the flight plan doesn’t fulfil any rule
T407	STATEMENT 4758 4812	its “possible runway” will be the first one in service
T408	CAUSE_EFFECT_RELATION 4714 4812	If the flight plan doesn’t fulfil any rule, its “possible runway” will be the first one in service
T409	ROOT_SENTENCE 4714 4813	If the flight plan doesn’t fulfil any rule, its “possible runway” will be the first one in service.
T410	KEY_C 4815 4817	If
T411	VARIABLE 4818 4823	there
T412	CONDITION 4824 4871	is a change in the aerodrome runways in service
T413	VARIABLE 4873 4905	the flight plan’s optimum runway
T414	CONDITION 4906 4922	shall be checked
T415	KEY_NC 4923 4928	as if
T416	VARIABLE 4929 4952	an update from each one
T417	CONDITION 4953 4970	had been received
T418	STATEMENT 4929 4970	an update from each one had been received
T419	NONE_CAUSAL 4923 4970	as if an update from each one had been received
T420	STATEMENT 4818 4871	there is a change in the aerodrome runways in service
T421	STATEMENT 4873 4922	the flight plan’s optimum runway shall be checked
T422	CAUSE 4815 4871	If there is a change in the aerodrome runways in service
T423	CAUSE_EFFECT_RELATION 4815 4922	If there is a change in the aerodrome runways in service, the flight plan’s optimum runway shall be checked
T424	ROOT_SENTENCE 4815 4971	If there is a change in the aerodrome runways in service, the flight plan’s optimum runway shall be checked as if an update from each one had been received.
T425	KEY_C 5105 5107	If
T426	VARIABLE 5108 5113	count
T427	CONDITION 5114 5128	increased by 6
T428	VARIABLE 5130 5138	the user
T429	CONDITION 5139 5202	could access more documents by sliding the documents panel left
T430	STATEMENT 5130 5211	the user could access more documents by sliding the documents panel left or right
T431	STATEMENT 5108 5128	count increased by 6
T432	CAUSE 5105 5128	If count increased by 6
T433	CAUSE_EFFECT_RELATION 5105 5211	If count increased by 6, the user could access more documents by sliding the documents panel left or right
T434	ROOT_SENTENCE 5105 5212	If count increased by 6, the user could access more documents by sliding the documents panel left or right.
T435	KEY_C 5275 5277	if
T436	VARIABLE 5278 5287	necessary
T437	VARIABLE 5214 5219	Links
T438	CONDITION 5220 5273	will be part of the content to download any documents
