T1	VARIABLE 0 10	All timber
T138	STATEMENT 13129 13155	The NAS shall notify users
T139	CAUSE_EFFECT_RELATION 13129 13192	The NAS shall notify users when a flight plan has been accepted
T140	ROOT_SENTENCE 13129 13193	The NAS shall notify users when a flight plan has been accepted.
T141	VARIABLE 13195 13202	The NAS
T142	CONDITION 13203 13227	shall notify specialists
T143	KEY_C 13228 13232	when
T144	VARIABLE 13233 13246	a flight plan
T145	CONDITION 13247 13264	has been accepted
T146	STATEMENT 13233 13264	a flight plan has been accepted
T147	CAUSE 13228 13264	when a flight plan has been accepted
T148	STATEMENT 13195 13227	The NAS shall notify specialists
T149	CAUSE_EFFECT_RELATION 13195 13264	The NAS shall notify specialists when a flight plan has been accepted
T150	ROOT_SENTENCE 13195 13265	The NAS shall notify specialists when a flight plan has been accepted.
T151	VARIABLE 13267 13274	The NAS
T152	CONDITION 13275 13307	shall update active flight plans
T153	KEY_C 13308 13312	when
T154	VARIABLE 13313 13323	amendments
T155	CONDITION 13324 13348	are accepted immediately
T156	STATEMENT 13313 13348	amendments are accepted immediately
T157	CAUSE 13308 13348	when amendments are accepted immediately
T158	STATEMENT 13267 13307	The NAS shall update active flight plans
T159	CAUSE_EFFECT_RELATION 13267 13348	The NAS shall update active flight plans when amendments are accepted immediately
T160	ROOT_SENTENCE 13267 13349	The NAS shall update active flight plans when amendments are accepted immediately.
T161	VARIABLE 13351 13358	The NAS
T162	KEY_C 13442 13446	when
T163	VARIABLE 13447 13459	this traffic
T164	CONDITION 13460 13500	is using supplemental navigation systems
T165	STATEMENT 13447 13500	this traffic is using supplemental navigation systems
T166	CAUSE 13442 13500	when this traffic is using supplemental navigation systems
T167	CONDITION 13359 13441	shall separate aircraft operating outside the independent surveillance environment
T168	STATEMENT 13351 13441	The NAS shall separate aircraft operating outside the independent surveillance environment
T169	CAUSE_EFFECT_RELATION 13351 13500	The NAS shall separate aircraft operating outside the independent surveillance environment when this traffic is using supplemental navigation systems
T170	ROOT_SENTENCE 13351 13501	The NAS shall separate aircraft operating outside the independent surveillance environment when this traffic is using supplemental navigation systems.
T171	VARIABLE 13503 13510	The NAS
T172	CONDITION 13511 13534	shall alert specialists
T173	KEY_C 13535 13539	when
T174	VARIABLE 13540 13590	the projected flight path of a controlled aircraft
T175	VARIABLE 13595 13621	that of any other aircraft
T176	CONDITION 13622 13681	are predicted to have less than standard minimum separation
T177	AND 13540 13621	the projected flight path of a controlled aircraft and that of any other aircraft
T178	STATEMENT 13540 13681	the projected flight path of a controlled aircraft and that of any other aircraft are predicted to have less than standard minimum separation
T179	CAUSE 13535 13681	when the projected flight path of a controlled aircraft and that of any other aircraft are predicted to have less than standard minimum separation
T180	STATEMENT 13503 13534	The NAS shall alert specialists
T181	CAUSE_EFFECT_RELATION 13503 13681	The NAS shall alert specialists when the projected flight path of a controlled aircraft and that of any other aircraft are predicted to have less than standard minimum separation
T182	ROOT_SENTENCE 13503 13682	The NAS shall alert specialists when the projected flight path of a controlled aircraft and that of any other aircraft are predicted to have less than standard minimum separation.
T183	VARIABLE 13684 13691	The NAS
T184	CONDITION 13692 13715	shall alert specialists
T185	KEY_C 13716 13720	when
T186	VARIABLE 13721 13759	a controlled aircraft's track position
T187	CONDITION 13760 13851	is outside of the preset altitude conformance bounds of its current flight trajectory model
T188	STATEMENT 13721 13851	a controlled aircraft's track position is outside of the preset altitude conformance bounds of its current flight trajectory model
T189	CAUSE 13716 13851	when a controlled aircraft's track position is outside of the preset altitude conformance bounds of its current flight trajectory model
T190	STATEMENT 13684 13715	The NAS shall alert specialists
T191	CAUSE_EFFECT_RELATION 13684 13851	The NAS shall alert specialists when a controlled aircraft's track position is outside of the preset altitude conformance bounds of its current flight trajectory model
T192	ROOT_SENTENCE 13684 13852	The NAS shall alert specialists when a controlled aircraft's track position is outside of the preset altitude conformance bounds of its current flight trajectory model.
T193	VARIABLE 13854 13861	The NAS
T194	CONDITION 13862 13888	shall alert the specialist
T195	KEY_C 13889 13893	when
T196	VARIABLE 13894 13932	a controlled aircraft's track position
T197	CONDITION 13933 14010	is outside of the preset conformance bounds of its clearance-based trajectory
T198	CONDITION 14011 14035	in the lateral direction
T199	AND 13933 14035	is outside of the preset conformance bounds of its clearance-based trajectory in the lateral direction
T200	STATEMENT 13894 14035	a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the lateral direction
T201	CAUSE 13889 14035	when a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the lateral direction
T202	STATEMENT 13854 13888	The NAS shall alert the specialist
T203	CAUSE_EFFECT_RELATION 13854 14035	The NAS shall alert the specialist when a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the lateral direction
T204	ROOT_SENTENCE 13854 14036	The NAS shall alert the specialist when a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the lateral direction.
T205	VARIABLE 14038 14045	The NAS
T206	CONDITION 14046 14072	shall alert the specialist
T207	KEY_C 14073 14077	when
T208	VARIABLE 14078 14116	a controlled aircraft's track position
T209	CONDITION 14117 14210	is outside of the preset lateral conformance bounds of its current clearance-based trajectory
T210	STATEMENT 14078 14210	a controlled aircraft's track position is outside of the preset lateral conformance bounds of its current clearance-based trajectory
T211	CAUSE 14073 14210	when a controlled aircraft's track position is outside of the preset lateral conformance bounds of its current clearance-based trajectory
T212	STATEMENT 14038 14072	The NAS shall alert the specialist
T213	CAUSE_EFFECT_RELATION 14038 14210	The NAS shall alert the specialist when a controlled aircraft's track position is outside of the preset lateral conformance bounds of its current clearance-based trajectory
T214	ROOT_SENTENCE 14038 14211	The NAS shall alert the specialist when a controlled aircraft's track position is outside of the preset lateral conformance bounds of its current clearance-based trajectory.
T215	VARIABLE 14213 14220	The NAS
T216	CONDITION 14221 14247	shall alert the specialist
T217	KEY_C 14248 14252	when
T218	VARIABLE 14253 14291	a controlled aircraft's track position
T219	CONDITION 14292 14369	is outside of the preset conformance bounds of its clearance-based trajectory
T220	CONDITION 14370 14395	in the vertical direction
T221	AND 14292 14395	is outside of the preset conformance bounds of its clearance-based trajectory in the vertical direction
T222	STATEMENT 14253 14395	a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the vertical direction
T223	CAUSE 14248 14395	when a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the vertical direction
T224	STATEMENT 14213 14247	The NAS shall alert the specialist
T225	CAUSE_EFFECT_RELATION 14213 14395	The NAS shall alert the specialist when a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the vertical direction
T226	ROOT_SENTENCE 14213 14396	The NAS shall alert the specialist when a controlled aircraft's track position is outside of the preset conformance bounds of its clearance-based trajectory in the vertical direction.
T227	KEY_C 12681 12685	When
T228	VARIABLE 12686 12691	tests
T229	CONDITION 12692 12737	are perfocmed at different ambient conditions
T230	VARIABLE 12739 12769	appropriate correction factors
T231	CONDITION 12770 12798	shall be applied to the flow
T232	CONDITION 12803 12821	pressure encodings
T233	AND 12770 12821	shall be applied to the flow and pressure encodings
T234	STATEMENT 12739 12821	appropriate correction factors shall be applied to the flow and pressure encodings
T235	STATEMENT 12686 12737	tests are perfocmed at different ambient conditions
T236	CAUSE 12681 12737	When tests are perfocmed at different ambient conditions
T237	CAUSE_EFFECT_RELATION 12681 12821	When tests are perfocmed at different ambient conditions, appropriate correction factors shall be applied to the flow and pressure encodings
T238	ROOT_SENTENCE 12681 12822	When tests are perfocmed at different ambient conditions, appropriate correction factors shall be applied to the flow and pressure encodings.
T244	KEY_C 12351 12355	When
T245	VARIABLE 12356 12373	a non-conformance
T246	CONDITION 12374 12382	is found
T247	VARIABLE 12384 12395	a mechanism
T248	CONDITION 12396 12463	must be in place to increase inspection (preferably to 100 percent)
T249	STATEMENT 12384 12463	a mechanism must be in place to increase inspection (preferably to 100 percent)
T250	STATEMENT 12356 12382	a non-conformance is found
T251	CAUSE 12351 12382	When a non-conformance is found
T252	CAUSE_EFFECT_RELATION 12351 12463	When a non-conformance is found, a mechanism must be in place to increase inspection (preferably to 100 percent)
T253	ROOT_SENTENCE 12351 12464	When a non-conformance is found, a mechanism must be in place to increase inspection (preferably to 100 percent).
T254	VARIABLE 12186 12211	Sustained process control
T255	CONDITION 12212 12231	is considered to be
T256	KEY_C 12232 12236	when
T257	VARIABLE 12237 12248	a Cpk level
T258	CONDITION 12249 12253	of 5
T259	CONDITION 12257 12275	higher is achieved
T260	OR 12249 12275	of 5 or higher is achieved
T261	STATEMENT 12237 12275	a Cpk level of 5 or higher is achieved
T262	CAUSE 12232 12275	when a Cpk level of 5 or higher is achieved
T263	VARIABLE 12277 12284	a level
T264	CONDITION 12285 12347	sufficient to demonstrate an equivalent nonconformance of zero
T265	STATEMENT 12277 12347	a level sufficient to demonstrate an equivalent nonconformance of zero
T266	NONE_CAUSAL 12276 12348	(a level sufficient to demonstrate an equivalent nonconformance of zero)
T267	STATEMENT 12186 12231	Sustained process control is considered to be
T268	CAUSE_EFFECT_RELATION 12186 12348	Sustained process control is considered to be when a Cpk level of 5 or higher is achieved (a level sufficient to demonstrate an equivalent nonconformance of zero)
T269	ROOT_SENTENCE 12186 12349	Sustained process control is considered to be when a Cpk level of 5 or higher is achieved (a level sufficient to demonstrate an equivalent nonconformance of zero).
T270	KEY_C 12018 12022	When
T271	VARIABLE 12023 12046	an environmental margin
T272	CONDITION 12047 12077	is included in the loss budget
T273	VARIABLE 12079 12089	the margin
T274	CONDITION 12090 12183	provides a buffer to absorb any environmentally induced losses in the fiber optic cable plant
T275	STATEMENT 12079 12183	the margin provides a buffer to absorb any environmentally induced losses in the fiber optic cable plant
T276	STATEMENT 12023 12077	an environmental margin is included in the loss budget
T277	CAUSE 12018 12077	When an environmental margin is included in the loss budget
T278	CAUSE_EFFECT_RELATION 12018 12183	When an environmental margin is included in the loss budget, the margin provides a buffer to absorb any environmentally induced losses in the fiber optic cable plant
T279	ROOT_SENTENCE 12018 12184	When an environmental margin is included in the loss budget, the margin provides a buffer to absorb any environmentally induced losses in the fiber optic cable plant.
T280	KEY_C 11877 11881	When
T281	VARIABLE 11882 11891	specified
T282	VARIABLE 11900 11915	sufficient data
T283	CONDITION 11916 11956	exists to allow end of life calculations
T284	STATEMENT 11900 11956	sufficient data exists to allow end of life calculations
T285	CAUSE 11895 11956	when sufficient data exists to allow end of life calculations
T286	KEY_C 11895 11899	when
T287	CAUSE 11877 11891	When specified
T288	OR 11877 11956	When specified or when sufficient data exists to allow end of life calculations
T289	VARIABLE 11958 11969	statistical
T290	VARIABLE 11973 12002	numerical (simulation) method
T291	CONDITION 12003 12015	may be cited
T292	OR 11958 12002	statistical or numerical (simulation) method
T293	STATEMENT 11958 12015	statistical or numerical (simulation) method may be cited
T294	CAUSE_EFFECT_RELATION 11877 12015	When specified or when sufficient data exists to allow end of life calculations, statistical or numerical (simulation) method may be cited
T295	ROOT_SENTENCE 11877 12016	When specified or when sufficient data exists to allow end of life calculations, statistical or numerical (simulation) method may be cited.
T296	KEY_C 11753 11757	When
T297	VARIABLE 11758 11779	the statistical model
T298	CONDITION 11780 11793	is calculated
T299	KEY_C 11795 11799	then
T300	VARIABLE 11800 11818	a worst case model
T301	CONDITION 11819 11838	shall be calculated
T302	CONDITION 11843 11874	used as the basis of comparison
T303	AND 11819 11874	shall be calculated and used as the basis of comparison
T304	STATEMENT 11800 11874	a worst case model shall be calculated and used as the basis of comparison
T305	EFFECT 11795 11874	then a worst case model shall be calculated and used as the basis of comparison
T306	STATEMENT 11758 11793	the statistical model is calculated
T307	CAUSE 11753 11793	When the statistical model is calculated
T308	CAUSE_EFFECT_RELATION 11753 11875	When the statistical model is calculated, then a worst case model shall be calculated and used as the basis of comparison.
T309	ROOT_SENTENCE 11753 11875	When the statistical model is calculated, then a worst case model shall be calculated and used as the basis of comparison.
T310	KEY_C 11577 11581	When
T311	VARIABLE 11582 11612	the multiple termini connector
T312	CONDITION 11613 11667	has the insert for the pin terminus configuration only
T313	KEY_C 11669 11673	then
T314	VARIABLE 11674 11708	retention of the alignment sleeves
T315	CONDITION 11709 11750	shall be done in the connector receptacle
T316	STATEMENT 11674 11750	retention of the alignment sleeves shall be done in the connector receptacle
T317	EFFECT 11669 11750	then retention of the alignment sleeves shall be done in the connector receptacle
T318	STATEMENT 11582 11667	the multiple termini connector has the insert for the pin terminus configuration only
T319	CAUSE 11577 11667	When the multiple termini connector has the insert for the pin terminus configuration only
T320	CAUSE_EFFECT_RELATION 11577 11750	When the multiple termini connector has the insert for the pin terminus configuration only, then retention of the alignment sleeves shall be done in the connector receptacle
T321	ROOT_SENTENCE 11577 11751	When the multiple termini connector has the insert for the pin terminus configuration only, then retention of the alignment sleeves shall be done in the connector receptacle.
T322	KEY_C 11424 11428	When
T323	CONDITION 11453 11481	is used at the same location
T324	VARIABLE 11429 11452	more than one connector
T325	STATEMENT 11429 11481	more than one connector is used at the same location
T326	CAUSE 11424 11481	When more than one connector is used at the same location
T327	VARIABLE 11483 11502	connector selection
T328	CONDITION 11503 11574	shall be implemented in the order listed in 5.2.4.2.1 through 5.2.4.2.3
T329	STATEMENT 11483 11574	connector selection shall be implemented in the order listed in 5.2.4.2.1 through 5.2.4.2.3
T330	CAUSE_EFFECT_RELATION 11424 11574	When more than one connector is used at the same location, connector selection shall be implemented in the order listed in 5.2.4.2.1 through 5.2.4.2.3
T331	ROOT_SENTENCE 11424 11575	When more than one connector is used at the same location, connector selection shall be implemented in the order listed in 5.2.4.2.1 through 5.2.4.2.3.
T332	VARIABLE 11382 11409	the proper cleaning process
T333	CONDITION 11410 11421	is enforced
T334	STATEMENT 11382 11421	the proper cleaning process is enforced
T335	VARIABLE 11336 11370	a connector on a fiber capable box
T336	CONDITION 11371 11380	is opened
T337	VARIABLE 11313 11317	This
T338	CONDITION 11318 11330	ensures that
T339	NONE_CAUSAL 11313 11330	This ensures that
T340	KEY_C 11331 11335	when
T341	STATEMENT 11336 11380	a connector on a fiber capable box is opened
T342	CAUSE 11331 11380	when a connector on a fiber capable box is opened
T343	CAUSE_EFFECT_RELATION 11313 11421	This ensures that when a connector on a fiber capable box is opened, the proper cleaning process is enforced
T344	ROOT_SENTENCE 11313 11422	This ensures that when a connector on a fiber capable box is opened, the proper cleaning process is enforced.
T345	KEY_C 11209 11213	When
T346	VARIABLE 11214 11223	specified
T347	VARIABLE 11225 11236	this sleeve
T348	CONDITION 11237 11289	shall be placed on the exterior of the cable harness
T349	CONDITION 11293 11310	convoluted tubing
T350	OR 11237 11310	shall be placed on the exterior of the cable harness or convoluted tubing
T351	STATEMENT 11225 11310	this sleeve shall be placed on the exterior of the cable harness or convoluted tubing
T352	CAUSE 11209 11223	When specified
T353	CAUSE_EFFECT_RELATION 11209 11310	When specified, this sleeve shall be placed on the exterior of the cable harness or convoluted tubing
T354	ROOT_SENTENCE 11209 11311	When specified, this sleeve shall be placed on the exterior of the cable harness or convoluted tubing.
T355	KEY_C 11125 11129	then
T356	KEY_C 11033 11037	When
T357	VARIABLE 11038 11068	the multiple termini connector
T358	CONDITION 11069 11123	has the insert for the pin terminus configuration only
T359	VARIABLE 11130 11164	retention of the alignment sleeves
T360	CONDITION 11165 11206	shall be done in the connector receptacle
T361	STATEMENT 11130 11206	retention of the alignment sleeves shall be done in the connector receptacle
T362	EFFECT 11125 11206	then retention of the alignment sleeves shall be done in the connector receptacle
T363	STATEMENT 11038 11123	the multiple termini connector has the insert for the pin terminus configuration only
T364	CAUSE 11033 11123	When the multiple termini connector has the insert for the pin terminus configuration only
T365	CAUSE_EFFECT_RELATION 11033 11206	When the multiple termini connector has the insert for the pin terminus configuration only, then retention of the alignment sleeves shall be done in the connector receptacle
T366	ROOT_SENTENCE 11033 11207	When the multiple termini connector has the insert for the pin terminus configuration only, then retention of the alignment sleeves shall be done in the connector receptacle.
T367	KEY_C 10880 10884	When
T368	VARIABLE 10885 10908	more than one connector
T369	CONDITION 10909 10937	is used at the same location
T370	STATEMENT 10885 10937	more than one connector is used at the same location
T371	CAUSE 10880 10937	When more than one connector is used at the same location
T372	VARIABLE 10939 10958	connector selection
T373	CONDITION 10959 11030	shall be implemented in the order listed in A.5.7.3.1 through A.5.7.3.3
T374	STATEMENT 10939 11030	connector selection shall be implemented in the order listed in A.5.7.3.1 through A.5.7.3.3
T375	CAUSE_EFFECT_RELATION 10880 11030	When more than one connector is used at the same location, connector selection shall be implemented in the order listed in A.5.7.3.1 through A.5.7.3.3
T376	ROOT_SENTENCE 10880 11031	When more than one connector is used at the same location, connector selection shall be implemented in the order listed in A.5.7.3.1 through A.5.7.3.3.
T377	KEY_C 10712 10716	When
T378	VARIABLE 10717 10734	the donut grommet
T379	CONDITION 10735 10743	is split
T380	CONDITION 10748 10772	for caterpillar grommets
T381	AND 10735 10772	is split and for caterpillar grommets
T382	STATEMENT 10717 10772	the donut grommet is split and for caterpillar grommets
T383	CAUSE 10712 10772	When the donut grommet is split and for caterpillar grommets
T384	VARIABLE 10774 10783	the split
T385	CONDITION 10784 10807	shall be a diagonal cut
T386	VARIABLE 10497 10517	The term "spot ties"
T387	CONDITION 10518 10537	becomes appropriate
T388	STATEMENT 10497 10537	The term "spot ties" becomes appropriate
T389	KEY_C 10538 10542	when
T390	VARIABLE 10543 10554	lacing tape
T391	CONDITION 10555 10605	is used to separate a number of fiber optic cables
T392	VARIABLE 10609 10622	cable bundles
T393	CONDITION 10623 10645	within a cable harness
T394	VARIABLE 10649 10666	convoluted tubing
T395	CONDITION 10667 10709	(as a separator and not a means to secure)
T396	STATEMENT 10543 10605	lacing tape is used to separate a number of fiber optic cables
T397	STATEMENT 10609 10645	cable bundles within a cable harness
T398	STATEMENT 10649 10709	convoluted tubing (as a separator and not a means to secure)
T399	OR 10609 10709	cable bundles within a cable harness or convoluted tubing (as a separator and not a means to secure)
T400	OR 10543 10709	lacing tape is used to separate a number of fiber optic cables or cable bundles within a cable harness or convoluted tubing (as a separator and not a means to secure)
T401	CAUSE 10538 10709	when lacing tape is used to separate a number of fiber optic cables or cable bundles within a cable harness or convoluted tubing (as a separator and not a means to secure)
T402	CAUSE_EFFECT_RELATION 10497 10709	The term "spot ties" becomes appropriate when lacing tape is used to separate a number of fiber optic cables or cable bundles within a cable harness or convoluted tubing (as a separator and not a means to secure)
T403	ROOT_SENTENCE 10497 10710	The term "spot ties" becomes appropriate when lacing tape is used to separate a number of fiber optic cables or cable bundles within a cable harness or convoluted tubing (as a separator and not a means to secure).
T404	KEY_C 10321 10325	When
T405	VARIABLE 10326 10337	the cabling
T406	VARIABLE 10339 10352	cable bundles
T407	VARIABLE 10356 10363	harness
T408	OR 10339 10363	cable bundles or harness
T409	OR 10326 10363	the cabling, cable bundles or harness
T410	CONDITION 10364 10376	is a part of
T411	CONDITION 10380 10410	placed in rigid tubing/conduit
T412	OR 10364 10410	is a part of or placed in rigid tubing/conduit
T413	STATEMENT 10326 10410	the cabling, cable bundles or harness is a part of or placed in rigid tubing/conduit
T414	CAUSE 10321 10410	When the cabling, cable bundles or harness is a part of or placed in rigid tubing/conduit
T415	KEY_C 10412 10416	then
T416	VARIABLE 10417 10434	spacing intervals
T417	CONDITION 10435 10450	may be extended
T418	CONDITION 10466 10494	exceed 106.68 cm (42 inches)
T419	NEGATION 10452 10494	but shall not exceed 106.68 cm (42 inches)
T420	AND 10435 10494	may be extended, but shall not exceed 106.68 cm (42 inches)
T421	STATEMENT 10417 10494	spacing intervals may be extended, but shall not exceed 106.68 cm (42 inches)
T422	EFFECT 10412 10494	then spacing intervals may be extended, but shall not exceed 106.68 cm (42 inches)
T423	CAUSE_EFFECT_RELATION 10321 10494	When the cabling, cable bundles or harness is a part of or placed in rigid tubing/conduit, then spacing intervals may be extended, but shall not exceed 106.68 cm (42 inches)
T424	ROOT_SENTENCE 10321 10495	When the cabling, cable bundles or harness is a part of or placed in rigid tubing/conduit, then spacing intervals may be extended, but shall not exceed 106.68 cm (42 inches).
T425	KEY_C 10164 10168	When
T426	VARIABLE 10169 10177	a splice
T427	CONDITION 10178 10185	is used
T428	STATEMENT 10169 10185	a splice is used
T429	CAUSE 10164 10185	When a splice is used
