T1	VARIABLE 0 8	Channels
T305	CONDITION 1776 1814	shall only be sent on an L2CAP channel
T306	KEY_C 1815 1817	if
T307	VARIABLE 1818 1828	the device
T308	CONDITION 1829 1888	has a credit count greater than zero for that L2CAP channel
T309	STATEMENT 1818 1888	the device has a credit count greater than zero for that L2CAP channel
T310	CAUSE 1815 1888	if the device has a credit count greater than zero for that L2CAP channel
T311	STATEMENT 1766 1814	LE-frames shall only be sent on an L2CAP channel
T312	CAUSE_EFFECT_RELATION 1766 1888	LE-frames shall only be sent on an L2CAP channel if the device has a credit count greater than zero for that L2CAP channel
T313	ROOT_SENTENCE 1766 1889	LE-frames shall only be sent on an L2CAP channel if the device has a credit count greater than zero for that L2CAP channel.
T314	KEY_C 1891 1893	If
T315	VARIABLE 1894 1914	a connection request
T316	CONDITION 1915 1926	is received
T317	VARIABLE 1931 1939	there is
T318	CONDITION 1940 1991	insufficient authentication between the two devices
T319	VARIABLE 1993 2007	the connection
T320	CONDITION 2008 2099	shall be rejected with a result value of “Connection refused - insufficient authentication”
T321	STATEMENT 1993 2099	the connection shall be rejected with a result value of “Connection refused - insufficient authentication”
T322	STATEMENT 1931 1991	there is insufficient authentication between the two devices
T323	STATEMENT 1894 1926	a connection request is received
T324	AND 1894 1991	a connection request is received and there is insufficient authentication between the two devices
T325	CAUSE 1891 1991	If a connection request is received and there is insufficient authentication between the two devices
T326	ROOT_SENTENCE 1891 2100	If a connection request is received and there is insufficient authentication between the two devices, the connection shall be rejected with a result value of “Connection refused - insufficient authentication”.
T327	CAUSE_EFFECT_RELATION 1891 2099	If a connection request is received and there is insufficient authentication between the two devices, the connection shall be rejected with a result value of “Connection refused - insufficient authentication”
T328	KEY_C 2102 2104	If
T329	VARIABLE 2105 2115	the client
T330	VARIABLE 2120 2161	an application associated with the client
T331	CONDITION 2163 2187	decides to use a service
T332	VARIABLE 2189 2191	it
T333	CONDITION 2192 2275	opens a separate connection to the service provider in order to utilize the service
T334	STATEMENT 2189 2275	it opens a separate connection to the service provider in order to utilize the service
T335	OR 2105 2161	the client, or an application associated with the client
T336	STATEMENT 2105 2187	the client, or an application associated with the client, decides to use a service
T337	CAUSE 2102 2187	If the client, or an application associated with the client, decides to use a service
T338	CAUSE_EFFECT_RELATION 2102 2275	If the client, or an application associated with the client, decides to use a service, it opens a separate connection to the service provider in order to utilize the service
T339	ROOT_SENTENCE 2102 2276	If the client, or an application associated with the client, decides to use a service, it opens a separate connection to the service provider in order to utilize the service.
T340	NONE_CAUSAL 2278 2285	However
T341	VARIABLE 2287 2297	the client
T342	CONDITION 2298 2328	can use SDP to poll the server
T343	CONDITION 2333 2375	may infer that the server is not available
T344	KEY_C 2376 2378	if
T345	VARIABLE 2379 2381	it
T346	CONDITION 2392 2412	responds to requests
T347	NEGATION 2382 2412	no longer responds to requests
T348	STATEMENT 2379 2412	it no longer responds to requests
T349	CAUSE 2376 2412	if it no longer responds to requests
T350	AND 2298 2375	can use SDP to poll the server and may infer that the server is not available
T351	STATEMENT 2287 2375	the client can use SDP to poll the server and may infer that the server is not available
T352	CAUSE_EFFECT_RELATION 2287 2412	the client can use SDP to poll the server and may infer that the server is not available if it no longer responds to requests
T353	ROOT_SENTENCE 2278 2413	However, the client can use SDP to poll the server and may infer that the server is not available if it no longer responds to requests.
T354	KEY_C 2691 2693	If
T355	VARIABLE 2694 2721	more than N service records
T356	CONDITION 2722 2739	match the request
T357	VARIABLE 2741 2755	the SDP server
T358	CONDITION 2756 2766	determines
T359	CONDITION 2767 2833	which matching service record handles to return in the response(s)
T360	AND 2756 2833	determines which matching service record handles to return in the response(s)
T361	STATEMENT 2741 2833	the SDP server determines which matching service record handles to return in the response(s)
T362	STATEMENT 2694 2739	more than N service records match the request
T363	CAUSE 2691 2739	If more than N service records match the request
T364	CAUSE_EFFECT_RELATION 2691 2833	If more than N service records match the request, the SDP server determines which matching service record handles to return in the response(s)
T365	ROOT_SENTENCE 2691 2834	If more than N service records match the request, the SDP server determines which matching service record handles to return in the response(s).
T366	NONE_CAUSAL 3048 3056	Normally
T367	KEY_C 3058 3060	if
T368	VARIABLE 3061 3074	an SDP server
T369	CONDITION 3075 3102	has relatively few services
T370	VARIABLE 3104 3123	all of its services
T371	CONDITION 3124 3163	will be placed in the root browse group
T372	STATEMENT 3104 3163	all of its services will be placed in the root browse group
T373	STATEMENT 3061 3102	an SDP server has relatively few services
T374	CAUSE 3058 3102	if an SDP server has relatively few services
T375	CAUSE_EFFECT_RELATION 3058 3163	if an SDP server has relatively few services, all of its services will be placed in the root browse group
T376	ROOT_SENTENCE 3048 3164	Normally, if an SDP server has relatively few services, all of its services will be placed in the root browse group.
T377	KEY_C 3166 3168	If
T378	VARIABLE 3169 3189	the current response
T379	CONDITION 3190 3201	is complete
T380	VARIABLE 3203 3217	this parameter
T381	CONDITION 3218 3260	consists of a single byte with the value 0
T382	STATEMENT 3203 3260	this parameter consists of a single byte with the value 0
T383	STATEMENT 3169 3201	the current response is complete
T384	CAUSE 3166 3201	If the current response is complete
T385	CAUSE_EFFECT_RELATION 3166 3260	If the current response is complete, this parameter consists of a single byte with the value 0
T386	ROOT_SENTENCE 3166 3261	If the current response is complete, this parameter consists of a single byte with the value 0.
T387	KEY_C 3263 3265	If
T388	VARIABLE 3266 3284	a partial response
T389	CONDITION 3285 3308	is contained in the PDU
T390	VARIABLE 3310 3341	the ContinuationState parameter
T391	CONDITION 3342 3423	may be supplied in a subsequent request to retrieve the remainder of the response
T392	STATEMENT 3310 3423	the ContinuationState parameter may be supplied in a subsequent request to retrieve the remainder of the response
T393	STATEMENT 3266 3308	a partial response is contained in the PDU
T394	CAUSE 3263 3308	If a partial response is contained in the PDU
T395	CAUSE_EFFECT_RELATION 3263 3423	If a partial response is contained in the PDU, the ContinuationState parameter may be supplied in a subsequent request to retrieve the remainder of the response
T396	ROOT_SENTENCE 3263 3424	If a partial response is contained in the PDU, the ContinuationState parameter may be supplied in a subsequent request to retrieve the remainder of the response.
T397	VARIABLE 3426 3436	The device
T398	CONDITION 3437 3476	shall also disconnect the L2CAP channel
T399	KEY_C 3477 3479	if
T400	VARIABLE 3480 3482	it
T401	CONDITION 3483 3576	receives an LE-frame on an L2CAP channel from the peer device that has a credit count of zero
T402	STATEMENT 3480 3576	it receives an LE-frame on an L2CAP channel from the peer device that has a credit count of zero
T403	CAUSE 3477 3576	if it receives an LE-frame on an L2CAP channel from the peer device that has a credit count of zero
T404	STATEMENT 3426 3476	The device shall also disconnect the L2CAP channel
T405	CAUSE_EFFECT_RELATION 3426 3576	The device shall also disconnect the L2CAP channel if it receives an LE-frame on an L2CAP channel from the peer device that has a credit count of zero
T406	ROOT_SENTENCE 3426 3577	The device shall also disconnect the L2CAP channel if it receives an LE-frame on an L2CAP channel from the peer device that has a credit count of zero.
T407	VARIABLE 3579 3581	It
T408	CONDITION 3582 3627	can function over a reliable packet transport
T409	CONDITION 3632 3647	even unreliable
T410	OR 3582 3647	can function over a reliable packet transport (or even unreliable
T411	STATEMENT 3579 3647	It can function over a reliable packet transport (or even unreliable
T412	KEY_C 3649 3651	if
T413	VARIABLE 3652 3662	the client
T414	CONDITION 3663 3682	implements timeouts
T415	CONDITION 3687 3716	repeats requests as necessary
T416	AND 3663 3716	implements timeouts and repeats requests as necessary
T417	STATEMENT 3652 3716	the client implements timeouts and repeats requests as necessary
T418	CAUSE 3649 3716	if the client implements timeouts and repeats requests as necessary
T419	CAUSE_EFFECT_RELATION 3579 3716	It can function over a reliable packet transport (or even unreliable, if the client implements timeouts and repeats requests as necessary
T420	ROOT_SENTENCE 3579 3718	It can function over a reliable packet transport (or even unreliable, if the client implements timeouts and repeats requests as necessary).
T421	KEY_C 3720 3722	If
T422	VARIABLE 3723 3747	the requested attributes
T423	CONDITION 3748 3773	require more than N bytes
T424	VARIABLE 3775 3789	the SDP server
T425	CONDITION 3790 3824	determines how to segment the list
T426	STATEMENT 3775 3824	the SDP server determines how to segment the list
T427	STATEMENT 3723 3773	the requested attributes require more than N bytes
T428	CAUSE 3720 3773	If the requested attributes require more than N bytes
T429	CAUSE_EFFECT_RELATION 3720 3824	If the requested attributes require more than N bytes, the SDP server determines how to segment the list
T430	ROOT_SENTENCE 3720 3825	If the requested attributes require more than N bytes, the SDP server determines how to segment the list.
T431	KEY_C 3827 3829	If
T432	VARIABLE 3833 3851	continuation state
T433	CONDITION 3852 3884	is to be provided in the request
T434	VARIABLE 3886 3887	N
T435	CONDITION 3888 3905	shall be set to 0
